threshold,roi1,acc1,bets1,roiX,accX,betsX,roi2,acc2,bets2
0.01,-0.06141971629514841,0.5210394564310407,8389,-0.038301473516527275,0.2548785344484269,5022,-0.10411693057247261,0.35133306266071185,14778
0.02,-0.05941363373772386,0.5277296360485269,6924,-0.04952779893373953,0.22391469916222392,1313,-0.10244526118235847,0.36354394745073504,12788
0.03,-0.05726910539659544,0.5262586019558131,5522,-0.022971014492753634,0.1956521739130435,276,-0.09582002902757619,0.37454644412191584,11024
0.04,-0.05600567912920018,0.5198769522006625,4226,-0.040181818181818166,0.16363636363636364,55,-0.09513346804211423,0.3826438370732745,9403
0.05,-0.05044039735099337,0.5115894039735099,3020,-0.6358823529411763,0.058823529411764705,17,-0.10672577580747307,0.38340721975934133,7895
0.06,-0.060892086330935256,0.4882494004796163,2085,-1.0,0.0,3,-0.10062925170068027,0.38559059987631417,6468
0.07,-0.06653225806451613,0.4662756598240469,1364,0.0,0.0,0,-0.09010245505509375,0.38642953798569496,5173
0.08,-0.08213859020310633,0.4432497013142174,837,0.0,0.0,0,-0.10137024751212044,0.37330951773411586,3919
0.09,-0.12871244635193133,0.4034334763948498,466,0.0,0.0,0,-0.12423947093630351,0.35537765402018795,2873
0.1,-0.13447470817120624,0.38132295719844356,257,0.0,0.0,0,-0.14049876543209877,0.3412345679012346,2025
0.11,-0.13597014925373135,0.35074626865671643,134,0.0,0.0,0,-0.16991004497751128,0.3140929535232384,1334
0.12,-0.11630769230769235,0.3076923076923077,65,0.0,0.0,0,-0.19320143884892088,0.2949640287769784,834
0.13,-0.2753125,0.25,32,0.0,0.0,0,-0.19576446280991736,0.28512396694214875,484
0.14,-0.7971428571428572,0.07142857142857142,14,0.0,0.0,0,-0.17666666666666672,0.2784313725490196,255
0.15,-0.05333333333333338,0.3333333333333333,3,0.0,0.0,0,-0.39192660550458713,0.2018348623853211,109
