iter	MultiClass
0	1.091078713
1	1.0837791
2	1.077243303
3	1.071204127
4	1.065968478
5	1.06108774
6	1.056863632
7	1.052792717
8	1.049185514
9	1.045673743
10	1.042402653
11	1.039476454
12	1.036719852
13	1.034193272
14	1.031920434
15	1.029827103
16	1.027891902
17	1.026058761
18	1.024413124
19	1.02312194
20	1.021843848
21	1.020501456
22	1.019475967
23	1.018270445
24	1.017181804
25	1.016340015
26	1.015455759
27	1.014668726
28	1.01388177
29	1.013081759
30	1.012354213
31	1.011674479
32	1.011031231
33	1.01038105
34	1.009808371
35	1.009287372
36	1.008889165
37	1.00838516
38	1.008049525
39	1.007584848
40	1.007261298
41	1.006874962
42	1.006534218
43	1.006234371
44	1.005978223
45	1.005669284
46	1.005396068
47	1.005143154
48	1.004908102
49	1.004601453
50	1.004426165
51	1.004172024
52	1.003970018
53	1.0037741
54	1.003571638
55	1.003354441
56	1.003135769
57	1.002971168
58	1.002835029
59	1.002634896
60	1.002373586
61	1.002235591
62	1.001994321
63	1.001824526
64	1.001636651
65	1.001533926
66	1.001393882
67	1.00115935
68	1.000981083
69	1.000776705
70	1.000615593
71	1.000431703
72	1.000206043
73	1.000108428
74	0.999884751
75	0.9997533454
76	0.999623287
77	0.9995186969
78	0.9993846731
79	0.9992398989
80	0.9990980357
81	0.9989482095
82	0.9987633513
83	0.9986053372
84	0.9985046352
85	0.9983496377
86	0.9982593728
87	0.9981321699
88	0.9980425317
89	0.9978974726
90	0.9976923059
91	0.9974977039
92	0.9973035612
93	0.9971897057
94	0.9970263576
95	0.9969354753
96	0.9967919792
97	0.9966813102
98	0.9965606882
99	0.9964930725
100	0.9964362888
101	0.9962834807
102	0.9960914554
103	0.9959684086
104	0.9957647164
105	0.9956431616
106	0.9954934846
107	0.9952431393
108	0.9950718201
109	0.9948944947
110	0.9947461409
111	0.9945822857
112	0.9944634147
113	0.994349477
114	0.9941736878
115	0.993995196
116	0.9938909364
117	0.9937893638
118	0.9936776369
119	0.9935961106
120	0.9935090345
121	0.9933888846
122	0.9932728975
123	0.9931279168
124	0.993001463
125	0.9928890194
126	0.992753465
127	0.9926459483
128	0.9925378008
129	0.9923873906
130	0.9921991257
131	0.9920452398
132	0.9919771414
133	0.9918272884
134	0.9917063417
135	0.9915974227
136	0.9914211313
137	0.9912712242
138	0.9911408182
139	0.9909922044
140	0.9908270082
141	0.9907113193
142	0.9905485278
143	0.9904861441
144	0.9903572928
145	0.9902159191
146	0.9901180585
147	0.9900111812
148	0.9898458554
149	0.9897420773
150	0.9896290819
151	0.9895295811
152	0.9894205836
153	0.9893020718
154	0.9891489268
155	0.9889863809
156	0.9888523506
157	0.9887794714
158	0.9886080279
159	0.9885160702
160	0.9884127534
161	0.9882556409
162	0.988143203
163	0.9880024158
164	0.9878349345
165	0.9876718479
166	0.9875655576
167	0.9875118472
168	0.9873891775
169	0.9872845022
170	0.987182065
171	0.9870194416
172	0.9869238402
173	0.9868448403
174	0.9867562896
175	0.9865896664
176	0.9865245334
177	0.9863842804
178	0.9862481558
179	0.9861459744
180	0.9860127037
181	0.985880893
182	0.9858075266
183	0.9856500162
184	0.9855774672
185	0.9853880904
186	0.9852478716
187	0.9850987087
188	0.9849712857
189	0.98483955
190	0.9847239398
191	0.9845567364
192	0.9844001901
193	0.9842282308
194	0.9840166235
195	0.9838515372
196	0.9837695845
197	0.983620692
198	0.9835303853
199	0.9833306713
200	0.9831876733
