iter	Passed	Remaining
0	66	79224
1	71	43066
2	78	31124
3	83	25048
4	90	21568
5	96	19108
6	101	17272
7	107	16027
8	112	14938
9	118	14042
10	124	13413
11	129	12779
12	134	12268
13	140	11871
14	145	11464
15	150	11125
16	155	10836
17	160	10567
18	165	10303
19	171	10098
20	176	9921
21	181	9739
22	187	9604
23	192	9435
24	197	9281
25	202	9146
26	208	9056
27	213	8952
28	219	8847
29	225	8780
30	229	8665
31	235	8579
32	240	8519
33	245	8434
34	250	8352
35	256	8295
36	261	8216
37	266	8149
38	271	8096
39	277	8048
40	282	7999
41	288	7960
42	293	7898
43	298	7836
44	303	7789
45	308	7747
46	313	7697
47	318	7644
48	324	7612
49	329	7572
50	333	7518
51	339	7493
52	344	7457
53	349	7418
54	355	7403
55	360	7369
56	366	7340
57	371	7321
58	376	7279
59	380	7237
60	386	7211
61	391	7191
62	396	7160
63	402	7140
64	407	7123
65	412	7093
66	417	7066
67	423	7044
68	428	7019
69	433	6993
70	439	6981
71	444	6956
72	449	6935
73	454	6909
74	458	6883
75	463	6856
76	468	6835
77	473	6812
78	478	6790
79	483	6772
80	489	6763
81	494	6743
82	499	6728
83	505	6718
84	510	6697
85	515	6674
86	521	6666
87	525	6645
88	530	6624
89	536	6610
90	541	6594
91	546	6579
92	551	6559
93	556	6550
94	561	6534
95	566	6517
96	571	6503
97	576	6479
98	581	6466
99	587	6466
100	593	6455
101	597	6434
102	603	6427
103	608	6415
104	613	6401
105	618	6386
106	623	6372
107	628	6359
108	634	6349
109	639	6339
110	645	6328
111	649	6313
112	655	6305
113	660	6290
114	665	6278
115	671	6274
116	676	6258
117	681	6248
118	686	6239
119	691	6224
120	696	6210
121	701	6200
122	706	6190
123	711	6175
124	716	6165
125	722	6159
126	727	6148
127	733	6141
128	739	6136
129	744	6128
130	749	6119
131	754	6108
132	759	6094
133	764	6082
134	770	6075
135	774	6062
136	780	6056
137	786	6050
138	791	6039
139	796	6028
140	801	6020
141	806	6009
142	811	5996
143	816	5986
144	821	5977
145	826	5969
146	832	5964
147	838	5959
148	843	5947
149	847	5935
150	853	5928
151	858	5917
152	862	5904
153	868	5896
154	872	5885
155	878	5876
156	883	5871
157	888	5861
158	893	5852
159	899	5845
160	905	5840
161	910	5832
162	914	5819
163	920	5811
164	925	5805
165	931	5799
166	936	5791
167	941	5783
168	946	5773
169	951	5767
170	956	5758
171	961	5748
172	967	5745
173	972	5735
174	977	5728
175	983	5723
176	988	5715
177	993	5705
178	998	5696
179	1003	5686
180	1008	5679
181	1013	5670
182	1018	5661
183	1023	5650
184	1027	5638
185	1033	5632
186	1038	5624
187	1043	5615
188	1048	5605
189	1052	5597
190	1058	5589
191	1063	5581
192	1068	5574
193	1073	5564
194	1078	5559
195	1084	5554
196	1089	5545
197	1094	5537
198	1099	5529
199	1104	5522
200	1109	5514
201	1115	5508
202	1120	5501
203	1124	5490
204	1129	5480
205	1135	5477
206	1139	5466
207	1144	5457
208	1149	5448
209	1154	5442
210	1159	5434
211	1164	5426
212	1169	5419
213	1174	5410
214	1180	5408
215	1186	5404
216	1191	5396
