Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,Season,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
06/03/2022,16:00,Wolfsberger AC,LASK,,,1,0,2021/2022,3.05,3.68,2.16,,
06/03/2022,16:00,Ried,Sturm Graz,,,2,2,2021/2022,3.06,3.37,2.28,,
06/03/2022,16:00,SK Rapid,A. Klagenfurt,,,3,0,2021/2022,1.64,4.06,4.83,,
27/02/2022,16:00,Tirol,SK Rapid,,,0,2,2021/2022,3.31,3.76,2.02,,
06/03/2022,16:00,Admira,Austria Vienna,,,1,2,2021/2022,2.99,3.13,2.44,,
05/03/2022,16:00,Salzburg,Altach,,,4,0,2021/2022,1.16,7.72,15.3,,
02/03/2022,19:30,LASK,Salzburg,,,0,0,2021/2022,3.81,3.78,1.86,,
20/03/2022,16:00,SK Rapid,Austria Vienna,,,1,1,2021/2022,2.3,3.25,3.12,,
06/03/2022,16:00,Hartberg,Tirol,,,0,1,2021/2022,2.34,3.59,2.82,,
12/03/2022,16:00,Admira,Ried,,,2,0,2021/2022,2.29,3.22,3.16,,
13/03/2022,16:00,Salzburg,Sturm Graz,,,1,0,2021/2022,1.45,4.55,6.52,,
13/03/2022,13:30,A. Klagenfurt,SK Rapid,,,1,3,2021/2022,4.0,3.79,1.83,,
13/03/2022,13:30,Austria Vienna,Wolfsberger AC,,,2,1,2021/2022,2.32,3.36,3.0,,
13/03/2022,13:30,LASK,Tirol,,,6,0,2021/2022,1.49,4.61,5.76,,
19/03/2022,16:00,Ried,Altach,,,1,2,2021/2022,1.69,3.72,4.94,,
19/03/2022,16:00,Tirol,Admira,,,0,0,2021/2022,2.75,3.3,2.51,,
20/03/2022,13:30,Hartberg,LASK,,,0,0,2021/2022,5.05,4.14,1.6,,
20/03/2022,13:30,Sturm Graz,A. Klagenfurt,,,3,1,2021/2022,1.33,5.21,8.41,,
20/03/2022,13:30,Wolfsberger AC,Salzburg,,,1,4,2021/2022,5.27,4.1,1.59,,
27/02/2022,16:00,Sturm Graz,Hartberg,,,3,0,2021/2022,1.56,4.23,5.41,,
12/03/2022,16:00,Altach,Hartberg,,,0,0,2021/2022,3.22,3.26,2.25,,
27/02/2022,16:00,Austria Vienna,Wolfsberger AC,,,1,0,2021/2022,2.19,3.41,3.19,,
12/02/2022,16:00,Tirol,Sturm Graz,,,2,2,2021/2022,3.64,3.65,1.94,,
26/02/2022,16:00,Altach,Admira,,,0,2,2021/2022,3.32,3.1,2.27,,
02/04/2022,16:00,Altach,Admira,,,2,2,2021/2022,3.38,3.09,2.26,,
05/12/2021,13:30,LASK,Ried,,,1,0,2021/2022,1.38,4.91,7.63,,
05/12/2021,16:00,SK Rapid,Austria Vienna,,,1,1,2021/2022,2.22,3.36,3.18,,
