Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,Season,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
28/07/2023,19:45,St. Gilloise,Anderlecht,1,0,2,0,,2.21,3.46,3.1,1.84,1.96
29/07/2023,15:00,Eupen,Westerlo,1,0,2,2,,3.36,3.46,2.11,1.88,1.9
29/07/2023,17:15,Charleroi,Oud-Heverlee Leuven,1,0,1,1,,1.99,3.59,3.56,1.76,2.03
29/07/2023,19:45,RWD Molenbeek,Genk,0,3,0,4,,3.6,3.69,1.94,1.73,2.08
30/07/2023,12:30,Antwerp,Cercle Brugge,1,0,1,0,,1.82,3.61,4.18,1.84,1.93
30/07/2023,15:00,Gent,Kortrijk,2,1,3,2,,1.32,5.23,8.52,1.59,2.33
30/07/2023,17:30,Club Brugge,Mechelen,0,1,1,1,,1.47,4.57,6.16,1.57,2.34
30/07/2023,18:15,St Truiden,Standard,0,0,1,0,,2.64,3.26,2.63,2.05,1.75
04/08/2023,19:45,Standard,St. Gilloise,0,1,0,1,,3.55,3.61,1.99,1.75,2.06
05/08/2023,15:00,Genk,Eupen,0,1,0,1,,1.29,5.67,8.88,1.45,2.67
05/08/2023,17:15,Cercle Brugge,Charleroi,2,0,2,0,,1.87,3.75,3.8,1.7,2.12
05/08/2023,19:45,Oud-Heverlee Leuven,RWD Molenbeek,1,1,1,2,,1.78,3.87,4.1,1.66,2.18
06/08/2023,12:30,Anderlecht,Antwerp,1,0,1,0,,2.55,3.5,2.58,1.77,2.03
06/08/2023,15:00,Mechelen,Gent,0,0,0,1,,3.81,3.88,1.83,1.61,2.28
06/08/2023,17:30,Westerlo,Club Brugge,0,1,0,1,,3.48,3.72,1.97,1.63,2.24
06/08/2023,18:15,Kortrijk,St Truiden,0,0,0,1,,2.8,3.36,2.44,1.95,1.83
11/08/2023,19:45,Antwerp,Kortrijk,4,0,6,0,,1.26,5.86,10.02,1.49,2.54
12/08/2023,15:00,RWD Molenbeek,Mechelen,0,0,1,0,,2.24,3.67,2.9,1.6,2.3
12/08/2023,17:15,St. Gilloise,Oud-Heverlee Leuven,2,1,5,1,,1.47,4.61,6.06,1.54,2.43
13/08/2023,12:30,St Truiden,Anderlecht,0,0,0,1,,3.26,3.41,2.15,1.94,1.83
13/08/2023,15:00,Cercle Brugge,Genk,0,0,0,1,,2.75,3.67,2.33,1.56,2.36
13/08/2023,15:00,Eupen,Club Brugge,0,3,0,5,,5.28,4.29,1.55,1.56,2.34
13/08/2023,17:30,Charleroi,Standard,0,1,1,1,,2.04,3.59,3.36,1.72,2.09
13/08/2023,18:15,Westerlo,Gent,1,1,1,3,,3.44,3.79,1.96,1.54,2.41
18/08/2023,19:45,Oud-Heverlee Leuven,Antwerp,0,1,1,1,,4.66,4.07,1.66,1.61,2.28
19/08/2023,15:00,Standard,Cercle Brugge,0,0,0,1,,2.85,3.49,2.35,1.71,2.1
19/08/2023,19:45,Mechelen,St. Gilloise,1,0,4,0,,4.2,3.93,1.75,1.62,2.25
20/08/2023,12:30,Anderlecht,Westerlo,1,0,2,1,,1.87,3.69,3.86,1.64,2.21
20/08/2023,15:00,Genk,Charleroi,0,0,0,0,,1.56,4.37,5.19,1.54,2.42
20/08/2023,15:00,Gent,St Truiden,1,2,2,2,,1.41,4.71,6.99,1.73,2.09
20/08/2023,17:30,Club Brugge,RWD Molenbeek,2,1,7,1,,1.28,5.78,9.33,1.44,2.69
20/08/2023,18:15,Kortrijk,Eupen,0,0,1,3,,2.27,3.58,2.89,1.61,2.26
26/08/2023,15:00,Westerlo,Mechelen,2,0,2,3,,2.17,3.69,3.04,1.57,2.35
26/08/2023,17:15,Eupen,Oud-Heverlee Leuven,1,0,3,1,,2.96,3.68,2.22,1.55,2.39
26/08/2023,19:45,Kortrijk,Standard,1,0,1,1,,2.97,3.54,2.27,1.67,2.17
27/08/2023,15:00,St Truiden,Cercle Brugge,0,0,0,2,,3.16,3.36,2.24,1.92,1.86
27/08/2023,17:30,Anderlecht,Charleroi,1,0,2,1,,1.75,3.9,4.32,1.73,2.09
01/09/2023,19:45,Oud-Heverlee Leuven,Kortrijk,1,0,3,0,,1.61,4.45,4.65,1.39,2.88
02/09/2023,15:00,Cercle Brugge,Westerlo,1,0,2,1,,1.56,4.38,5.24,1.56,2.37
02/09/2023,17:15,Mechelen,Eupen,0,0,1,0,,1.77,3.98,4.06,1.54,2.42
02/09/2023,19:45,Standard,RWD Molenbeek,1,1,1,1,,2.01,3.63,3.51,1.71,2.12
03/09/2023,12:30,Gent,Club Brugge,1,1,2,1,,2.39,3.62,2.73,1.61,2.27
03/09/2023,15:00,St. Gilloise,Antwerp,1,2,2,2,,2.32,3.3,3.08,1.98,1.81
03/09/2023,17:30,Genk,Anderlecht,0,0,1,1,,1.93,3.68,3.69,1.63,2.22
03/09/2023,18:15,Charleroi,St Truiden,0,0,1,1,,2.24,3.38,3.14,2.01,1.78
15/09/2023,19:45,Westerlo,Antwerp,0,1,0,3,,5.28,4.28,1.57,1.64,2.23
16/09/2023,15:00,RWD Molenbeek,Cercle Brugge,1,1,2,1,,4.05,3.93,1.79,1.63,2.25
16/09/2023,17:15,St. Gilloise,Genk,0,1,0,2,,1.97,3.7,3.56,1.68,2.16
16/09/2023,19:45,Club Brugge,Charleroi,2,2,4,2,,1.4,4.96,6.78,1.48,2.57
17/09/2023,12:30,Eupen,Standard,0,2,1,3,,2.95,3.42,2.32,1.78,2.03
17/09/2023,15:00,Kortrijk,Anderlecht,1,1,2,2,,4.52,4.09,1.68,1.6,2.31
17/09/2023,17:30,Oud-Heverlee Leuven,Gent,1,1,1,1,,4.22,3.98,1.75,1.55,2.41
17/09/2023,18:15,St Truiden,Mechelen,1,0,2,0,,2.38,3.41,2.87,1.94,1.85
22/09/2023,19:45,Standard,Westerlo,0,0,0,0,,1.84,3.99,3.78,1.59,2.34
23/09/2023,15:00,Charleroi,Kortrijk,1,0,1,0,,1.64,4.16,4.77,1.58,2.35
23/09/2023,17:15,Mechelen,Oud-Heverlee Leuven,0,2,1,2,,1.91,3.84,3.67,1.56,2.37
23/09/2023,19:45,Antwerp,RWD Molenbeek,0,0,0,0,,1.32,5.33,8.56,1.56,2.4
24/09/2023,12:30,Genk,St Truiden,0,3,3,3,,1.57,4.23,5.33,1.69,2.14
24/09/2023,15:00,Cercle Brugge,St. Gilloise,0,1,0,2,,2.76,3.49,2.44,1.81,1.99
24/09/2023,17:30,Anderlecht,Club Brugge,1,0,1,1,,2.96,3.65,2.23,1.64,2.22
24/09/2023,18:15,Gent,Eupen,0,1,2,1,,1.28,5.73,9.63,1.49,2.54
27/09/2023,19:45,Antwerp,Gent,0,0,0,0,,2.12,3.61,3.21,1.71,2.12
28/09/2023,17:30,RWD Molenbeek,St. Gilloise,2,2,2,3,,4.64,4.06,1.68,1.59,2.33
28/09/2023,19:45,Club Brugge,Genk,0,1,1,1,,1.79,3.92,4.03,1.56,2.38
29/09/2023,19:45,Kortrijk,Cercle Brugge,0,0,2,1,,4.68,4.25,1.63,1.5,2.53
30/09/2023,15:00,Eupen,Anderlecht,1,1,1,3,,4.3,3.92,1.75,1.65,2.2
30/09/2023,17:15,Oud-Heverlee Leuven,Standard,0,1,1,2,,2.29,3.65,2.85,1.54,2.4
30/09/2023,19:45,Mechelen,Antwerp,0,0,0,0,,3.77,3.77,1.89,1.67,2.16
01/10/2023,12:30,St. Gilloise,Charleroi,3,1,3,1,,1.58,4.31,5.12,1.58,2.34
01/10/2023,15:00,Genk,Westerlo,2,1,3,3,,1.45,4.7,6.32,1.51,2.49
01/10/2023,17:30,Club Brugge,St Truiden,0,0,1,1,,1.39,4.91,7.36,1.58,2.34
01/10/2023,18:15,RWD Molenbeek,Gent,1,1,1,1,,4.57,4.11,1.67,1.56,2.4
06/10/2023,19:45,Charleroi,RWD Molenbeek,0,0,2,1,,1.89,3.76,3.75,1.64,2.23
07/10/2023,15:00,Cercle Brugge,Oud-Heverlee Leuven,2,2,3,2,,1.58,4.36,5.01,1.49,2.57
07/10/2023,17:15,Westerlo,Kortrijk,1,0,1,0,,1.83,4.08,3.73,1.47,2.61
07/10/2023,19:45,Anderlecht,Mechelen,1,0,3,1,,1.73,3.96,4.33,1.61,2.23
08/10/2023,12:30,Standard,Club Brugge,1,0,2,1,,4.62,4.07,1.67,1.54,2.4
08/10/2023,15:00,Antwerp,Eupen,2,1,4,1,,1.23,6.33,10.72,1.49,2.54
08/10/2023,17:30,Gent,Genk,0,0,1,1,,2.0,3.75,3.39,1.56,2.37
08/10/2023,18:15,St Truiden,St. Gilloise,0,2,0,4,,4.05,3.74,1.82,1.74,2.07
20/10/2023,19:45,St. Gilloise,Eupen,2,0,4,1,,1.19,6.95,13.28,1.4,2.84
21/10/2023,15:00,Kortrijk,Club Brugge,1,0,1,0,,6.96,5.05,1.39,1.44,2.72
21/10/2023,17:15,RWD Molenbeek,Westerlo,0,0,1,1,,2.29,3.6,2.89,1.66,2.19
21/10/2023,19:45,Charleroi,Antwerp,0,0,3,2,,3.28,3.49,2.13,1.83,1.97
22/10/2023,12:30,Genk,Mechelen,2,0,4,0,,1.53,4.42,5.53,1.56,2.38
22/10/2023,15:00,Cercle Brugge,Gent,0,0,2,0,,2.64,3.56,2.48,1.68,2.16
22/10/2023,17:30,Standard,Anderlecht,0,2,3,2,,3.01,3.47,2.26,1.84,1.94
22/10/2023,18:15,Oud-Heverlee Leuven,St Truiden,2,0,4,0,,2.26,3.51,3.0,1.74,2.07
27/10/2023,19:45,St Truiden,RWD Molenbeek,0,0,2,1,,1.86,3.7,3.99,1.73,2.09
28/10/2023,15:00,Mechelen,Cercle Brugge,0,0,0,2,,3.14,3.7,2.13,1.66,2.2
28/10/2023,17:15,Eupen,Charleroi,1,0,2,0,,3.37,3.71,2.03,1.62,2.26
28/10/2023,19:45,Anderlecht,Oud-Heverlee Leuven,2,1,5,1,,1.5,4.47,5.89,1.54,2.43
29/10/2023,12:30,Club Brugge,Antwerp,1,0,2,1,,1.97,3.68,3.57,1.69,2.15
29/10/2023,15:00,Westerlo,St. Gilloise,1,1,1,3,,4.73,4.15,1.64,1.56,2.39
29/10/2023,17:30,Gent,Standard,3,0,3,1,,1.62,4.27,4.8,1.54,2.42
29/10/2023,18:15,Kortrijk,Genk,0,0,0,3,,5.78,4.59,1.49,1.44,2.66
03/11/2023,19:45,St Truiden,Eupen,1,0,1,1,,1.64,4.06,4.87,1.66,2.2
04/11/2023,15:00,RWD Molenbeek,Kortrijk,1,1,1,1,,1.91,3.8,3.65,1.6,2.29
04/11/2023,17:15,Oud-Heverlee Leuven,Westerlo,0,0,0,2,,2.08,3.77,3.18,1.53,2.47
04/11/2023,19:45,Antwerp,Genk,3,1,3,2,,2.16,3.68,3.07,1.64,2.22
05/11/2023,12:30,Cercle Brugge,Anderlecht,0,2,0,3,,2.39,3.55,2.76,1.73,2.08
05/11/2023,15:00,Standard,Mechelen,1,0,1,1,,1.71,4.0,4.46,1.68,2.16
05/11/2023,17:30,St. Gilloise,Club Brugge,1,0,2,1,,2.26,3.62,2.92,1.61,2.27
05/11/2023,18:15,Charleroi,Gent,0,1,1,3,,3.28,3.68,2.07,1.64,2.22
10/11/2023,19:45,Westerlo,St Truiden,2,1,3,3,,2.59,3.47,2.57,1.81,1.99
11/11/2023,15:00,Antwerp,Standard,4,0,6,0,,1.63,4.06,4.99,1.68,2.15
11/11/2023,17:15,Eupen,RWD Molenbeek,1,1,1,3,,2.58,3.5,2.59,1.68,2.16
11/11/2023,19:45,Mechelen,Charleroi,0,0,1,0,,2.61,3.5,2.56,1.71,2.11
12/11/2023,12:30,Club Brugge,Cercle Brugge,0,0,0,0,,1.72,3.98,4.35,1.56,2.37
12/11/2023,15:00,Genk,Oud-Heverlee Leuven,1,0,3,1,,1.39,5.25,6.52,1.35,3.08
12/11/2023,17:30,Gent,Anderlecht,1,1,1,1,,2.15,3.6,3.14,1.68,2.16
12/11/2023,18:15,St. Gilloise,Kortrijk,2,0,3,0,,1.2,6.84,12.42,1.43,2.73
24/11/2023,19:45,St Truiden,Antwerp,1,0,1,1,,3.95,3.55,1.9,1.97,1.82
25/11/2023,15:00,Cercle Brugge,Eupen,0,0,2,0,,1.38,5.02,7.3,1.54,2.4
25/11/2023,17:15,Charleroi,Westerlo,0,1,3,2,,1.84,3.75,3.99,1.69,2.14
25/11/2023,19:45,Standard,Genk,0,0,1,0,,3.58,3.78,1.93,1.59,2.33
26/11/2023,12:30,Gent,St. Gilloise,1,0,1,1,,2.54,3.53,2.59,1.68,2.17
26/11/2023,15:00,Oud-Heverlee Leuven,Club Brugge,0,1,0,1,,4.4,4.14,1.68,1.51,2.5
26/11/2023,17:30,Anderlecht,RWD Molenbeek,0,1,2,1,,1.38,4.89,7.37,1.6,2.31
26/11/2023,18:15,Kortrijk,Mechelen,0,2,0,3,,2.92,3.41,2.34,1.75,2.05
01/12/2023,19:45,Westerlo,Anderlecht,0,1,1,3,,4.69,3.9,1.7,1.71,2.11
02/12/2023,15:00,RWD Molenbeek,Charleroi,0,0,0,0,,2.79,3.41,2.46,1.77,2.04
02/12/2023,17:15,Eupen,Kortrijk,0,0,1,1,,2.24,3.56,3.02,1.66,2.19
02/12/2023,19:45,Antwerp,Oud-Heverlee Leuven,1,0,1,0,,1.35,5.35,7.69,1.43,2.74
03/12/2023,12:30,Genk,Gent,1,1,2,2,,2.14,3.7,3.09,1.54,2.41
03/12/2023,15:00,Mechelen,St Truiden,0,2,0,2,,2.16,3.43,3.3,1.86,1.92
03/12/2023,17:30,Club Brugge,Standard,1,0,2,0,,1.44,4.84,6.21,1.45,2.63
03/12/2023,18:15,St. Gilloise,Cercle Brugge,2,1,2,1,,1.64,4.05,4.86,1.61,2.28
08/12/2023,19:45,Kortrijk,Westerlo,0,1,1,2,,2.76,3.35,2.51,1.86,1.93
09/12/2023,15:00,Cercle Brugge,Antwerp,0,1,1,3,,2.7,3.42,2.51,1.75,2.05
