Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,Season,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
15/04/2023,12:35,Dalian Pro,Nantong Zhiyun,,,2,1,2023,2.37,3.14,2.96,,
15/04/2023,12:35,Wuhan Three Towns,Shanghai Port,,,0,2,2023,2.33,3.45,2.79,,
15/04/2023,12:35,Zhejiang Professional,Changchun Yatai,,,0,2,2023,1.58,3.8,5.49,,
15/04/2023,13:05,Beijing Guoan,Meizhou Hakka,,,1,1,2023,1.41,4.36,7.15,,
16/04/2023,12:35,Henan Songshan Longmen,Chengdu Rongcheng,,,1,1,2023,3.64,3.37,2.0,,
16/04/2023,12:35,Shanghai Shenhua,Shandong Taishan,,,1,0,2023,3.01,3.21,2.31,,
16/04/2023,12:35,Shenzhen,Qingdao Hainiu,,,2,1,2023,6.09,3.93,1.52,,
16/04/2023,12:35,Tianjin Jinmen Tiger,Cangzhou,,,1,1,2023,1.89,3.2,4.25,,
20/04/2023,12:35,Wuhan Three Towns,Beijing Guoan,,,1,1,2023,1.98,3.61,3.39,,
21/04/2023,10:30,Meizhou Hakka,Shanghai Shenhua,,,0,1,2023,2.68,3.12,2.61,,
21/04/2023,10:30,Tianjin Jinmen Tiger,Zhejiang Professional,,,2,1,2023,2.44,3.09,2.91,,
21/04/2023,12:35,Chengdu Rongcheng,Cangzhou,,,2,1,2023,1.41,4.15,7.96,,
21/04/2023,12:35,Henan Songshan Longmen,Qingdao Hainiu,,,0,0,2023,1.63,3.71,5.05,,
21/04/2023,12:35,Shandong Taishan,Nantong Zhiyun,,,1,1,2023,1.18,6.4,14.88,,
22/04/2023,08:30,Shanghai Port,Shenzhen,,,3,2,2023,1.09,9.31,22.64,,
22/04/2023,12:35,Changchun Yatai,Dalian Pro,,,3,2,2023,1.92,3.32,3.89,,
25/04/2023,12:35,Meizhou Hakka,Wuhan Three Towns,,,1,2,2023,4.6,3.76,1.69,,
25/04/2023,12:35,Qingdao Hainiu,Beijing Guoan,,,3,1,2023,4.6,3.59,1.72,,
25/04/2023,12:35,Shandong Taishan,Zhejiang Professional,,,2,1,2023,1.49,4.11,6.17,,
26/04/2023,10:30,Cangzhou,Shanghai Port,,,0,1,2023,6.21,4.33,1.47,,
26/04/2023,12:35,Dalian Pro,Chengdu Rongcheng,,,0,0,2023,5.04,3.7,1.64,,
26/04/2023,12:35,Nantong Zhiyun,Henan Songshan Longmen,,,1,0,2023,2.6,2.96,2.81,,
26/04/2023,12:35,Shanghai Shenhua,Changchun Yatai,,,1,0,2023,2.01,3.25,3.7,,
26/04/2023,12:35,Shenzhen,Tianjin Jinmen Tiger,,,0,2,2023,3.27,3.43,2.08,,
29/04/2023,12:35,Beijing Guoan,Shandong Taishan,,,0,0,2023,2.73,3.44,2.37,,
29/04/2023,12:35,Qingdao Hainiu,Wuhan Three Towns,,,0,3,2023,5.22,3.95,1.58,,
30/04/2023,08:30,Changchun Yatai,Tianjin Jinmen Tiger,,,1,1,2023,2.35,3.07,3.06,,
30/04/2023,08:30,Zhejiang Professional,Chengdu Rongcheng,,,0,2,2023,3.0,3.12,2.36,,
30/04/2023,10:30,Shenzhen,Henan Songshan Longmen,,,1,1,2023,2.76,3.11,2.54,,
30/04/2023,12:35,Cangzhou,Nantong Zhiyun,,,1,1,2023,2.33,3.02,3.13,,
30/04/2023,12:35,Shanghai Port,Shanghai Shenhua,,,1,1,2023,1.68,3.5,5.11,,
01/05/2023,12:35,Dalian Pro,Meizhou Hakka,,,1,1,2023,2.25,3.25,3.06,,
05/05/2023,12:35,Henan Songshan Longmen,Beijing Guoan,,,0,1,2023,4.74,3.5,1.72,,
05/05/2023,12:35,Shanghai Shenhua,Dalian Pro,,,1,0,2023,1.78,3.4,4.63,,
05/05/2023,12:35,Shenzhen,Cangzhou,,,0,1,2023,2.51,3.18,2.75,,
05/05/2023,12:35,Wuhan Three Towns,Zhejiang Professional,,,0,0,2023,1.22,6.0,11.58,,
06/05/2023,08:30,Meizhou Hakka,Shandong Taishan,,,2,1,2023,5.35,4.05,1.55,,
06/05/2023,12:35,Chengdu Rongcheng,Qingdao Hainiu,,,3,2,2023,1.52,4.02,5.86,,
06/05/2023,12:35,Nantong Zhiyun,Changchun Yatai,,,0,1,2023,2.7,2.98,2.68,,
06/05/2023,12:35,Tianjin Jinmen Tiger,Shanghai Port,,,0,0,2023,4.08,3.48,1.83,,
09/05/2023,12:35,Dalian Pro,Cangzhou,,,1,1,2023,2.15,3.18,3.37,,
09/05/2023,12:35,Henan Songshan Longmen,Wuhan Three Towns,,,1,1,2023,4.93,3.92,1.62,,
09/05/2023,12:35,Shenzhen,Shanghai Shenhua,,,1,3,2023,9.26,4.35,1.35,,
10/05/2023,12:35,Beijing Guoan,Tianjin Jinmen Tiger,,,1,1,2023,1.79,3.41,4.45,,
10/05/2023,12:35,Changchun Yatai,Meizhou Hakka,,,2,4,2023,1.95,3.31,3.84,,
10/05/2023,12:35,Chengdu Rongcheng,Shandong Taishan,,,2,2,2023,2.39,3.13,2.93,,
10/05/2023,12:35,Nantong Zhiyun,Zhejiang Professional,,,1,2,2023,2.86,2.98,2.57,,
10/05/2023,12:35,Shanghai Port,Qingdao Hainiu,,,2,1,2023,1.4,4.68,6.63,,
13/05/2023,08:30,Shanghai Shenhua,Wuhan Three Towns,,,1,1,2023,3.32,3.37,2.08,,
13/05/2023,12:35,Shenzhen,Dalian Pro,,,2,1,2023,3.84,3.27,1.95,,
14/05/2023,08:30,Qingdao Hainiu,Meizhou Hakka,,,2,0,2023,2.39,3.35,2.76,,
14/05/2023,10:30,Chengdu Rongcheng,Changchun Yatai,,,2,2,2023,1.52,4.08,5.66,,
14/05/2023,12:35,Cangzhou,Shandong Taishan,,,1,1,2023,6.12,4.16,1.48,,
14/05/2023,12:35,Tianjin Jinmen Tiger,Henan Songshan Longmen,,,1,0,2023,1.73,3.46,4.73,,
14/05/2023,12:35,Zhejiang Professional,Shanghai Port,,,1,2,2023,4.71,3.81,1.66,,
15/05/2023,12:35,Beijing Guoan,Nantong Zhiyun,,,1,0,2023,1.48,4.0,6.42,,
19/05/2023,10:30,Wuhan Three Towns,Chengdu Rongcheng,,,3,3,2023,2.42,3.14,2.9,,
19/05/2023,12:35,Cangzhou,Changchun Yatai,,,2,4,2023,2.21,3.23,3.17,,
19/05/2023,12:35,Nantong Zhiyun,Shenzhen,,,1,1,2023,1.87,3.31,4.25,,
19/05/2023,12:35,Qingdao Hainiu,Zhejiang Professional,,,2,2,2023,2.81,3.13,2.48,,
19/05/2023,12:35,Shanghai Shenhua,Beijing Guoan,,,1,1,2023,2.06,3.12,3.71,,
20/05/2023,12:35,Henan Songshan Longmen,Dalian Pro,,,1,0,2023,2.72,2.98,2.67,,
20/05/2023,12:35,Meizhou Hakka,Shanghai Port,,,0,2,2023,6.02,4.21,1.49,,
20/05/2023,12:35,Tianjin Jinmen Tiger,Shandong Taishan,,,3,3,2023,4.04,3.55,1.83,,
23/05/2023,12:35,Beijing Guoan,Cangzhou,,,6,2,2023,1.82,3.4,4.34,,
23/05/2023,12:35,Changchun Yatai,Qingdao Hainiu,,,1,0,2023,2.11,3.65,3.04,,
23/05/2023,12:35,Chengdu Rongcheng,Shanghai Shenhua,,,2,1,2023,1.94,3.21,4.05,,
23/05/2023,12:35,Nantong Zhiyun,Wuhan Three Towns,,,0,5,2023,4.47,3.57,1.76,,
24/05/2023,12:35,Dalian Pro,Zhejiang Professional,,,1,2,2023,2.8,3.21,2.44,,
24/05/2023,12:35,Meizhou Hakka,Tianjin Jinmen Tiger,,,1,1,2023,2.88,3.08,2.47,,
24/05/2023,12:35,Shandong Taishan,Shenzhen,,,3,0,2023,1.18,6.58,13.04,,
24/05/2023,12:35,Shanghai Port,Henan Songshan Longmen,,,3,2,2023,1.15,7.34,16.11,,
27/05/2023,08:00,Chengdu Rongcheng,Nantong Zhiyun,,,1,0,2023,1.41,4.41,7.53,,
27/05/2023,12:35,Cangzhou,Wuhan Three Towns,,,2,1,2023,4.73,4.05,1.63,,
28/05/2023,10:30,Qingdao Hainiu,Shandong Taishan,,,0,1,2023,3.97,3.59,1.83,,
28/05/2023,10:30,Zhejiang Professional,Beijing Guoan,,,3,2,2023,2.47,3.31,2.71,,
28/05/2023,12:35,Dalian Pro,Tianjin Jinmen Tiger,,,0,1,2023,2.76,3.12,2.53,,
28/05/2023,12:35,Shanghai Shenhua,Henan Songshan Longmen,,,1,1,2023,1.49,3.93,6.56,,
28/05/2023,12:35,Shenzhen,Meizhou Hakka,,,3,2,2023,2.97,3.09,2.39,,
29/05/2023,12:35,Changchun Yatai,Shanghai Port,,,0,3,2023,5.16,4.17,1.55,,
02/06/2023,12:35,Beijing Guoan,Changchun Yatai,,,4,3,2023,1.57,4.12,5.03,,
02/06/2023,12:35,Zhejiang Professional,Shenzhen,,,3,0,2023,1.61,3.98,4.87,,
03/06/2023,10:30,Shanghai Port,Chengdu Rongcheng,,,0,1,2023,1.72,3.66,4.47,,
03/06/2023,12:35,Henan Songshan Longmen,Meizhou Hakka,,,2,1,2023,2.23,3.18,3.19,,
03/06/2023,12:35,Shandong Taishan,Dalian Pro,,,2,0,2023,1.37,4.65,7.71,,
04/06/2023,08:30,Cangzhou,Shanghai Shenhua,,,0,1,2023,3.03,3.16,2.32,,
04/06/2023,10:30,Nantong Zhiyun,Qingdao Hainiu,,,1,0,2023,2.57,3.02,2.79,,
04/06/2023,12:35,Tianjin Jinmen Tiger,Wuhan Three Towns,,,1,1,2023,3.12,3.3,2.21,,
08/06/2023,12:35,Changchun Yatai,Shenzhen,,,4,1,2023,1.17,6.84,13.52,,
08/06/2023,12:35,Chengdu Rongcheng,Tianjin Jinmen Tiger,,,0,0,2023,1.71,3.48,4.89,,
08/06/2023,12:35,Qingdao Hainiu,Shanghai Shenhua,,,0,1,2023,3.97,3.22,1.93,,
09/06/2023,10:30,Henan Songshan Longmen,Zhejiang Professional,,,2,2,2023,2.57,3.29,2.61,,
09/06/2023,12:35,Dalian Pro,Beijing Guoan,,,2,2,2023,3.93,3.55,1.84,,
09/06/2023,12:35,Meizhou Hakka,Cangzhou,,,2,3,2023,2.31,3.3,2.93,,
09/06/2023,12:35,Shanghai Port,Nantong Zhiyun,,,2,1,2023,1.16,6.82,14.8,,
09/06/2023,12:35,Wuhan Three Towns,Shandong Taishan,,,1,1,2023,2.28,3.41,2.89,,
28/06/2023,12:35,Cangzhou,Henan Songshan Longmen,,,0,1,2023,2.43,3.18,2.84,,
28/06/2023,12:35,Shanghai Shenhua,Nantong Zhiyun,,,1,0,2023,1.49,3.77,7.44,,
28/06/2023,12:35,Tianjin Jinmen Tiger,Qingdao Hainiu,,,3,2,2023,1.83,3.36,4.32,,
28/06/2023,12:35,Wuhan Three Towns,Dalian Pro,,,0,0,2023,1.28,5.51,9.23,,
28/06/2023,12:35,Zhejiang Professional,Meizhou Hakka,,,3,0,2023,1.89,3.66,3.67,,
29/06/2023,12:35,Beijing Guoan,Shanghai Port,,,1,2,2023,2.99,3.46,2.2,,
29/06/2023,12:35,Shandong Taishan,Changchun Yatai,,,4,1,2023,1.43,4.45,6.59,,
29/06/2023,12:35,Shenzhen,Chengdu Rongcheng,,,0,3,2023,13.68,5.71,1.21,,
02/07/2023,10:30,Shanghai Shenhua,Tianjin Jinmen Tiger,,,1,2,2023,2.03,3.03,3.92,,
02/07/2023,12:35,Cangzhou,Zhejiang Professional,,,2,1,2023,2.9,3.42,2.28,,
02/07/2023,12:35,Dalian Pro,Qingdao Hainiu,,,1,1,2023,1.96,3.3,3.77,,
02/07/2023,12:35,Nantong Zhiyun,Meizhou Hakka,,,2,2,2023,1.95,3.24,3.95,,
03/07/2023,12:35,Changchun Yatai,Henan Songshan Longmen,,,3,1,2023,1.99,3.52,3.51,,
03/07/2023,12:35,Chengdu Rongcheng,Beijing Guoan,,,0,1,2023,1.86,3.48,3.94,,
03/07/2023,12:35,Shandong Taishan,Shanghai Port,,,1,1,2023,2.51,3.18,2.75,,
03/07/2023,12:35,Shenzhen,Wuhan Three Towns,,,1,3,2023,12.83,6.54,1.18,,
07/07/2023,12:35,Henan Songshan Longmen,Shandong Taishan,,,0,1,2023,4.73,3.36,1.76,,
