Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HS,AS,HST,AST
16/08/2019,19:30,Bayern Munich,Hertha,1,2,2,2,1.18,7.55,15.04,1.34,3.24,17,6,7,3
17/08/2019,14:30,Dortmund,Augsburg,1,1,5,1,1.22,6.62,13.38,1.43,2.79,23,5,10,1
17/08/2019,14:30,Freiburg,Mainz,0,0,3,0,2.2,3.37,3.36,1.93,1.88,19,19,8,5
17/08/2019,14:30,Leverkusen,Paderborn,2,2,3,2,1.28,5.97,10.27,1.38,3.03,13,11,4,6
17/08/2019,14:30,Werder Bremen,Fortuna Dusseldorf,0,1,1,3,1.74,3.93,4.57,1.67,2.21,23,12,10,7
17/08/2019,14:30,Wolfsburg,FC Koln,1,0,2,1,1.91,3.74,3.91,1.67,2.21,14,11,5,2
17/08/2019,17:30,M'gladbach,Schalke 04,0,0,0,0,2.06,3.49,3.6,1.78,2.04,16,8,4,1
18/08/2019,14:30,Ein Frankfurt,Hoffenheim,1,0,1,0,2.32,3.65,2.92,1.54,2.46,17,10,8,1
18/08/2019,17:00,Union Berlin,RB Leipzig,0,3,0,4,4.63,4.02,1.72,1.71,2.13,13,14,2,8
23/08/2019,19:30,FC Koln,Dortmund,1,0,1,3,6.18,4.74,1.48,1.45,2.73,13,14,1,6
24/08/2019,14:30,Augsburg,Union Berlin,0,0,1,1,2.24,3.32,3.31,1.95,1.86,12,13,4,1
24/08/2019,14:30,Fortuna Dusseldorf,Leverkusen,0,3,1,3,4.36,4.2,1.72,1.46,2.69,11,11,6,7
24/08/2019,14:30,Hoffenheim,Werder Bremen,0,1,3,2,1.88,3.92,3.83,1.49,2.62,10,18,3,6
24/08/2019,14:30,Mainz,M'gladbach,1,1,1,3,2.86,3.42,2.46,1.8,2.03,21,15,4,6
24/08/2019,14:30,Paderborn,Freiburg,1,2,1,3,2.38,3.6,2.84,1.61,2.31,15,9,2,4
24/08/2019,17:30,Schalke 04,Bayern Munich,0,1,0,3,8.12,4.93,1.38,1.59,2.35,9,10,2,6
25/08/2019,14:30,RB Leipzig,Ein Frankfurt,1,0,2,1,1.49,4.63,6.06,1.5,2.59,13,11,5,5
25/08/2019,17:00,Hertha,Wolfsburg,0,1,0,3,2.42,3.46,2.87,1.75,2.09,8,9,2,4
30/08/2019,19:30,M'gladbach,RB Leipzig,0,1,1,3,3.28,3.76,2.11,1.6,2.35,11,14,3,6
31/08/2019,14:30,Bayern Munich,Mainz,2,1,6,1,1.09,11.05,28.84,1.24,3.93,19,7,10,4
31/08/2019,14:30,Freiburg,FC Koln,1,0,1,2,2.45,3.45,2.87,1.73,2.11,14,9,1,3
31/08/2019,14:30,Leverkusen,Hoffenheim,0,0,0,0,1.55,4.88,5.08,1.35,3.17,20,6,2,1
31/08/2019,14:30,Schalke 04,Hertha,1,0,3,0,2.12,3.45,3.51,1.83,1.98,9,9,2,3
31/08/2019,14:30,Wolfsburg,Paderborn,0,1,1,1,1.46,4.85,6.46,1.39,2.96,15,7,5,3
31/08/2019,17:30,Union Berlin,Dortmund,1,1,3,1,8.99,5.56,1.32,1.46,2.7,15,13,7,2
01/09/2019,14:30,Werder Bremen,Augsburg,2,1,3,2,1.7,4.03,4.77,1.59,2.36,15,12,5,6
01/09/2019,17:00,Ein Frankfurt,Fortuna Dusseldorf,0,1,2,1,1.69,4.08,4.77,1.55,2.43,15,14,8,4
13/09/2019,19:30,Fortuna Dusseldorf,Wolfsburg,1,1,1,1,3.03,3.62,2.28,1.65,2.24,12,15,3,6
14/09/2019,14:30,Augsburg,Ein Frankfurt,2,0,2,1,3.48,3.69,2.05,1.61,2.32,9,23,6,3
14/09/2019,14:30,Dortmund,Leverkusen,1,0,4,0,1.82,4.01,4.04,1.43,2.81,11,22,9,12
14/09/2019,14:30,FC Koln,M'gladbach,0,1,0,1,2.57,3.53,2.66,1.65,2.24,14,15,7,4
14/09/2019,14:30,Mainz,Hertha,1,0,2,1,2.38,3.44,2.98,1.78,2.05,14,16,5,8
14/09/2019,14:30,Union Berlin,Werder Bremen,1,1,1,2,2.79,3.5,2.48,1.67,2.21,12,16,5,7
14/09/2019,17:30,RB Leipzig,Bayern Munich,1,1,1,1,3.78,4.04,1.87,1.47,2.68,12,14,6,7
15/09/2019,14:30,Hoffenheim,Freiburg,0,2,0,3,1.69,4.2,4.6,1.55,2.45,22,16,5,8
15/09/2019,17:00,Paderborn,Schalke 04,1,1,1,5,3.04,3.64,2.26,1.54,2.45,9,18,1,11
20/09/2019,19:30,Schalke 04,Mainz,1,0,2,1,1.66,4.07,5.11,1.67,2.22,19,14,6,3
21/09/2019,14:30,Bayern Munich,FC Koln,1,0,4,0,1.12,9.25,21.04,1.25,3.83,24,16,5,2
21/09/2019,14:30,Freiburg,Augsburg,1,1,1,1,1.9,3.77,3.92,1.67,2.21,17,12,5,2
21/09/2019,14:30,Hertha,Paderborn,1,0,2,1,1.73,4.02,4.54,1.48,2.64,6,17,4,8
21/09/2019,14:30,Leverkusen,Union Berlin,2,0,2,0,1.36,5.31,7.82,1.44,2.74,20,4,7,0
21/09/2019,17:30,Werder Bremen,RB Leipzig,0,2,0,3,4.19,4.25,1.75,1.46,2.69,11,14,1,7
22/09/2019,14:30,M'gladbach,Fortuna Dusseldorf,0,1,2,1,1.69,4.09,4.77,1.54,2.46,23,18,11,4
22/09/2019,17:00,Ein Frankfurt,Dortmund,1,1,2,2,4.29,4.22,1.74,1.46,2.7,17,15,3,7
23/09/2019,19:30,Wolfsburg,Hoffenheim,1,1,1,1,1.95,3.81,3.7,1.53,2.48,12,11,4,5
27/09/2019,19:30,Union Berlin,Ein Frankfurt,0,0,1,2,2.99,3.64,2.3,1.58,2.39,12,14,5,6
28/09/2019,14:30,Augsburg,Leverkusen,0,1,0,3,4.71,4.52,1.63,1.39,2.99,8,11,1,5
28/09/2019,14:30,Hoffenheim,M'gladbach,0,1,0,3,2.43,3.61,2.79,1.58,2.38,17,11,4,5
28/09/2019,14:30,Mainz,Wolfsburg,0,1,0,1,2.89,3.52,2.4,1.73,2.1,15,4,5,3
28/09/2019,14:30,Paderborn,Bayern Munich,0,1,2,3,15.89,9.07,1.14,1.19,4.65,10,18,5,6
28/09/2019,14:30,RB Leipzig,Schalke 04,0,2,1,3,1.56,4.41,5.57,1.5,2.56,17,13,6,8
28/09/2019,17:30,Dortmund,Werder Bremen,2,1,2,2,1.27,6.3,10.09,1.32,3.36,19,11,7,5
29/09/2019,14:30,Fortuna Dusseldorf,Freiburg,1,1,1,2,2.44,3.58,2.78,1.64,2.26,17,9,7,3
29/09/2019,17:00,FC Koln,Hertha,0,1,0,4,2.15,3.66,3.23,1.61,2.32,8,10,3,6
04/10/2019,19:30,Hertha,Fortuna Dusseldorf,2,1,3,1,1.68,4.09,4.88,1.6,2.35,16,9,3,3
05/10/2019,14:30,Bayern Munich,Hoffenheim,0,0,1,2,1.11,10.03,23.32,1.21,4.31,20,8,4,5
05/10/2019,14:30,Freiburg,Dortmund,0,1,2,2,5.3,4.32,1.59,1.45,2.72,6,8,1,4
05/10/2019,14:30,Leverkusen,RB Leipzig,0,0,1,1,2.33,3.73,2.86,1.51,2.56,11,11,8,5
05/10/2019,14:30,Paderborn,Mainz,1,2,1,2,2.49,3.75,2.64,1.44,2.76,16,18,7,7
05/10/2019,17:30,Schalke 04,FC Koln,0,0,1,1,1.64,4.15,5.08,1.59,2.35,15,9,3,5
06/10/2019,12:30,M'gladbach,Augsburg,4,0,5,1,1.53,4.53,5.75,1.5,2.59,13,13,9,3
06/10/2019,14:30,Wolfsburg,Union Berlin,0,0,1,0,1.67,3.89,5.22,1.71,2.15,13,14,4,3
06/10/2019,17:00,Ein Frankfurt,Werder Bremen,0,1,2,2,2.17,3.65,3.18,1.49,2.59,24,11,7,5
18/10/2019,19:30,Ein Frankfurt,Leverkusen,2,0,3,0,2.85,3.79,2.32,1.52,2.52,10,19,5,10
19/10/2019,14:30,Augsburg,Bayern Munich,1,1,2,2,16.44,8.18,1.16,1.28,3.64,9,24,7,9
19/10/2019,14:30,Fortuna Dusseldorf,Mainz,0,0,1,0,2.57,3.55,2.65,1.66,2.22,20,7,4,1
19/10/2019,14:30,RB Leipzig,Wolfsburg,0,0,1,1,1.54,4.35,5.9,1.61,2.32,13,14,5,6
19/10/2019,14:30,Union Berlin,Freiburg,1,0,2,0,2.58,3.45,2.69,1.85,1.97,18,12,5,4
19/10/2019,14:30,Werder Bremen,Hertha,1,0,1,1,2.14,3.68,3.25,1.52,2.51,15,11,5,2
19/10/2019,17:30,Dortmund,M'gladbach,0,0,1,0,1.47,4.83,6.25,1.37,3.07,20,13,7,3
20/10/2019,14:30,FC Koln,Paderborn,1,0,3,0,1.68,4.36,4.5,1.38,3.02,16,9,6,1
20/10/2019,17:00,Hoffenheim,Schalke 04,0,0,2,0,2.69,3.52,2.55,1.71,2.15,9,11,3,1
25/10/2019,19:30,Mainz,FC Koln,1,1,3,1,2.55,3.54,2.7,1.58,2.39,18,16,6,8
26/10/2019,14:30,Bayern Munich,Union Berlin,1,0,2,1,1.11,10.24,20.85,1.2,4.43,21,6,10,4
26/10/2019,14:30,Freiburg,RB Leipzig,1,0,2,1,3.96,3.74,1.9,1.63,2.27,14,25,3,6
26/10/2019,14:30,Hertha,Hoffenheim,0,2,2,3,2.1,3.66,3.37,1.62,2.31,13,17,4,8
26/10/2019,14:30,Paderborn,Fortuna Dusseldorf,1,0,2,0,2.38,3.85,2.73,1.39,2.97,14,18,6,4
26/10/2019,14:30,Schalke 04,Dortmund,0,0,0,0,3.07,3.51,2.29,1.69,2.18,13,8,3,3
26/10/2019,17:30,Leverkusen,Werder Bremen,1,1,2,2,1.62,4.29,5.1,1.43,2.78,21,10,4,3
