Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,Season,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
19/03/2023,14:00,Silkeborg,Midtjylland,,,3,3,2022/2023,2.27,3.58,2.95,,
12/03/2023,17:00,Brondby,Silkeborg,,,2,1,2022/2023,1.93,3.67,3.7,,
13/03/2023,18:00,Randers FC,Aarhus,,,1,2,2022/2023,2.72,2.94,2.82,,
19/03/2023,14:00,Aalborg,Randers FC,,,0,1,2022/2023,2.49,3.28,2.82,,
19/03/2023,14:00,Aarhus,Odense,,,1,0,2022/2023,1.82,3.64,4.22,,
19/03/2023,14:00,FC Copenhagen,Viborg,,,2,1,2022/2023,1.34,4.98,8.97,,
19/03/2023,14:00,Lyngby,Horsens,,,1,1,2022/2023,2.08,3.31,3.59,,
19/03/2023,14:00,Nordsjaelland,Brondby,,,2,1,2022/2023,2.15,3.48,3.24,,
31/03/2023,18:00,Odense,Midtjylland,,,1,3,2022/2023,2.84,3.49,2.38,,
11/04/2023,17:30,Silkeborg,Horsens,,,1,2,2022/2023,1.62,4.04,5.08,,
02/04/2023,13:00,Lyngby,Silkeborg,,,1,1,2022/2023,2.48,3.43,2.74,,
02/04/2023,15:00,Brondby,Viborg,,,0,3,2022/2023,2.12,3.45,3.36,,
02/04/2023,17:00,FC Copenhagen,Nordsjaelland,,,2,1,2022/2023,1.85,3.64,4.11,,
03/04/2023,18:00,Aarhus,Randers FC,,,1,1,2022/2023,1.96,3.33,3.98,,
09/04/2023,15:00,Viborg,Aarhus,,,0,1,2022/2023,2.49,3.07,3.0,,
10/04/2023,13:00,Aalborg,Odense,,,2,3,2022/2023,1.81,3.76,4.13,,
10/04/2023,13:00,Midtjylland,Lyngby,,,1,0,2022/2023,1.57,4.07,5.56,,
10/04/2023,15:00,Randers FC,FC Copenhagen,,,1,0,2022/2023,6.32,4.22,1.51,,
10/04/2023,17:00,Nordsjaelland,Brondby,,,2,1,2022/2023,2.08,3.57,3.35,,
12/03/2023,15:00,Horsens,FC Copenhagen,,,1,4,2022/2023,9.02,4.86,1.35,,
02/04/2023,13:00,Horsens,Aalborg,,,0,4,2022/2023,2.62,3.16,2.75,,
12/03/2023,13:00,Viborg,Nordsjaelland,,,1,1,2022/2023,3.11,3.35,2.28,,
13/11/2022,15:00,Brondby,Viborg,,,0,2,2022/2023,2.14,3.48,3.25,,
10/03/2023,18:00,Odense,Aalborg,,,2,1,2022/2023,2.3,3.42,2.98,,
14/04/2023,18:00,Midtjylland,Aalborg,,,1,1,2022/2023,1.67,3.89,4.84,,
13/11/2022,17:00,Nordsjaelland,Aalborg,,,5,1,2022/2023,1.62,3.92,5.29,,
13/11/2022,19:00,Randers FC,Midtjylland,,,0,0,2022/2023,2.92,3.49,2.3,,
17/02/2023,18:00,Aalborg,Aarhus,,,0,1,2022/2023,2.84,3.14,2.58,,
19/02/2023,13:00,Lyngby,Nordsjaelland,,,1,1,2022/2023,4.51,3.73,1.77,,
19/02/2023,13:00,Odense,Randers FC,,,0,0,2022/2023,2.17,3.4,3.33,,
19/02/2023,15:00,Silkeborg,FC Copenhagen,,,0,3,2022/2023,3.21,3.37,2.25,,
19/02/2023,17:00,Brondby,Horsens,,,5,2,2022/2023,1.64,3.89,5.23,,
20/02/2023,18:00,Viborg,Midtjylland,,,0,4,2022/2023,2.39,3.16,3.09,,
24/02/2023,18:00,Nordsjaelland,Odense,,,4,2,2022/2023,1.78,3.79,4.32,,
26/02/2023,13:00,Horsens,Viborg,,,0,3,2022/2023,3.48,3.35,2.12,,
26/02/2023,13:00,Randers FC,Lyngby,,,1,0,2022/2023,1.88,3.63,4.0,,
26/02/2023,15:00,FC Copenhagen,Aalborg,,,1,0,2022/2023,1.39,4.6,8.34,,
26/02/2023,17:00,Aarhus,Silkeborg,,,1,1,2022/2023,2.38,3.12,3.18,,
27/02/2023,18:00,Midtjylland,Brondby,,,0,1,2022/2023,2.32,3.44,2.99,,
03/03/2023,18:00,Aarhus,Horsens,,,2,0,2022/2023,1.82,3.53,4.37,,
05/03/2023,13:00,Silkeborg,Nordsjaelland,,,2,1,2022/2023,2.53,3.49,2.62,,
05/03/2023,13:00,Viborg,Randers FC,,,2,2,2022/2023,1.97,3.32,3.94,,
05/03/2023,15:00,Lyngby,Brondby,,,1,0,2022/2023,4.52,3.87,1.72,,
05/03/2023,17:30,FC Copenhagen,Odense,,,7,0,2022/2023,1.39,4.85,7.51,,
06/03/2023,18:00,Aalborg,Midtjylland,,,0,0,2022/2023,3.53,3.24,2.13,,
12/03/2023,13:00,Midtjylland,Lyngby,,,1,3,2022/2023,1.54,4.08,5.96,,
16/04/2023,13:00,Lyngby,Horsens,,,2,1,2022/2023,2.17,3.31,3.36,,
12/05/2023,18:00,Odense,Aalborg,,,1,1,2022/2023,2.67,3.59,2.45,,
16/04/2023,15:00,FC Copenhagen,Viborg,,,2,1,2022/2023,1.51,4.32,6.21,,
19/05/2023,18:00,Horsens,Silkeborg,,,0,1,2022/2023,3.28,3.47,2.14,,
21/05/2023,13:00,Aalborg,Midtjylland,,,0,2,2022/2023,2.82,3.36,2.44,,
21/05/2023,13:00,Lyngby,Odense,,,0,4,2022/2023,2.11,3.76,3.13,,
21/05/2023,15:05,Viborg,Brondby,,,1,1,2022/2023,1.72,3.87,4.53,,
21/05/2023,17:00,FC Copenhagen,Aarhus,,,4,3,2022/2023,2.14,3.27,3.53,,
22/05/2023,18:00,Nordsjaelland,Randers FC,,,3,1,2022/2023,1.33,5.59,7.85,,
26/05/2023,18:00,Odense,Horsens,,,2,1,2022/2023,1.78,4.04,4.0,,
29/05/2023,13:00,Lyngby,Aalborg,,,2,1,2022/2023,3.26,3.48,2.13,,
29/05/2023,13:00,Silkeborg,Midtjylland,,,3,3,2022/2023,3.86,3.75,1.87,,
15/05/2023,18:00,Randers FC,Viborg,,,0,2,2022/2023,3.3,3.64,2.09,,
29/05/2023,15:00,Viborg,FC Copenhagen,,,1,2,2022/2023,2.86,3.47,2.36,,
30/05/2023,18:00,Randers FC,Aarhus,,,1,3,2022/2023,5.6,4.01,1.58,,
03/06/2023,13:00,Aalborg,Silkeborg,,,0,1,2022/2023,1.88,3.89,3.73,,
03/06/2023,13:00,Horsens,Lyngby,,,0,0,2022/2023,2.47,3.57,2.66,,
03/06/2023,13:00,Midtjylland,Odense,,,4,2,2022/2023,1.76,4.28,3.92,,
04/06/2023,16:00,Aarhus,Brondby,,,3,3,2022/2023,1.65,4.04,4.86,,
