Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,Season,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
13/08/2021,20:00,Brentford,Arsenal,1,0,2,0,,4.02,3.43,2.02,2.16,1.73
14/08/2021,12:30,Man United,Leeds,1,0,5,1,,1.55,4.48,5.87,1.65,2.29
14/08/2021,15:00,Burnley,Brighton,1,0,1,2,,3.19,3.09,2.49,2.46,1.57
14/08/2021,15:00,Chelsea,Crystal Palace,2,0,3,0,,1.26,5.92,12.8,1.79,2.06
14/08/2021,15:00,Everton,Southampton,0,1,3,1,,1.97,3.53,4.04,2.07,1.79
14/08/2021,15:00,Leicester,Wolves,1,0,1,0,,1.71,3.75,5.32,2.04,1.81
14/08/2021,15:00,Watford,Aston Villa,2,0,3,2,,3.14,3.26,2.41,2.03,1.82
14/08/2021,17:30,Norwich,Liverpool,0,1,0,3,,8.78,5.71,1.33,1.52,2.59
15/08/2021,14:00,Newcastle,West Ham,2,1,2,4,,3.2,3.51,2.26,1.95,1.9
15/08/2021,16:30,Tottenham,Man City,0,0,1,0,,5.49,4.1,1.64,1.85,2.01
21/08/2021,12:30,Liverpool,Burnley,1,0,2,0,,1.21,6.97,14.41,1.54,2.5
21/08/2021,15:00,Aston Villa,Newcastle,1,0,2,0,,1.82,3.92,4.25,1.77,2.09
21/08/2021,15:00,Crystal Palace,Brentford,0,0,0,0,,2.61,3.18,2.9,2.32,1.62
21/08/2021,15:00,Leeds,Everton,1,1,2,2,,2.37,3.47,3.03,1.7,2.2
21/08/2021,15:00,Man City,Norwich,2,0,5,0,,1.11,10.58,25.64,1.34,3.29
21/08/2021,17:30,Brighton,Watford,2,0,2,0,,1.74,3.52,5.53,2.24,1.67
22/08/2021,14:00,Southampton,Man United,1,0,1,1,,5.36,4.26,1.61,1.72,2.16
22/08/2021,14:00,Wolves,Tottenham,0,1,0,1,,3.2,3.15,2.43,2.24,1.67
22/08/2021,16:30,Arsenal,Chelsea,0,2,0,2,,4.76,3.74,1.78,2.07,1.79
23/08/2021,20:00,West Ham,Leicester,1,0,4,1,,2.58,3.44,2.75,1.8,2.04
28/08/2021,12:30,Man City,Arsenal,3,0,5,0,,1.26,6.16,11.99,1.57,2.45
28/08/2021,15:00,Aston Villa,Brentford,1,1,1,1,,2.0,3.57,3.84,1.97,1.88
28/08/2021,15:00,Brighton,Everton,0,1,0,2,,2.35,3.25,3.27,2.23,1.68
28/08/2021,15:00,Newcastle,Southampton,0,0,2,2,,2.52,3.47,2.82,1.83,2.03
28/08/2021,15:00,Norwich,Leicester,1,1,1,2,,4.34,3.55,1.9,1.8,2.06
28/08/2021,15:00,West Ham,Crystal Palace,1,0,2,2,,1.58,4.02,6.29,1.89,1.96
28/08/2021,17:30,Liverpool,Chelsea,1,1,1,1,,2.5,3.33,2.95,2.02,1.83
29/08/2021,14:00,Burnley,Leeds,0,0,1,1,,3.07,3.51,2.33,1.77,2.09
29/08/2021,14:00,Tottenham,Watford,1,0,1,0,,1.44,4.48,8.42,1.85,2.0
29/08/2021,16:30,Wolves,Man United,0,0,0,1,,4.91,3.48,1.82,2.01,1.83
11/09/2021,12:30,Crystal Palace,Tottenham,0,0,3,0,,4.25,3.44,1.95,2.1,1.77
11/09/2021,15:00,Arsenal,Norwich,0,0,1,0,,1.52,4.48,6.4,1.71,2.17
11/09/2021,15:00,Brentford,Brighton,0,0,0,1,,2.86,3.14,2.69,2.46,1.57
11/09/2021,15:00,Leicester,Man City,0,0,0,1,,5.7,4.22,1.6,1.74,2.14
11/09/2021,15:00,Man United,Newcastle,1,0,4,1,,1.2,7.27,14.77,1.44,2.79
11/09/2021,15:00,Southampton,West Ham,0,0,0,0,,2.89,3.46,2.47,1.72,2.15
11/09/2021,15:00,Watford,Wolves,0,0,0,2,,3.36,3.19,2.33,2.3,1.64
11/09/2021,17:30,Chelsea,Aston Villa,1,0,3,0,,1.3,5.46,11.28,1.78,2.07
12/09/2021,16:30,Leeds,Liverpool,0,1,0,3,,4.34,4.05,1.78,1.57,2.44
13/09/2021,20:00,Everton,Burnley,0,0,3,1,,1.75,3.71,5.01,1.99,1.85
17/09/2021,20:00,Newcastle,Leeds,1,1,1,1,,3.01,3.62,2.33,1.65,2.29
18/09/2021,12:30,Wolves,Brentford,0,2,0,2,,1.9,3.27,4.83,2.49,1.56
18/09/2021,15:00,Burnley,Arsenal,0,1,0,1,,3.82,3.5,2.03,2.03,1.82
18/09/2021,15:00,Liverpool,Crystal Palace,1,0,3,0,,1.22,6.84,14.04,1.5,2.6
18/09/2021,15:00,Man City,Southampton,0,0,0,0,,1.15,8.46,18.55,1.4,2.99
18/09/2021,15:00,Norwich,Watford,1,1,1,3,,2.18,3.39,3.47,2.11,1.76
18/09/2021,17:30,Aston Villa,Everton,0,0,3,0,,2.4,3.36,3.06,2.0,1.84
19/09/2021,14:00,Brighton,Leicester,1,0,2,1,,2.75,3.23,2.73,2.17,1.71
19/09/2021,14:00,West Ham,Man United,1,1,1,2,,4.51,3.9,1.78,1.69,2.21
19/09/2021,16:30,Tottenham,Chelsea,0,0,0,3,,4.89,3.83,1.74,2.09,1.77
25/09/2021,12:30,Chelsea,Man City,0,0,0,1,,2.66,3.26,2.79,2.13,1.75
25/09/2021,12:30,Man United,Aston Villa,0,0,0,1,,1.4,5.08,7.84,1.6,2.39
25/09/2021,15:00,Everton,Norwich,1,0,2,0,,1.63,3.86,5.96,1.89,1.95
25/09/2021,15:00,Leeds,West Ham,1,0,1,2,,3.04,3.67,2.29,1.61,2.37
25/09/2021,15:00,Leicester,Burnley,1,2,2,2,,1.59,4.05,6.12,1.86,1.98
25/09/2021,15:00,Watford,Newcastle,0,1,1,1,,2.27,3.37,3.32,2.04,1.81
25/09/2021,17:30,Brentford,Liverpool,1,1,3,3,,6.96,4.48,1.49,1.75,2.12
26/09/2021,14:00,Southampton,Wolves,0,0,0,1,,2.65,3.24,2.83,2.12,1.75
26/09/2021,16:30,Arsenal,Tottenham,3,0,3,1,,2.28,3.31,3.35,2.07,1.79
27/09/2021,20:00,Crystal Palace,Brighton,1,0,1,1,,3.04,3.15,2.54,2.31,1.63
02/10/2021,12:30,Man United,Everton,1,0,1,1,,1.5,4.38,7.08,1.81,2.05
02/10/2021,15:00,Burnley,Norwich,0,0,0,0,,1.88,3.61,4.33,1.9,1.94
02/10/2021,15:00,Chelsea,Southampton,1,0,3,1,,1.38,4.9,8.92,1.79,2.06
02/10/2021,15:00,Leeds,Watford,1,0,1,0,,1.76,3.9,4.63,1.69,2.22
02/10/2021,15:00,Wolves,Newcastle,1,1,2,1,,1.69,4.0,5.02,1.93,1.91
02/10/2021,17:30,Brighton,Arsenal,0,0,0,0,,3.05,3.22,2.5,2.06,1.8
03/10/2021,14:00,Crystal Palace,Leicester,0,2,2,2,,3.11,3.41,2.36,2.02,1.83
03/10/2021,14:00,Tottenham,Aston Villa,1,0,2,1,,2.12,3.53,3.5,1.89,1.95
03/10/2021,14:00,West Ham,Brentford,0,1,1,2,,1.82,3.62,4.67,1.92,1.92
03/10/2021,16:30,Liverpool,Man City,0,0,2,2,,2.9,3.53,2.43,1.73,2.14
16/10/2021,12:30,Watford,Liverpool,0,2,0,5,,8.67,5.33,1.36,1.58,2.43
16/10/2021,15:00,Aston Villa,Wolves,0,0,2,3,,2.25,3.28,3.42,2.12,1.76
16/10/2021,15:00,Leicester,Man United,1,1,4,2,,3.49,3.59,2.1,1.77,2.11
16/10/2021,15:00,Man City,Burnley,1,0,2,0,,1.12,9.47,22.12,1.39,3.04
16/10/2021,15:00,Norwich,Brighton,0,0,0,0,,3.67,3.34,2.13,2.13,1.75
16/10/2021,15:00,Southampton,Leeds,0,0,1,0,,2.4,3.52,2.93,1.72,2.17
16/10/2021,17:30,Brentford,Chelsea,0,1,0,1,,6.37,3.84,1.6,2.04,1.81
17/10/2021,14:00,Everton,West Ham,0,0,0,1,,2.52,3.35,2.89,1.89,1.96
17/10/2021,16:30,Newcastle,Tottenham,1,3,2,3,,3.51,3.58,2.09,1.79,2.07
18/10/2021,20:00,Arsenal,Crystal Palace,1,0,2,2,,1.65,3.87,5.65,1.93,1.91
22/10/2021,20:00,Arsenal,Aston Villa,2,0,3,1,,1.91,3.73,4.05,1.78,2.08
23/10/2021,12:30,Chelsea,Norwich,3,0,7,0,,1.19,7.07,17.21,1.66,2.27
23/10/2021,15:00,Crystal Palace,Newcastle,0,0,1,1,,1.97,3.61,3.88,1.95,1.89
23/10/2021,15:00,Everton,Watford,1,1,2,5,,1.67,3.86,5.49,2.01,1.84
