Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HS,AS,HST,AST
04/08/2023,20:00,Sheffield Weds,Southampton,0,1,1,2,3.14,3.38,2.28,1.99,1.82,8,23,1,7
05/08/2023,15:00,Blackburn,West Brom,2,0,2,1,2.78,3.21,2.62,2.17,1.68,12,14,3,4
05/08/2023,15:00,Bristol City,Preston,0,0,1,1,2.08,3.39,3.63,2.13,1.71,5,11,2,3
05/08/2023,15:00,Middlesbrough,Millwall,0,0,0,1,1.95,3.47,3.97,2.02,1.79,16,12,2,2
05/08/2023,15:00,Norwich,Hull,1,1,2,1,1.77,3.65,4.65,1.98,1.82,28,8,5,3
05/08/2023,15:00,Plymouth,Huddersfield,1,1,3,1,2.18,3.39,3.36,2.02,1.79,14,15,7,3
05/08/2023,15:00,Stoke,Rotherham,3,0,4,1,1.64,3.86,5.45,1.97,1.83,15,6,6,3
05/08/2023,15:00,Swansea,Birmingham,0,1,1,1,1.87,3.58,4.18,1.9,1.89,11,11,6,5
05/08/2023,15:00,Watford,QPR,4,0,4,0,1.89,3.58,4.09,1.96,1.84,23,4,12,1
06/08/2023,12:00,Leicester,Coventry,0,0,2,1,1.55,4.19,5.87,1.79,2.02,20,20,7,6
06/08/2023,14:30,Leeds,Cardiff,0,2,2,2,1.42,4.71,7.25,1.69,2.15,25,7,6,2
06/08/2023,17:00,Sunderland,Ipswich,0,1,1,2,2.45,3.34,2.88,1.93,1.86,20,13,4,5
12/08/2023,12:30,Coventry,Middlesbrough,1,0,3,0,2.41,3.36,2.92,1.94,1.86,12,14,5,2
12/08/2023,15:00,Birmingham,Leeds,0,0,1,0,3.21,3.55,2.16,1.8,2.0,10,7,2,1
12/08/2023,15:00,Cardiff,QPR,0,1,1,2,1.97,3.47,3.8,2.12,1.72,15,7,4,3
12/08/2023,15:00,Huddersfield,Leicester,0,0,0,1,4.47,3.84,1.74,1.74,2.08,13,17,3,6
12/08/2023,15:00,Hull,Sheffield Weds,1,1,4,2,2.3,3.35,3.07,2.0,1.81,16,6,7,2
12/08/2023,15:00,Ipswich,Stoke,1,0,2,0,2.12,3.5,3.35,1.86,1.93,22,9,10,2
12/08/2023,15:00,Millwall,Bristol City,0,0,0,1,1.88,3.53,4.17,2.1,1.73,10,13,2,1
12/08/2023,15:00,Preston,Sunderland,1,1,2,1,2.7,3.36,2.57,1.92,1.87,11,13,2,4
12/08/2023,15:00,Rotherham,Blackburn,1,0,2,2,2.92,3.37,2.4,1.98,1.82,9,21,3,6
12/08/2023,15:00,Southampton,Norwich,2,3,4,4,1.84,3.69,4.13,1.87,1.92,31,15,11,6
12/08/2023,15:00,Watford,Plymouth,0,0,0,0,1.74,3.82,4.59,1.82,1.98,20,13,3,5
12/08/2023,15:00,West Brom,Swansea,1,0,3,2,2.08,3.46,3.5,1.91,1.88,11,13,3,4
18/08/2023,20:00,Leeds,West Brom,0,0,1,1,2.11,3.46,3.44,1.92,1.87,16,4,4,2
19/08/2023,12:30,Plymouth,Southampton,0,0,1,2,3.75,3.78,1.91,1.71,2.13,15,19,2,9
19/08/2023,15:00,Blackburn,Hull,0,0,1,2,1.91,3.63,3.93,1.85,1.95,14,19,3,5
19/08/2023,15:00,Bristol City,Birmingham,0,1,0,2,2.23,3.23,3.37,2.27,1.63,19,16,0,6
19/08/2023,15:00,Leicester,Cardiff,1,1,2,1,1.5,4.34,6.33,1.81,1.99,15,10,6,4
