Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,Season,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
22/08/2020,14:00,Toulouse,Dunkerque,0.0,0.0,0,1,,1.67,3.39,5.61,2.17,1.67
22/08/2020,18:00,Ajaccio,Chateauroux,0.0,0.0,0,1,,1.69,3.42,5.27,2.28,1.6
22/08/2020,18:00,Amiens,Nancy,0.0,0.0,1,0,,2.13,3.27,3.37,2.21,1.64
22/08/2020,18:00,Auxerre,Sochaux,0.0,1.0,0,2,,2.07,2.93,4.07,2.57,1.48
22/08/2020,18:00,Chambly,Paris FC,0.0,1.0,0,3,,2.75,2.8,2.84,2.71,1.43
22/08/2020,18:00,Clermont,Caen,0.0,0.0,0,0,,2.22,2.95,3.55,2.39,1.55
22/08/2020,18:00,Guingamp,Niort,0.0,1.0,0,1,,1.54,3.82,6.15,2.05,1.75
22/08/2020,18:00,Rodez,Grenoble,0.0,0.0,1,0,,2.28,2.97,3.35,2.48,1.51
22/08/2020,18:00,Valenciennes,Pau FC,2.0,0.0,3,0,,1.95,3.17,4.12,2.32,1.58
24/08/2020,19:45,Troyes,Le Havre,0.0,0.0,2,0,,2.1,3.05,3.73,2.32,1.57
29/08/2020,14:00,Caen,Ajaccio,1.0,0.0,1,0,,2.58,2.83,3.03,2.66,1.45
29/08/2020,14:00,Nancy,Guingamp,0.0,0.0,2,2,,2.81,2.82,2.77,2.6,1.48
29/08/2020,18:00,Chateauroux,Auxerre,0.0,0.0,1,2,,3.07,3.0,2.42,2.33,1.58
29/08/2020,18:00,Dunkerque,Clermont,1.0,0.0,1,1,,2.88,2.86,2.67,2.45,1.53
29/08/2020,18:00,Grenoble,Toulouse,4.0,2.0,5,3,,2.25,2.98,3.39,2.3,1.6
29/08/2020,18:00,Le Havre,Amiens,1.0,0.0,1,0,,2.3,2.98,3.33,2.29,1.6
29/08/2020,18:00,Niort,Chambly,0.0,1.0,1,1,,2.38,2.87,3.31,2.62,1.46
29/08/2020,18:00,Paris FC,Valenciennes,0.0,0.0,1,0,,2.33,2.91,3.35,2.41,1.55
