Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HS,AS,HST,AST
16/08/2024,19:00,Ajaccio,Rodez,0,0,1,0,2.28,3.08,3.25,2.38,1.56,8,5,4,0
16/08/2024,19:00,Amiens,Red Star,1,0,3,0,2.29,3.09,3.23,2.38,1.56,17,13,6,3
16/08/2024,19:00,Clermont,Pau FC,1,2,2,2,1.92,3.35,3.99,2.15,1.68,13,11,5,4
16/08/2024,19:00,Dunkerque,Annecy,0,0,0,2,2.75,3.11,2.6,2.2,1.65,12,13,6,4
16/08/2024,19:00,Grenoble,Laval,0,0,2,1,2.2,3.07,3.46,2.4,1.55,6,9,4,1
16/08/2024,19:00,Guingamp,Troyes,2,0,4,0,1.77,3.42,4.68,2.22,1.64,16,10,5,3
17/08/2024,13:30,Caen,Paris FC,0,0,0,2,2.47,3.15,2.88,2.2,1.64,9,13,5,5
19/08/2024,19:45,Martigues,Lorient,0,0,0,1,3.82,3.35,1.95,2.07,1.71,3,18,1,7
19/08/2024,19:45,Metz,Bastia,0,1,1,1,1.91,3.34,4.01,2.12,1.69,18,7,5,3
23/08/2024,19:00,Annecy,Martigues,1,2,2,4,1.72,3.52,4.91,2.2,1.65,25,10,7,5
23/08/2024,19:00,Bastia,Amiens,0,0,1,0,2.53,2.88,3.07,2.63,1.47,15,9,4,3
23/08/2024,19:00,Laval,Guingamp,0,1,0,1,3.23,2.97,2.37,2.58,1.48,16,15,3,4
23/08/2024,19:00,Paris FC,Dunkerque,0,1,3,2,1.69,3.68,4.81,1.89,1.89,9,6,4,2
23/08/2024,19:00,Pau FC,Caen,1,0,1,0,2.69,3.17,2.63,1.98,1.8,7,22,2,4
23/08/2024,19:00,Rodez,Metz,0,3,1,3,2.75,3.19,2.56,2.09,1.72,16,11,4,4
23/08/2024,19:00,Troyes,Clermont,0,1,0,1,3.4,3.23,2.14,2.07,1.72,16,5,5,1
24/08/2024,13:30,Lorient,Grenoble,0,0,2,0,1.67,3.72,4.96,1.89,1.89,12,13,5,3
26/08/2024,19:45,Red Star,Ajaccio,1,0,1,0,2.34,3.02,3.11,2.37,1.54,5,19,2,2
30/08/2024,19:00,Ajaccio,Troyes,0,1,2,1,2.07,3.03,3.9,2.62,1.47,23,8,5,4
30/08/2024,19:00,Caen,Annecy,0,0,1,1,2.07,3.26,3.58,2.12,1.7,12,8,1,4
30/08/2024,19:00,Clermont,Paris FC,0,1,0,1,3.28,3.24,2.2,2.03,1.76,6,6,2,3
30/08/2024,19:00,Dunkerque,Rodez,1,0,1,0,2.51,3.23,2.77,1.95,1.83,13,13,3,1
30/08/2024,19:00,Grenoble,Pau FC,0,0,1,1,2.42,3.31,2.82,1.9,1.88,7,12,4,5
30/08/2024,19:00,Guingamp,Red Star,2,2,3,4,1.89,3.26,4.29,2.21,1.64,21,18,7,7
30/08/2024,19:00,Martigues,Bastia,0,0,0,1,3.36,3.02,2.27,2.34,1.58,13,9,1,4
31/08/2024,13:30,Amiens,Lorient,1,0,1,0,3.84,3.29,1.98,2.17,1.66,14,19,7,9
31/08/2024,13:30,Metz,Laval,0,1,1,1,1.75,3.53,4.69,2.12,1.7,20,7,3,4
13/09/2024,19:00,Annecy,Amiens,1,0,3,0,2.23,3.11,3.32,2.28,1.61,9,12,5,4
13/09/2024,19:00,Bastia,Troyes,0,0,0,0,1.68,3.61,5.07,2.1,1.71,12,8,3,2
13/09/2024,19:00,Clermont,Dunkerque,0,0,0,1,1.98,3.28,3.86,2.07,1.73,6,8,1,4
13/09/2024,19:00,Laval,Ajaccio,1,1,1,1,2.52,2.79,3.19,2.94,1.38,1,2,1,2
13/09/2024,19:00,Lorient,Red Star,1,0,2,1,1.65,4.18,4.51,1.56,2.36,14,5,7,3
13/09/2024,19:00,Pau FC,Martigues,1,0,3,0,2.19,3.18,3.36,2.07,1.73,19,8,9,3
13/09/2024,19:00,Rodez,Guingamp,0,1,1,2,2.86,3.16,2.49,2.08,1.73,4,3,2,3
14/09/2024,13:30,Paris FC,Metz,1,2,1,2,2.26,3.14,3.23,2.17,1.66,13,7,7,5
16/09/2024,19:45,Grenoble,Caen,2,1,3,1,2.73,3.22,2.52,1.98,1.79,12,6,5,4
20/09/2024,19:00,Amiens,Clermont,1,0,1,0,2.59,2.91,2.94,2.46,1.52,12,16,6,3
20/09/2024,19:00,Bastia,Paris FC,2,1,2,1,3.16,3.07,2.35,2.24,1.63,15,13,5,5
20/09/2024,19:00,Caen,Ajaccio,0,0,1,0,2.04,3.26,3.65,2.43,1.54,19,3,8,2
20/09/2024,19:00,Dunkerque,Pau FC,2,1,3,2,2.67,3.05,2.74,2.13,1.69,14,16,6,4
20/09/2024,19:00,Guingamp,Annecy,1,1,2,2,1.73,3.6,4.7,2.06,1.74,14,8,8,4
20/09/2024,19:00,Martigues,Grenoble,0,0,0,4,3.01,2.9,2.55,2.66,1.45,12,19,6,5
20/09/2024,19:00,Red Star,Laval,0,2,0,3,2.3,3.19,3.12,2.18,1.66,12,14,2,5
20/09/2024,19:00,Troyes,Rodez,0,1,0,3,2.61,3.29,2.62,1.89,1.89,14,17,2,5
21/09/2024,13:30,Metz,Lorient,1,0,1,1,2.51,3.28,2.71,1.94,1.84,7,16,1,5
24/09/2024,19:30,Ajaccio,Grenoble,0,0,2,0,2.6,2.97,2.89,2.57,1.48,12,7,3,1
24/09/2024,19:30,Annecy,Troyes,1,0,1,0,1.71,3.67,4.74,1.87,1.91,9,18,2,3
24/09/2024,19:30,Caen,Amiens,1,1,2,1,1.98,3.23,3.91,2.26,1.61,15,7,3,4
24/09/2024,19:30,Clermont,Red Star,1,0,1,1,2.14,3.16,3.51,2.23,1.63,11,6,4,3
24/09/2024,19:30,Dunkerque,Bastia,0,1,2,1,3.02,2.93,2.53,2.41,1.54,12,11,3,4
24/09/2024,19:30,Metz,Martigues,3,0,6,0,1.36,4.36,9.42,2.05,1.75,18,12,9,5
24/09/2024,19:30,Paris FC,Guingamp,1,0,2,0,2.49,3.07,2.93,2.22,1.64,10,9,8,5
24/09/2024,19:30,Pau FC,Lorient,1,0,1,0,3.48,3.63,1.98,1.68,2.14,19,6,7,2
24/09/2024,19:30,Rodez,Laval,1,0,1,3,2.29,3.2,3.15,2.1,1.71,14,10,2,6
27/09/2024,19:00,Amiens,Rodez,0,1,2,1,2.41,3.12,3.01,2.04,1.75,20,12,11,3
27/09/2024,19:00,Bastia,Annecy,1,1,2,2,2.35,2.94,3.3,2.53,1.5,20,9,10,2
27/09/2024,19:00,Grenoble,Clermont,1,0,3,0,2.41,3.19,2.94,2.01,1.77,10,7,5,3
27/09/2024,19:00,Laval,Pau FC,2,0,3,1,2.45,3.09,2.95,2.21,1.64,7,7,5,2
27/09/2024,19:00,Lorient,Ajaccio,0,0,3,0,1.5,4.03,6.39,2.05,1.74,27,7,10,3
27/09/2024,19:00,Martigues,Dunkerque,1,0,1,1,3.22,3.03,2.33,2.29,1.6,5,18,1,7
28/09/2024,13:00,Red Star,Paris FC,1,2,1,3,3.52,3.41,2.03,2.03,1.76,12,11,4,6
28/09/2024,19:00,Troyes,Metz,1,0,2,1,3.69,3.4,1.98,2.03,1.77,6,12,5,2
30/09/2024,19:45,Guingamp,Caen,1,0,3,1,2.05,3.32,3.54,2.05,1.75,13,6,9,2
04/10/2024,19:00,Annecy,Red Star,0,0,1,0,2.06,3.42,3.43,1.92,1.85,13,9,4,0
04/10/2024,19:00,Dunkerque,Troyes,0,1,2,1,2.13,3.25,3.43,2.07,1.73,12,22,7,11
04/10/2024,19:00,Paris FC,Laval,0,0,1,0,1.76,3.54,4.59,2.01,1.77,21,6,8,1
04/10/2024,19:00,Rodez,Grenoble,0,1,2,1,2.41,3.3,2.85,1.83,1.94,12,4,6,2
05/10/2024,13:00,Ajaccio,Martigues,1,1,1,1,1.9,3.1,4.53,2.65,1.44,7,8,3,2
05/10/2024,13:00,Caen,Lorient,1,1,1,2,3.31,3.44,2.1,1.86,1.91,4,14,1,5
05/10/2024,13:00,Clermont,Guingamp,2,0,4,1,2.61,3.21,2.67,2.09,1.71,9,23,6,7
05/10/2024,19:00,Metz,Amiens,3,1,3,2,1.65,3.64,5.29,2.12,1.69,15,6,7,4
18/10/2024,19:00,Bastia,Clermont,0,0,0,0,2.24,3.02,3.39,2.6,1.47,20,6,4,2
18/10/2024,19:00,Grenoble,Metz,1,0,2,0,3.43,3.15,2.16,2.2,1.64,13,13,5,7
18/10/2024,19:00,Guingamp,Pau FC,0,0,0,1,1.86,3.52,4.03,1.88,1.89,15,13,6,7
18/10/2024,19:00,Laval,Dunkerque,3,0,3,2,2.16,3.19,3.4,2.23,1.63,3,14,3,7
