Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,Season,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
02/04/2022,13:00,HJK,Honka,,,1,0,2022,1.89,3.18,4.48,,
02/04/2022,15:00,Haka,Ilves,,,2,1,2022,2.48,2.99,3.04,,
02/04/2022,15:00,KuPS,Inter Turku,,,2,1,2022,2.03,3.29,3.73,,
02/04/2022,15:00,SJK,HIFK,,,2,1,2022,1.71,3.51,5.1,,
02/04/2022,15:00,VPS,AC Oulu,,,2,2,2022,2.38,3.13,3.06,,
02/04/2022,16:30,Mariehamn,Lahti,,,0,0,2022,2.36,3.43,2.83,,
07/04/2022,16:00,Honka,Haka,,,3,2,2022,2.22,3.0,3.56,,
08/04/2022,16:00,Lahti,VPS,,,0,5,2022,2.32,3.38,2.91,,
08/04/2022,16:00,SJK,HJK,,,0,1,2022,3.73,3.16,2.07,,
09/04/2022,13:00,Inter Turku,AC Oulu,,,2,1,2022,1.61,3.81,5.44,,
09/04/2022,16:00,HIFK,Mariehamn,,,1,1,2022,2.39,3.15,3.03,,
09/04/2022,17:00,Ilves,KuPS,,,1,2,2022,4.33,3.32,1.87,,
15/04/2022,16:00,KuPS,SJK,,,2,0,2022,1.68,3.55,5.32,,
17/04/2022,12:00,Inter Turku,Haka,,,0,2,2022,2.3,3.18,3.17,,
17/04/2022,14:00,AC Oulu,Ilves,,,2,2,2022,3.72,3.26,2.04,,
18/04/2022,16:00,HIFK,Lahti,,,0,3,2022,2.25,3.21,3.22,,
18/04/2022,16:00,Mariehamn,Honka,,,1,1,2022,3.51,3.35,2.08,,
18/04/2022,16:00,VPS,HJK,,,0,1,2022,7.8,4.42,1.41,,
22/04/2022,16:00,Haka,HIFK,,,2,1,2022,1.78,3.32,4.88,,
22/04/2022,16:00,Lahti,KuPS,,,0,1,2022,5.45,3.97,1.59,,
23/04/2022,13:00,HJK,Inter Turku,,,1,4,2022,1.78,3.47,4.64,,
23/04/2022,15:00,Ilves,VPS,,,3,2,2022,1.93,3.38,3.96,,
24/04/2022,16:30,Mariehamn,AC Oulu,,,2,1,2022,1.64,4.02,4.82,,
25/04/2022,16:00,Honka,SJK,,,5,1,2022,2.19,3.17,3.38,,
28/04/2022,16:00,HIFK,HJK,,,0,2,2022,8.4,4.18,1.42,,
29/04/2022,16:00,AC Oulu,Haka,,,3,0,2022,4.33,3.36,1.86,,
29/04/2022,16:00,Ilves,SJK,,,3,1,2022,2.58,3.25,2.7,,
29/04/2022,16:00,Inter Turku,Mariehamn,,,4,0,2022,1.56,4.07,5.66,,
29/04/2022,16:00,KuPS,VPS,,,3,1,2022,1.38,4.55,8.18,,
29/04/2022,16:00,Lahti,Honka,,,0,2,2022,4.0,3.57,1.86,,
03/05/2022,16:00,Inter Turku,HJK,,,0,1,2022,3.3,3.15,2.23,,
07/05/2022,13:00,SJK,Lahti,,,1,2,2022,1.86,3.63,3.97,,
07/05/2022,15:00,AC Oulu,HIFK,,,1,1,2022,2.25,3.12,3.33,,
07/05/2022,15:00,Haka,VPS,,,0,2,2022,1.8,3.56,4.35,,
07/05/2022,15:00,Honka,Inter Turku,,,2,1,2022,2.2,3.23,3.31,,
08/05/2022,16:30,HJK,Ilves,,,2,1,2022,1.43,4.43,6.96,,
08/05/2022,16:30,Mariehamn,KuPS,,,1,1,2022,5.55,3.93,1.58,,
12/05/2022,16:00,KuPS,Haka,,,2,1,2022,1.77,3.39,4.89,,
12/05/2022,16:00,Lahti,HJK,,,1,1,2022,6.16,4.1,1.52,,
13/05/2022,16:00,AC Oulu,Honka,,,2,1,2022,4.89,3.69,1.7,,
13/05/2022,16:00,VPS,SJK,,,0,1,2022,2.58,3.07,2.84,,
14/05/2022,15:00,Inter Turku,HIFK,,,2,2,2022,1.38,4.51,8.46,,
15/05/2022,13:00,Ilves,Mariehamn,,,1,0,2022,2.0,3.54,3.51,,
