Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,Season,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
19/08/2023,17:30,Empoli,Verona,0,0,0,1,,2.3,3.28,3.27,2.11,1.74
19/08/2023,17:30,Frosinone,Napoli,1,2,1,3,,8.79,5.12,1.36,1.68,2.2
19/08/2023,19:45,Genoa,Fiorentina,0,3,1,4,,3.41,3.34,2.21,2.06,1.77
19/08/2023,19:45,Inter,Monza,1,0,2,0,,1.38,5.08,7.92,1.58,2.41
20/08/2023,17:30,Roma,Salernitana,1,1,2,2,,1.53,4.07,6.83,2.1,1.75
20/08/2023,17:30,Sassuolo,Atalanta,0,0,0,2,,3.35,3.62,2.12,1.62,2.33
20/08/2023,19:45,Lecce,Lazio,0,1,2,1,,3.74,3.33,2.09,2.21,1.68
20/08/2023,19:45,Udinese,Juventus,0,3,0,3,,4.46,3.54,1.86,2.1,1.75
21/08/2023,17:30,Torino,Cagliari,0,0,0,0,,1.68,3.73,5.47,2.16,1.7
21/08/2023,19:45,Bologna,Milan,0,2,0,2,,3.9,3.49,1.99,2.05,1.78
26/08/2023,17:30,Frosinone,Atalanta,2,0,2,1,,4.92,4.09,1.68,1.7,2.19
26/08/2023,17:30,Monza,Empoli,1,0,2,0,,1.95,3.54,4.05,2.03,1.81
26/08/2023,19:45,Milan,Torino,3,1,4,1,,1.66,3.8,5.63,2.19,1.7
26/08/2023,19:45,Verona,Roma,2,0,2,1,,4.61,3.47,1.86,2.29,1.65
27/08/2023,17:30,Fiorentina,Lecce,2,0,2,2,,1.6,3.96,5.9,2.07,1.77
27/08/2023,17:30,Juventus,Bologna,0,1,1,1,,1.49,4.39,6.86,1.91,1.92
27/08/2023,19:45,Lazio,Genoa,0,1,0,1,,1.58,4.09,5.98,2.04,1.8
27/08/2023,19:45,Napoli,Sassuolo,1,0,2,0,,1.33,5.67,8.6,1.45,2.78
28/08/2023,17:30,Salernitana,Udinese,0,0,1,1,,2.75,3.32,2.62,2.01,1.82
28/08/2023,19:45,Cagliari,Inter,0,2,0,2,,6.85,4.73,1.45,1.73,2.13
01/09/2023,17:30,Sassuolo,Verona,1,0,3,1,,2.02,3.59,3.71,1.82,2.02
01/09/2023,19:45,Roma,Milan,0,1,1,2,,2.81,3.15,2.7,2.31,1.63
02/09/2023,17:30,Bologna,Cagliari,0,1,2,1,,1.72,3.72,5.17,1.95,1.88
02/09/2023,17:30,Udinese,Frosinone,0,0,0,0,,1.8,3.7,4.56,1.95,1.88
02/09/2023,19:45,Atalanta,Monza,2,0,3,0,,1.63,4.17,5.2,1.72,2.14
02/09/2023,19:45,Napoli,Lazio,1,1,1,2,,1.63,4.04,5.49,1.84,1.99
03/09/2023,17:30,Inter,Fiorentina,1,0,4,0,,1.65,4.04,5.11,1.78,2.06
03/09/2023,17:30,Torino,Genoa,0,0,1,0,,2.05,3.26,3.96,2.39,1.59
03/09/2023,19:45,Empoli,Juventus,0,1,0,2,,5.18,3.9,1.67,1.91,1.92
03/09/2023,19:45,Lecce,Salernitana,1,0,2,0,,2.02,3.38,3.9,2.18,1.7
16/09/2023,14:00,Juventus,Lazio,2,0,3,1,,1.93,3.44,4.24,2.12,1.74
16/09/2023,17:00,Inter,Milan,2,0,5,1,,2.15,3.52,3.41,1.89,1.94
16/09/2023,19:45,Genoa,Napoli,1,0,2,2,,5.21,4.03,1.65,1.79,2.04
17/09/2023,11:30,Cagliari,Udinese,0,0,0,0,,2.88,3.26,2.55,2.1,1.75
17/09/2023,14:00,Frosinone,Sassuolo,1,2,4,2,,2.77,3.49,2.51,1.83,2.0
17/09/2023,14:00,Monza,Lecce,1,1,1,1,,2.12,3.4,3.57,2.11,1.75
17/09/2023,17:00,Fiorentina,Atalanta,2,1,3,2,,2.46,3.52,2.81,1.79,2.05
17/09/2023,19:45,Roma,Empoli,3,0,7,0,,1.43,4.5,7.99,1.91,1.91
18/09/2023,17:30,Salernitana,Torino,0,2,0,3,,3.51,3.23,2.21,2.24,1.66
18/09/2023,19:45,Verona,Bologna,0,0,0,0,,2.98,3.31,2.44,2.1,1.75
22/09/2023,17:30,Salernitana,Frosinone,0,1,1,1,,2.52,3.26,2.95,2.11,1.75
22/09/2023,19:45,Lecce,Genoa,0,0,1,0,,2.46,3.11,3.17,2.37,1.6
23/09/2023,14:00,Milan,Verona,1,0,1,0,,1.38,4.87,8.61,1.77,2.08
23/09/2023,17:00,Sassuolo,Juventus,2,1,4,2,,4.23,3.93,1.8,1.73,2.13
23/09/2023,19:45,Lazio,Monza,1,1,1,1,,1.8,3.82,4.42,1.85,1.96
24/09/2023,11:30,Empoli,Inter,0,0,0,1,,8.92,5.42,1.33,1.55,2.47
24/09/2023,14:00,Atalanta,Cagliari,1,0,2,0,,1.39,4.94,7.85,1.68,2.22
24/09/2023,14:00,Udinese,Fiorentina,0,1,0,2,,3.1,3.45,2.3,1.92,1.91
24/09/2023,17:00,Bologna,Napoli,0,0,0,0,,3.72,3.64,1.99,1.83,2.01
24/09/2023,19:45,Torino,Roma,0,0,1,1,,3.07,3.05,2.55,2.62,1.51
26/09/2023,19:45,Juventus,Lecce,0,0,1,0,,1.5,4.27,7.05,1.91,1.92
27/09/2023,17:30,Cagliari,Milan,1,2,1,3,,5.43,3.89,1.66,1.94,1.89
27/09/2023,17:30,Empoli,Salernitana,1,0,1,0,,2.34,3.27,3.22,2.05,1.79
27/09/2023,17:30,Verona,Atalanta,0,1,0,1,,4.43,3.73,1.82,1.92,1.91
27/09/2023,19:45,Inter,Sassuolo,1,0,1,2,,1.33,5.72,8.57,1.4,2.95
27/09/2023,19:45,Lazio,Torino,0,0,2,0,,2.15,3.32,3.61,2.21,1.69
27/09/2023,19:45,Napoli,Udinese,2,0,4,1,,1.38,5.08,8.39,1.67,2.24
28/09/2023,17:30,Frosinone,Fiorentina,0,1,1,1,,3.7,3.64,2.0,1.84,2.0
28/09/2023,17:30,Monza,Bologna,0,0,0,0,,2.42,3.34,2.99,2.0,1.83
28/09/2023,19:45,Genoa,Roma,2,1,4,1,,3.76,3.25,2.12,2.33,1.62
30/09/2023,14:00,Lecce,Napoli,0,1,0,4,,4.73,3.8,1.76,1.95,1.87
30/09/2023,17:00,Milan,Lazio,0,0,2,0,,1.77,3.7,4.84,2.0,1.83
30/09/2023,19:45,Salernitana,Inter,0,0,0,4,,7.79,4.78,1.42,1.7,2.19
01/10/2023,11:30,Bologna,Empoli,1,0,3,0,,1.66,4.01,5.18,1.87,1.96
01/10/2023,14:00,Udinese,Genoa,1,2,2,2,,2.38,3.15,3.26,2.33,1.62
01/10/2023,17:00,Atalanta,Juventus,0,0,0,0,,2.51,3.45,2.82,1.89,1.94
01/10/2023,19:45,Roma,Frosinone,1,0,2,0,,1.45,4.43,7.62,1.91,1.91
02/10/2023,17:30,Sassuolo,Monza,0,0,0,1,,2.2,3.8,3.02,1.58,2.38
02/10/2023,17:30,Torino,Verona,0,0,0,0,,1.89,3.4,4.47,2.33,1.61
02/10/2023,19:45,Fiorentina,Cagliari,2,0,3,0,,1.49,4.36,6.96,1.83,2.0
06/10/2023,17:30,Empoli,Udinese,0,0,0,0,,3.12,3.34,2.38,1.97,1.87
06/10/2023,19:45,Lecce,Sassuolo,0,1,1,1,,2.57,3.5,2.74,1.79,2.06
07/10/2023,14:00,Inter,Bologna,2,1,2,2,,1.39,5.1,7.98,1.61,2.34
07/10/2023,17:00,Juventus,Torino,0,0,2,0,,1.93,3.35,4.46,2.36,1.6
07/10/2023,19:45,Genoa,Milan,0,0,0,1,,4.06,3.54,1.95,2.05,1.8
08/10/2023,11:30,Monza,Salernitana,2,0,3,0,,1.68,3.92,5.15,1.84,1.98
08/10/2023,14:00,Frosinone,Verona,1,0,2,1,,2.38,3.28,3.13,2.13,1.73
08/10/2023,14:00,Lazio,Atalanta,2,1,3,2,,2.81,3.3,2.61,1.99,1.85
08/10/2023,17:00,Cagliari,Roma,0,2,1,4,,4.71,3.46,1.84,2.28,1.64
08/10/2023,19:45,Napoli,Fiorentina,1,1,1,3,,1.61,4.22,5.32,1.64,2.24
21/10/2023,14:00,Verona,Napoli,0,2,1,3,,5.45,3.95,1.65,1.87,1.96
21/10/2023,17:00,Torino,Inter,0,0,0,3,,5.11,3.7,1.74,2.02,1.82
21/10/2023,19:45,Sassuolo,Lazio,0,2,0,2,,2.71,3.66,2.5,1.63,2.29
22/10/2023,11:30,Roma,Monza,0,0,1,0,,1.72,3.79,4.99,1.92,1.91
22/10/2023,14:00,Bologna,Frosinone,2,0,2,1,,1.75,3.77,4.84,1.9,1.92
22/10/2023,14:00,Salernitana,Cagliari,0,0,2,2,,2.32,3.19,3.31,2.17,1.7
22/10/2023,17:00,Atalanta,Genoa,0,0,2,0,,1.55,4.07,6.51,1.98,1.85
22/10/2023,19:45,Milan,Juventus,0,0,0,1,,2.3,3.28,3.31,2.15,1.72
23/10/2023,17:30,Udinese,Lecce,0,0,1,1,,2.19,3.26,3.56,2.2,1.68
23/10/2023,19:45,Fiorentina,Empoli,0,1,0,2,,1.44,4.76,7.25,1.65,2.27
27/10/2023,19:45,Genoa,Salernitana,1,0,1,0,,1.75,3.67,5.06,2.16,1.72
28/10/2023,14:00,Sassuolo,Bologna,1,1,1,1,,2.67,3.48,2.64,1.73,2.15
