Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HS,AS,HST,AST
25/09/2020,15:45,Monza,Spal,0.0,0.0,0,0,2.09,3.22,3.57,2.13,1.7,14.0,6.0,7.0,0.0
26/09/2020,13:00,Brescia,Ascoli,1.0,1.0,1,1,1.8,3.33,4.57,2.11,1.7,8.0,8.0,5.0,2.0
26/09/2020,13:00,Cosenza,Virtus Entella,0.0,0.0,0,0,2.2,3.11,3.35,2.16,1.67,2.0,7.0,2.0,5.0
26/09/2020,13:00,Frosinone,Empoli,0.0,1.0,0,2,2.22,3.04,3.38,2.12,1.69,10.0,8.0,4.0,3.0
26/09/2020,13:00,Lecce,Pordenone,0.0,0.0,0,0,1.91,3.27,4.07,2.05,1.75,12.0,9.0,4.0,5.0
26/09/2020,13:00,Pescara,Chievo,0.0,0.0,0,0,2.48,3.02,2.93,2.11,1.7,4.0,13.0,0.0,2.0
26/09/2020,13:00,Salernitana,Reggina,0.0,0.0,1,1,2.19,3.26,3.22,1.94,1.85,12.0,14.0,4.0,3.0
26/09/2020,15:00,Venezia,Vicenza,1.0,0.0,1,0,2.02,3.17,3.78,2.18,1.65,10.0,10.0,6.0,5.0
27/09/2020,14:00,Cremonese,Cittadella,0.0,1.0,0,2,2.24,3.08,3.3,2.14,1.68,17.0,19.0,4.0,5.0
27/09/2020,20:00,Reggiana,Pisa,1.0,2.0,2,2,2.56,3.02,2.83,2.15,1.67,7.0,9.0,3.0,2.0
03/10/2020,13:15,Chievo,Salernitana,1.0,1.0,1,2,1.96,3.18,4.05,2.16,1.67,13.0,10.0,2.0,4.0
03/10/2020,15:15,Ascoli,Lecce,0.0,0.0,0,2,3.02,3.08,2.39,1.95,1.83,13.0,16.0,1.0,6.0
03/10/2020,15:15,Empoli,Monza,0.0,0.0,0,0,2.84,3.02,2.56,2.04,1.76,7.0,15.0,4.0,6.0
03/10/2020,15:15,Reggina,Pescara,3.0,0.0,3,1,2.09,3.07,3.74,2.27,1.6,13.0,8.0,5.0,2.0
03/10/2020,15:15,Spal,Cosenza,0.0,0.0,1,1,1.73,3.29,5.3,2.3,1.59,20.0,18.0,5.0,7.0
03/10/2020,15:15,Venezia,Frosinone,0.0,0.0,0,2,2.77,2.79,2.85,2.35,1.57,17.0,9.0,4.0,5.0
03/10/2020,15:15,Vicenza,Pordenone,0.0,0.0,1,1,2.43,2.93,3.14,2.17,1.67,13.0,9.0,3.0,3.0
03/10/2020,15:15,Virtus Entella,Reggiana,0.0,1.0,0,2,2.19,3.05,3.47,2.12,1.7,21.0,12.0,4.0,6.0
04/10/2020,14:00,Pisa,Cremonese,1.0,1.0,1,1,2.36,2.91,3.29,2.3,1.59,10.0,9.0,4.0,3.0
04/10/2020,20:00,Cittadella,Brescia,0.0,0.0,3,0,2.76,3.05,2.62,2.02,1.77,12.0,8.0,6.0,3.0
16/10/2020,20:00,Brescia,Lecce,1.0,0.0,3,0,2.43,3.2,2.88,1.9,1.89,9.0,15.0,3.0,6.0
17/10/2020,13:00,Cosenza,Cittadella,1.0,1.0,1,1,2.9,3.02,2.53,2.03,1.77,11.0,14.0,3.0,6.0
17/10/2020,13:00,Cremonese,Venezia,0.0,0.0,0,0,2.08,3.03,3.82,2.24,1.62,14.0,11.0,4.0,2.0
17/10/2020,13:00,Frosinone,Ascoli,0.0,0.0,1,0,1.81,3.37,4.53,1.91,1.87,12.0,20.0,5.0,4.0
17/10/2020,13:00,Pordenone,Spal,2.0,1.0,3,3,2.5,3.09,2.89,2.1,1.72,15.0,16.0,6.0,7.0
17/10/2020,13:00,Reggiana,Chievo,0.0,1.0,0,1,2.84,2.97,2.62,2.2,1.65,14.0,17.0,5.0,10.0
17/10/2020,13:00,Salernitana,Pisa,1.0,0.0,4,1,2.25,3.15,3.25,2.07,1.73,19.0,21.0,6.0,6.0
17/10/2020,13:00,Virtus Entella,Reggina,0.0,0.0,1,1,2.35,3.07,3.12,2.04,1.76,5.0,11.0,4.0,5.0
