Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,Season,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
14/02/2020,19:45,Cork City,Shelbourne,,,0,1,2020,2.11,3.17,3.48,,
14/02/2020,19:45,Dundalk,Derry City,,,1,0,2020,1.5,3.96,6.34,,
14/02/2020,19:45,St. Patricks,Waterford,,,0,1,2020,1.86,3.27,4.34,,
14/02/2020,20:00,Finn Harps,Sligo Rovers,,,1,0,2020,2.8,2.98,2.63,,
15/02/2020,14:00,Bohemians,Shamrock Rovers,,,0,1,2020,3.62,3.0,2.13,,
21/02/2020,19:45,Derry City,Finn Harps,,,1,1,2020,1.4,4.06,8.46,,
21/02/2020,19:45,Shelbourne,Dundalk,,,1,2,2020,7.91,4.41,1.38,,
21/02/2020,19:45,Sligo Rovers,St. Patricks,,,0,2,2020,3.57,3.12,2.09,,
21/02/2020,19:45,Waterford,Bohemians,,,0,2,2020,3.1,3.04,2.34,,
21/02/2020,20:00,Shamrock Rovers,Cork City,,,6,0,2020,1.19,5.69,16.3,,
24/02/2020,19:00,Waterford,Shamrock Rovers,,,0,2,2020,7.7,4.13,1.42,,
24/02/2020,19:45,Bohemians,Sligo Rovers,,,2,0,2020,1.52,3.69,6.61,,
24/02/2020,19:45,Dundalk,Cork City,,,3,0,2020,1.16,6.78,15.57,,
28/02/2020,19:45,Cork City,Finn Harps,,,1,0,2020,2.38,2.86,3.29,,
28/02/2020,19:45,Derry City,Bohemians,,,2,0,2020,2.27,3.12,3.18,,
28/02/2020,19:45,Shamrock Rovers,Dundalk,,,3,2,2020,2.23,3.14,3.25,,
28/02/2020,19:45,Shelbourne,St. Patricks,,,1,0,2020,3.4,3.03,2.22,,
06/03/2020,19:45,St. Patricks,Cork City,,,1,0,2020,1.53,3.82,6.28,,
06/03/2020,19:45,Waterford,Derry City,,,2,1,2020,3.85,3.3,1.95,,
06/03/2020,20:00,Bohemians,Shelbourne,,,2,0,2020,1.79,3.24,4.82,,
06/03/2020,20:00,Finn Harps,Dundalk,,,0,4,2020,7.68,4.33,1.4,,
07/03/2020,20:00,Sligo Rovers,Shamrock Rovers,,,2,3,2020,10.44,5.05,1.28,,
31/07/2020,17:45,Derry City,Sligo Rovers,,,0,2,2020,1.64,3.72,5.15,,
31/07/2020,19:45,Dundalk,St. Patricks,,,1,1,2020,1.58,3.74,5.84,,
01/08/2020,14:00,Shelbourne,Waterford,,,0,1,2020,1.99,3.24,3.85,,
01/08/2020,17:00,Shamrock Rovers,Finn Harps,,,3,1,2020,1.22,5.65,13.04,,
02/08/2020,17:00,Cork City,Bohemians,,,0,1,2020,5.26,3.47,1.68,,
03/08/2020,19:45,St. Patricks,Derry City,,,0,2,2020,1.83,3.19,4.65,,
04/08/2020,17:45,Finn Harps,Shelbourne,,,0,1,2020,2.67,2.87,2.86,,
07/08/2020,17:45,Bohemians,Dundalk,,,2,1,2020,4.01,3.22,1.95,,
07/08/2020,19:45,St. Patricks,Finn Harps,,,2,0,2020,1.51,3.69,7.14,,
08/08/2020,14:00,Waterford,Cork City,,,0,0,2020,1.94,3.2,4.07,,
08/08/2020,17:00,Sligo Rovers,Shelbourne,,,2,1,2020,2.76,2.99,2.65,,
09/08/2020,17:00,Derry City,Shamrock Rovers,,,1,2,2020,5.64,3.58,1.62,,
14/08/2020,17:45,Dundalk,Waterford,,,2,2,2020,1.39,4.57,7.27,,
14/08/2020,19:45,Cork City,Sligo Rovers,,,3,0,2020,3.42,3.02,2.22,,
15/08/2020,14:00,Finn Harps,Bohemians,,,0,1,2020,4.79,3.16,1.83,,
15/08/2020,17:00,Shelbourne,Derry City,,,1,1,2020,3.37,2.92,2.31,,
16/08/2020,17:00,St. Patricks,Shamrock Rovers,,,0,0,2020,4.89,3.2,1.8,,
18/08/2020,17:45,Sligo Rovers,Waterford,,,2,1,2020,2.62,3.1,2.7,,
21/08/2020,17:45,Derry City,Cork City,,,3,1,2020,1.82,3.34,4.48,,
21/08/2020,19:45,Shamrock Rovers,Shelbourne,,,0,0,2020,1.25,5.17,12.87,,
22/08/2020,14:00,Bohemians,St. Patricks,,,2,0,2020,2.5,2.88,3.07,,
22/08/2020,17:00,Sligo Rovers,Dundalk,,,3,1,2020,4.67,3.78,1.68,,
23/08/2020,14:00,Waterford,Finn Harps,,,2,3,2020,2.01,3.12,3.9,,
04/09/2020,19:45,Waterford,St. Patricks,,,3,0,2020,3.38,3.09,2.2,,
05/09/2020,14:00,Shamrock Rovers,Bohemians,,,1,0,2020,1.7,3.38,5.24,,
05/09/2020,17:00,Shelbourne,Cork City,,,1,1,2020,1.78,3.26,4.84,,
07/09/2020,19:45,Sligo Rovers,Finn Harps,,,3,1,2020,2.04,3.15,3.75,,
11/09/2020,17:45,Bohemians,Waterford,,,0,2,2020,1.49,3.98,6.47,,
11/09/2020,20:00,Dundalk,Shelbourne,,,3,2,2020,1.59,3.87,5.35,,
12/09/2020,14:00,Cork City,Shamrock Rovers,,,0,3,2020,12.34,5.37,1.24,,
12/09/2020,17:00,St. Patricks,Sligo Rovers,,,0,0,2020,1.98,3.21,3.91,,
13/09/2020,17:00,Finn Harps,Derry City,,,0,0,2020,3.53,3.0,2.19,,
18/09/2020,17:45,Derry City,St. Patricks,,,0,0,2020,2.8,2.96,2.66,,
18/09/2020,19:45,Sligo Rovers,Bohemians,,,0,1,2020,3.69,3.13,2.08,,
19/09/2020,19:30,Shelbourne,Finn Harps,,,1,1,2020,2.17,3.07,3.51,,
21/09/2020,19:00,Shamrock Rovers,Waterford,,,6,1,2020,1.29,5.11,10.25,,
