Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HS,AS,HST,AST
13/08/2021,19:00,Go Ahead Eagles,Heerenveen,0,1,0,1,2.69,3.36,2.59,1.95,1.86,11,19,3,5
14/08/2021,15:30,Waalwijk,AZ Alkmaar,1,0,1,0,6.33,4.77,1.45,1.47,2.65,7,19,2,5
14/08/2021,17:45,Heracles,PSV Eindhoven,0,1,0,2,6.1,4.6,1.48,1.52,2.52,6,19,2,6
14/08/2021,19:00,For Sittard,Twente,0,1,2,1,2.71,3.43,2.52,1.77,2.05,6,13,4,1
14/08/2021,20:00,Ajax,Nijmegen,5,0,5,0,1.08,10.65,27.08,1.28,3.6,25,7,9,1
15/08/2021,11:15,Cambuur,Groningen,0,1,1,2,2.46,3.51,2.72,1.77,2.05,6,11,3,7
15/08/2021,13:30,Utrecht,Sparta Rotterdam,1,0,4,0,1.57,4.26,5.36,1.61,2.32,22,7,8,1
15/08/2021,13:30,Zwolle,Vitesse,0,1,0,1,3.74,3.56,1.96,1.79,2.03,15,14,5,6
15/08/2021,15:45,Willem II,Feyenoord,0,2,0,4,4.1,4.02,1.78,1.56,2.4,6,21,3,9
20/08/2021,19:00,Nijmegen,Zwolle,2,0,2,0,2.54,3.33,2.75,1.83,1.97,8,17,3,1
21/08/2021,17:45,Heerenveen,Waalwijk,3,0,3,2,1.76,3.69,4.55,1.59,2.31,11,17,4,3
21/08/2021,19:00,PSV Eindhoven,Cambuur,2,0,4,1,1.25,6.21,10.16,1.4,2.88,25,8,8,4
21/08/2021,19:00,Sparta Rotterdam,Heracles,1,0,1,1,2.18,3.22,3.42,1.91,1.89,11,12,4,4
21/08/2021,20:00,Groningen,Utrecht,0,0,0,0,3.57,3.64,1.97,1.86,1.94,13,5,3,0
22/08/2021,11:15,Twente,Ajax,0,0,1,1,8.86,5.82,1.29,1.35,3.06,13,9,3,3
22/08/2021,13:30,Feyenoord,Go Ahead Eagles,0,0,2,0,1.24,6.12,10.83,1.44,2.71,29,8,9,3
22/08/2021,15:45,Vitesse,Willem II,0,2,0,3,1.63,4.02,5.04,1.64,2.23,17,13,6,4
27/08/2021,19:00,For Sittard,Waalwijk,1,1,2,2,1.79,3.89,4.17,1.69,2.18,11,15,2,5
28/08/2021,17:45,Cambuur,Twente,0,0,2,0,2.54,3.49,2.65,1.68,2.18,23,10,6,2
28/08/2021,19:00,Go Ahead Eagles,Sparta Rotterdam,1,0,2,0,3.12,3.38,2.27,1.95,1.85,18,13,7,1
28/08/2021,19:00,PSV Eindhoven,Groningen,3,2,5,2,1.33,5.19,8.92,1.59,2.33,16,14,8,4
28/08/2021,20:00,Willem II,Zwolle,0,0,1,0,2.17,3.39,3.33,1.84,1.97,16,11,3,4
29/08/2021,11:15,Utrecht,Feyenoord,1,1,3,1,2.81,3.39,2.47,1.67,2.19,19,12,7,2
29/08/2021,13:30,Ajax,Vitesse,3,0,5,0,1.23,6.54,11.15,1.35,3.15,29,7,11,1
29/08/2021,13:30,Heracles,Nijmegen,0,0,0,1,1.78,3.97,4.13,1.75,2.07,14,6,4,4
29/08/2021,15:45,Heerenveen,AZ Alkmaar,1,1,1,3,3.69,3.59,1.97,1.68,2.17,7,15,3,5
11/09/2021,15:30,Twente,Utrecht,0,0,1,0,3.53,3.56,2.03,1.78,2.04,11,11,5,1
11/09/2021,17:45,Cambuur,Go Ahead Eagles,1,1,5,2,1.75,3.8,4.51,1.81,2.01,15,13,9,7
11/09/2021,17:45,Zwolle,Ajax,0,1,0,2,12.64,7.18,1.2,1.35,3.16,9,17,2,8
11/09/2021,20:00,AZ Alkmaar,PSV Eindhoven,0,1,0,3,3.18,3.79,2.1,1.61,2.31,7,10,3,4
12/09/2021,11:15,Nijmegen,Willem II,0,0,0,0,2.68,3.36,2.55,1.88,1.92,22,8,8,2
12/09/2021,13:30,Groningen,Heerenveen,0,1,1,1,2.07,3.54,3.4,1.87,1.95,15,8,3,2
12/09/2021,13:30,Sparta Rotterdam,For Sittard,2,0,3,1,1.97,3.6,3.65,1.84,1.97,18,4,8,2
12/09/2021,15:45,Waalwijk,Vitesse,1,1,1,2,3.27,3.66,2.08,1.65,2.26,9,9,4,4
17/09/2021,19:00,Sparta Rotterdam,Nijmegen,1,1,1,1,2.07,3.5,3.54,1.96,1.85,15,11,4,4
18/09/2021,15:30,Heerenveen,For Sittard,1,0,1,0,1.75,3.92,4.32,1.71,2.14,17,13,7,4
18/09/2021,17:45,Willem II,Groningen,2,0,2,1,2.42,3.34,2.89,1.9,1.91,7,14,3,5
18/09/2021,19:00,Ajax,Cambuur,4,0,9,0,1.09,11.09,25.41,1.21,4.24,21,11,11,2
18/09/2021,20:00,Utrecht,Waalwijk,1,2,2,2,1.31,5.5,9.12,1.53,2.5,19,13,6,5
19/09/2021,11:15,Go Ahead Eagles,Zwolle,0,0,1,0,2.42,3.33,2.91,1.99,1.82,19,9,7,3
19/09/2021,13:30,PSV Eindhoven,Feyenoord,0,1,0,4,1.71,3.99,4.55,1.55,2.43,14,10,3,4
19/09/2021,15:45,Heracles,AZ Alkmaar,1,1,3,2,4.0,3.75,1.85,1.72,2.14,14,10,7,4
19/09/2021,15:45,Vitesse,Twente,0,2,1,4,2.0,3.65,3.54,1.7,2.14,19,12,7,7
21/09/2021,17:45,For Sittard,Ajax,0,3,0,5,18.91,9.11,1.13,1.26,3.75,6,25,1,9
21/09/2021,20:00,Waalwijk,Willem II,0,0,1,2,2.51,3.52,2.69,1.76,2.05,11,14,4,5
22/09/2021,17:45,Go Ahead Eagles,PSV Eindhoven,0,1,1,2,10.19,5.76,1.28,1.5,2.57,12,19,5,8
22/09/2021,17:45,Nijmegen,Utrecht,0,1,0,3,4.51,3.84,1.75,1.77,2.05,12,12,3,4
22/09/2021,19:00,Groningen,Vitesse,0,1,0,1,2.47,3.46,2.75,1.85,1.96,8,13,2,3
22/09/2021,20:00,Feyenoord,Heerenveen,1,0,3,1,1.4,5.01,7.05,1.51,2.51,21,5,9,1
22/09/2021,20:00,Zwolle,Sparta Rotterdam,1,1,1,1,2.71,3.28,2.61,1.98,1.83,16,8,4,4
23/09/2021,17:45,Cambuur,Heracles,1,0,2,1,2.14,3.64,3.17,1.64,2.25,10,17,4,4
23/09/2021,20:00,Twente,AZ Alkmaar,2,1,3,1,3.37,3.65,2.06,1.63,2.27,11,11,7,5
25/09/2021,15:30,Willem II,PSV Eindhoven,1,1,2,1,5.87,4.36,1.52,1.61,2.29,3,25,1,9
25/09/2021,17:45,Ajax,Groningen,1,0,3,0,1.05,14.34,40.64,1.23,3.94,23,5,9,2
25/09/2021,17:45,Vitesse,For Sittard,0,1,1,1,1.62,4.17,4.96,1.59,2.33,22,2,9,1
25/09/2021,20:00,Feyenoord,Nijmegen,2,2,5,3,1.22,6.66,12.31,1.41,2.84,19,8,7,3
25/09/2021,20:00,Utrecht,Zwolle,1,0,5,1,1.3,5.54,9.56,1.55,2.42,22,8,11,3
26/09/2021,11:15,Sparta Rotterdam,Cambuur,0,1,0,4,1.98,3.71,3.55,1.68,2.18,9,9,1,5
26/09/2021,13:30,AZ Alkmaar,Go Ahead Eagles,2,0,5,0,1.33,5.32,8.83,1.51,2.53,17,6,13,1
26/09/2021,13:30,Heerenveen,Twente,0,2,2,3,2.35,3.42,2.94,1.81,2.0,12,13,3,5
26/09/2021,15:45,Heracles,Waalwijk,0,0,1,0,1.83,3.74,4.11,1.7,2.14,22,5,9,0
01/10/2021,19:00,Groningen,Twente,1,0,1,1,2.69,3.33,2.62,1.9,1.9,8,11,4,3
02/10/2021,17:45,Waalwijk,Go Ahead Eagles,0,1,1,1,2.27,3.55,3.0,1.68,2.18,16,13,3,3
02/10/2021,19:00,Heracles,Willem II,1,0,3,2,1.9,3.75,3.81,1.82,1.99,17,13,7,5
02/10/2021,19:00,Zwolle,Heerenveen,0,0,0,1,2.84,3.28,2.5,1.94,1.87,16,9,3,2
02/10/2021,20:00,For Sittard,Nijmegen,1,2,1,3,2.42,3.46,2.83,1.8,2.01,11,10,3,4
03/10/2021,13:30,Ajax,Utrecht,0,0,0,1,1.18,7.56,14.03,1.27,3.74,20,8,6,4
03/10/2021,13:30,Cambuur,AZ Alkmaar,0,2,1,3,3.91,3.95,1.83,1.54,2.43,13,9,4,5
03/10/2021,15:45,Vitesse,Feyenoord,1,1,2,1,3.4,3.91,1.98,1.59,2.33,14,19,6,3
03/10/2021,19:00,PSV Eindhoven,Sparta Rotterdam,0,0,2,1,1.2,6.8,13.29,1.46,2.68,26,5,12,2
16/10/2021,15:30,Feyenoord,Waalwijk,1,2,2,2,1.19,6.96,12.96,1.34,3.2,27,5,9,3
16/10/2021,17:45,Go Ahead Eagles,Heracles,1,1,4,2,3.02,3.43,2.27,1.91,1.9,12,22,4,6
16/10/2021,17:45,Heerenveen,Ajax,0,1,0,2,10.47,6.44,1.24,1.33,3.25,14,15,5,3
16/10/2021,20:00,For Sittard,Cambuur,0,0,1,0,2.56,3.55,2.58,1.61,2.31,9,8,6,3
16/10/2021,20:00,PSV Eindhoven,Zwolle,0,1,3,1,1.15,7.68,16.34,1.41,2.85,29,6,10,1
17/10/2021,11:15,AZ Alkmaar,Utrecht,3,0,5,1,2.06,3.68,3.3,1.64,2.26,10,8,7,3
17/10/2021,13:30,Nijmegen,Vitesse,0,1,0,1,3.01,3.52,2.24,1.8,2.02,9,15,3,6
17/10/2021,13:30,Sparta Rotterdam,Groningen,1,1,1,1,2.34,3.32,2.99,1.91,1.9,17,7,5,3
17/10/2021,15:45,Twente,Willem II,1,1,1,1,1.73,3.85,4.52,1.71,2.14,6,7,2,3
22/10/2021,19:00,Willem II,For Sittard,0,0,1,1,1.91,3.64,3.89,1.87,1.94,21,11,7,7
23/10/2021,17:45,Utrecht,Heerenveen,1,1,2,1,1.45,4.6,6.65,1.58,2.39,16,12,6,6
23/10/2021,19:00,Zwolle,Heracles,0,0,1,0,3.0,3.44,2.29,1.92,1.89,10,10,2,3
23/10/2021,20:00,Waalwijk,Sparta Rotterdam,0,0,1,0,2.62,3.45,2.57,1.81,2.01,10,9,4,2
24/10/2021,11:15,Twente,Nijmegen,0,0,1,2,1.72,3.88,4.55,1.74,2.11,20,6,6,4
24/10/2021,13:30,Cambuur,Feyenoord,1,2,2,3,5.28,4.53,1.54,1.42,2.82,8,21,4,5
24/10/2021,13:30,Vitesse,Go Ahead Eagles,1,0,1,2,1.55,4.36,5.51,1.59,2.35,11,10,3,6
24/10/2021,15:45,Ajax,PSV Eindhoven,1,0,5,0,1.44,4.88,6.33,1.44,2.76,16,10,7,5
24/10/2021,19:00,Groningen,AZ Alkmaar,1,0,2,0,4.3,3.72,1.79,1.79,2.03,8,21,4,9
30/10/2021,15:30,PSV Eindhoven,Twente,2,2,5,2,1.32,5.36,8.79,1.52,2.49,20,7,12,4
30/10/2021,17:45,Heracles,Ajax,0,0,0,0,13.74,7.1,1.19,1.36,3.05,7,18,5,7
30/10/2021,19:00,Heerenveen,Vitesse,1,0,1,2,2.59,3.5,2.58,1.69,2.16,6,26,1,9
30/10/2021,20:00,AZ Alkmaar,Zwolle,2,2,3,2,1.24,6.01,10.98,1.5,2.52,17,7,6,3
31/10/2021,11:15,Sparta Rotterdam,Feyenoord,0,0,0,1,5.92,4.48,1.5,1.56,2.39,6,15,2,6
31/10/2021,13:30,Nijmegen,Groningen,1,0,3,0,2.53,3.28,2.76,1.95,1.85,18,11,9,1
31/10/2021,15:45,Utrecht,Willem II,2,1,5,1,1.37,4.89,7.9,1.55,2.4,19,9,7,3
31/10/2021,15:45,Waalwijk,Cambuur,0,0,0,1,2.51,3.54,2.62,1.62,2.28,20,14,3,5
31/10/2021,19:00,Go Ahead Eagles,For Sittard,0,2,4,3,1.84,3.76,3.97,1.73,2.11,23,11,5,5
05/11/2021,19:00,Twente,Heracles,1,0,1,0,2.22,3.38,3.25,1.98,1.83,15,10,5,2
06/11/2021,17:45,Nijmegen,Heerenveen,0,0,1,1,2.32,3.42,3.02,1.88,1.92,17,19,7,6
06/11/2021,19:00,Willem II,Sparta Rotterdam,0,2,0,3,2.15,3.5,3.26,1.87,1.94,8,10,0,5
06/11/2021,20:00,Zwolle,Cambuur,0,1,1,2,2.15,3.54,3.23,1.76,2.07,14,13,4,4
07/11/2021,11:15,Groningen,Waalwijk,0,1,1,1,1.77,3.77,4.44,1.81,2.0,15,6,6,1
07/11/2021,13:30,For Sittard,PSV Eindhoven,0,1,1,4,9.0,5.57,1.31,1.47,2.63,8,21,1,9
07/11/2021,15:45,Feyenoord,AZ Alkmaar,0,0,1,0,1.92,3.83,3.65,1.59,2.32,20,9,8,4
07/11/2021,15:45,Vitesse,Utrecht,2,0,2,1,2.91,3.63,2.28,1.65,2.24,19,6,8,2
07/11/2021,19:00,Ajax,Go Ahead Eagles,0,0,0,0,1.05,13.88,36.08,1.18,4.55,29,2,5,2
20/11/2021,15:30,PSV Eindhoven,Vitesse,2,0,2,0,1.42,4.87,6.95,1.53,2.45,8,14,5,5
20/11/2021,17:45,Sparta Rotterdam,Twente,0,0,0,1,2.7,3.25,2.65,2.03,1.78,11,6,4,4
20/11/2021,19:00,AZ Alkmaar,Nijmegen,0,1,1,1,1.37,4.92,8.33,1.61,2.3,21,7,7,2
20/11/2021,20:00,Heracles,For Sittard,2,1,3,1,1.66,3.96,5.0,1.67,2.18,19,14,8,4
21/11/2021,11:15,Go Ahead Eagles,Groningen,0,0,0,1,2.35,3.33,3.02,1.93,1.87,6,19,3,9
21/11/2021,13:30,Feyenoord,Zwolle,4,0,4,0,1.2,6.67,13.12,1.47,2.61,18,5,9,4
21/11/2021,13:30,Heerenveen,Willem II,0,0,2,1,2.0,3.61,3.59,1.72,2.12,9,17,4,5
21/11/2021,15:45,Waalwijk,Ajax,0,2,0,5,19.87,8.88,1.12,1.32,3.28,9,22,2,10
21/11/2021,19:00,Cambuur,Utrecht,1,1,2,1,4.05,3.93,1.8,1.57,2.35,10,15,4,5
26/11/2021,19:00,Nijmegen,Cambuur,2,1,2,3,2.31,3.42,3.05,1.75,2.07,20,15,9,8
