Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,Season,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
09/08/2024,19:00,Groningen,NAC Breda,3,0,4,1,,1.61,4.06,5.33,1.62,2.27
10/08/2024,15:30,Feyenoord,Willem II,1,0,1,1,,1.12,9.35,18.53,1.37,2.98
10/08/2024,17:45,Nijmegen,Twente,1,1,1,2,,3.63,3.66,1.97,1.68,2.15
10/08/2024,19:00,Almere City,AZ Alkmaar,0,1,0,1,,5.37,4.18,1.58,1.69,2.13
10/08/2024,20:00,PSV Eindhoven,Waalwijk,3,0,5,1,,1.09,10.89,21.72,1.26,3.68
11/08/2024,11:15,Sparta Rotterdam,Heracles,0,0,0,0,,1.5,4.58,5.88,1.52,2.48
11/08/2024,13:30,Go Ahead Eagles,For Sittard,0,0,0,2,,2.0,3.52,3.65,1.84,1.96
11/08/2024,13:30,Utrecht,Zwolle,1,0,1,0,,1.44,4.72,6.51,1.57,2.37
11/08/2024,15:45,Ajax,Heerenveen,1,0,1,0,,1.46,4.83,5.99,1.4,2.85
16/08/2024,19:00,For Sittard,Almere City,1,0,3,0,,1.79,3.67,4.44,1.94,1.86
17/08/2024,15:30,Heerenveen,Utrecht,0,1,1,1,,2.64,3.57,2.52,1.62,2.28
17/08/2024,17:45,Twente,Sparta Rotterdam,0,0,1,1,,1.51,4.49,5.8,1.58,2.34
17/08/2024,19:00,AZ Alkmaar,Nijmegen,1,0,1,0,,1.47,4.66,6.14,1.58,2.36
17/08/2024,20:00,Waalwijk,Groningen,0,1,1,2,,2.37,3.71,2.75,1.53,2.46
18/08/2024,11:15,Heracles,PSV Eindhoven,1,0,1,3,,13.41,8.98,1.15,1.21,4.13
18/08/2024,13:30,Willem II,Go Ahead Eagles,2,0,2,0,,3.0,3.55,2.26,1.75,2.07
18/08/2024,13:30,Zwolle,Feyenoord,0,1,1,5,,9.34,6.69,1.25,1.31,3.32
18/08/2024,15:45,NAC Breda,Ajax,0,0,2,1,,8.52,6.43,1.27,1.31,3.36
24/08/2024,17:45,Nijmegen,Zwolle,0,0,1,0,,1.57,4.26,5.3,1.56,2.36
24/08/2024,19:00,Almere City,PSV Eindhoven,0,2,1,7,,14.18,8.35,1.15,1.34,3.12
24/08/2024,20:00,NAC Breda,Utrecht,1,0,1,2,,4.31,3.92,1.75,1.64,2.24
25/08/2024,11:15,Groningen,AZ Alkmaar,0,0,0,0,,3.69,3.69,1.93,1.71,2.1
25/08/2024,13:30,Heracles,Willem II,1,1,1,1,,2.4,3.54,2.78,1.68,2.14
25/08/2024,13:30,Sparta Rotterdam,Feyenoord,1,0,1,1,,6.28,4.78,1.45,1.51,2.51
25/08/2024,15:45,Go Ahead Eagles,Waalwijk,1,0,2,0,,1.73,3.99,4.37,1.62,2.28
30/08/2024,19:00,Waalwijk,AZ Alkmaar,0,2,0,3,,7.11,4.66,1.43,1.63,2.27
31/08/2024,15:30,Almere City,Groningen,1,0,1,1,,3.35,3.47,2.13,1.9,1.9
