Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,Season,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
02/04/2022,15:00,Ham-Kam,Lillestrom,,,2,2,2022,2.66,3.21,2.71,,
02/04/2022,17:00,Molde,Valerenga,,,1,0,2022,1.78,3.94,4.15,,
03/04/2022,17:00,Aalesund,Kristiansund,,,1,0,2022,2.15,3.57,3.21,,
03/04/2022,17:00,Haugesund,Sandefjord,,,1,3,2022,1.98,3.37,3.92,,
03/04/2022,17:00,Jerv,Stromsgodset,,,1,0,2022,3.26,3.34,2.21,,
03/04/2022,17:00,Odd,Tromso,,,2,0,2022,2.27,3.14,3.35,,
03/04/2022,17:00,Sarpsborg 08,Viking,,,0,1,2022,2.33,3.41,3.0,,
03/04/2022,19:00,Bodo/Glimt,Rosenborg,,,2,2,2022,1.45,4.49,6.86,,
09/04/2022,15:00,Lillestrom,Jerv,,,4,0,2022,1.39,4.8,7.79,,
10/04/2022,17:00,Kristiansund,Sarpsborg 08,,,2,3,2022,2.28,3.35,3.1,,
10/04/2022,17:00,Rosenborg,Odd,,,1,0,2022,1.63,4.02,5.07,,
10/04/2022,17:00,Sandefjord,Bodo/Glimt,,,1,2,2022,4.58,3.75,1.75,,
10/04/2022,17:00,Stromsgodset,Molde,,,1,3,2022,2.62,3.58,2.5,,
10/04/2022,17:00,Tromso,Ham-Kam,,,2,1,2022,1.83,3.49,4.44,,
10/04/2022,17:00,Valerenga,Haugesund,,,2,1,2022,1.66,3.91,4.96,,
10/04/2022,19:00,Viking,Aalesund,,,1,0,2022,1.41,4.94,6.76,,
18/04/2022,17:00,Aalesund,Tromso,,,2,2,2022,2.19,3.37,3.3,,
18/04/2022,17:00,Ham-Kam,Sandefjord,,,3,0,2022,1.85,3.64,4.14,,
18/04/2022,17:00,Haugesund,Stromsgodset,,,0,1,2022,2.32,3.31,3.1,,
18/04/2022,17:00,Jerv,Kristiansund,,,1,0,2022,2.82,3.33,2.48,,
18/04/2022,17:00,Molde,Lillestrom,,,1,2,2022,1.52,4.6,5.44,,
18/04/2022,17:00,Odd,Viking,,,2,1,2022,3.43,3.61,2.05,,
18/04/2022,17:00,Sarpsborg 08,Rosenborg,,,1,1,2022,2.4,3.35,2.92,,
18/04/2022,19:00,Bodo/Glimt,Valerenga,,,5,1,2022,1.53,4.37,5.76,,
23/04/2022,15:00,Odd,Aalesund,,,2,3,2022,2.01,3.62,3.55,,
23/04/2022,17:00,Stromsgodset,Sandefjord,,,0,5,2022,1.62,4.02,5.23,,
24/04/2022,17:00,Kristiansund,Ham-Kam,,,2,2,2022,2.24,3.47,3.11,,
24/04/2022,17:00,Lillestrom,Haugesund,,,1,0,2022,1.58,4.1,5.46,,
24/04/2022,17:00,Tromso,Sarpsborg 08,,,2,5,2022,1.89,3.52,4.06,,
24/04/2022,17:00,Valerenga,Jerv,,,1,0,2022,1.3,5.61,9.32,,
24/04/2022,17:00,Viking,Bodo/Glimt,,,2,0,2022,2.28,3.68,2.87,,
24/04/2022,19:00,Rosenborg,Molde,,,0,0,2022,2.29,3.53,2.95,,
28/04/2022,19:00,Lillestrom,Aalesund,,,2,0,2022,1.74,3.81,4.48,,
30/04/2022,17:00,Viking,Haugesund,,,5,1,2022,1.46,4.67,6.28,,
07/05/2022,15:00,Sarpsborg 08,Odd,,,1,0,2022,1.75,3.85,4.47,,
07/05/2022,17:00,Molde,Viking,,,3,4,2022,2.08,3.76,3.2,,
08/05/2022,17:00,Bodo/Glimt,Lillestrom,,,1,1,2022,1.74,3.9,4.45,,
08/05/2022,17:00,Haugesund,Kristiansund,,,2,0,2022,2.0,3.56,3.61,,
08/05/2022,17:00,Jerv,Tromso,,,1,1,2022,3.31,3.36,2.19,,
08/05/2022,17:00,Sandefjord,Valerenga,,,1,3,2022,2.59,3.49,2.6,,
08/05/2022,17:00,Stromsgodset,Rosenborg,,,3,0,2022,2.82,3.39,2.46,,
08/05/2022,19:00,Ham-Kam,Aalesund,,,0,0,2022,2.33,3.42,2.97,,
11/05/2022,18:00,Molde,Odd,,,3,0,2022,1.38,5.16,7.09,,
12/05/2022,18:00,Tromso,Valerenga,,,1,0,2022,2.13,3.53,3.27,,
12/05/2022,18:00,Viking,Stromsgodset,,,0,0,2022,1.35,5.37,7.74,,
16/05/2022,17:00,Aalesund,Molde,,,0,2,2022,2.96,3.53,2.28,,
16/05/2022,17:00,Bodo/Glimt,Tromso,,,1,1,2022,1.63,3.93,5.26,,
16/05/2022,17:00,Kristiansund,Stromsgodset,,,0,3,2022,2.22,3.49,3.1,,
16/05/2022,17:00,Lillestrom,Sarpsborg 08,,,1,0,2022,2.09,3.51,3.41,,
16/05/2022,17:00,Odd,Haugesund,,,0,4,2022,1.99,3.6,3.6,,
16/05/2022,17:00,Rosenborg,Sandefjord,,,3,0,2022,1.35,5.21,8.17,,
16/05/2022,17:00,Viking,Jerv,,,3,0,2022,1.14,8.25,16.42,,
16/05/2022,19:00,Valerenga,Ham-Kam,,,1,1,2022,1.65,3.93,5.05,,
21/05/2022,15:00,Sandefjord,Lillestrom,,,1,4,2022,4.07,3.73,1.83,,
21/05/2022,17:00,Molde,Kristiansund,,,2,1,2022,1.29,5.98,8.62,,
22/05/2022,17:00,Haugesund,Bodo/Glimt,,,1,4,2022,4.28,3.78,1.78,,
22/05/2022,17:00,Jerv,Odd,,,0,1,2022,2.58,3.41,2.64,,
22/05/2022,17:00,Sarpsborg 08,Aalesund,,,1,2,2022,1.92,3.58,3.88,,
22/05/2022,17:00,Stromsgodset,Valerenga,,,3,2,2022,2.32,3.56,2.87,,
22/05/2022,17:00,Tromso,Viking,,,1,1,2022,2.35,3.38,2.96,,
22/05/2022,19:00,Ham-Kam,Rosenborg,,,1,1,2022,2.89,3.42,2.37,,
25/05/2022,17:00,Aalesund,Jerv,,,2,1,2022,1.39,4.78,7.77,,
25/05/2022,17:00,Bodo/Glimt,Stromsgodset,,,2,2,2022,1.36,5.23,7.51,,
25/05/2022,17:00,Odd,Sandefjord,,,0,1,2022,1.88,3.76,3.85,,
25/05/2022,17:00,Viking,Ham-Kam,,,1,1,2022,1.31,5.55,8.82,,
25/05/2022,19:00,Lillestrom,Valerenga,,,2,0,2022,1.86,3.67,3.94,,
26/05/2022,17:00,Rosenborg,Haugesund,,,3,3,2022,1.53,4.37,5.63,,
26/05/2022,19:00,Sarpsborg 08,Molde,,,1,2,2022,2.78,3.7,2.32,,
28/05/2022,15:00,Ham-Kam,Odd,,,1,2,2022,1.8,3.72,4.26,,
28/05/2022,17:00,Stromsgodset,Viking,,,3,2,2022,3.04,3.63,2.2,,
29/05/2022,17:00,Haugesund,Aalesund,,,2,2,2022,2.11,3.43,3.4,,
29/05/2022,17:00,Jerv,Sarpsborg 08,,,0,5,2022,3.61,3.7,1.95,,
29/05/2022,17:00,Molde,Bodo/Glimt,,,3,1,2022,2.4,3.68,2.69,,
29/05/2022,17:00,Tromso,Lillestrom,,,2,2,2022,2.23,3.23,3.32,,
29/05/2022,19:00,Valerenga,Rosenborg,,,0,4,2022,1.96,3.67,3.58,,
18/06/2022,15:00,Sarpsborg 08,Stromsgodset,,,5,1,2022,1.91,3.85,3.59,,
18/06/2022,17:00,Kristiansund,Bodo/Glimt,,,0,2,2022,5.01,4.41,1.57,,
19/06/2022,17:00,Jerv,Ham-Kam,,,1,2,2022,3.52,3.47,2.05,,
19/06/2022,17:00,Lillestrom,Rosenborg,,,3,1,2022,2.03,3.51,3.54,,
19/06/2022,17:00,Odd,Molde,,,1,2,2022,3.19,3.67,2.1,,
19/06/2022,17:00,Tromso,Haugesund,,,1,1,2022,1.68,3.84,4.89,,
19/06/2022,17:00,Viking,Sandefjord,,,1,2,2022,1.19,7.43,12.23,,
19/06/2022,19:00,Aalesund,Valerenga,,,2,2,2022,2.28,3.54,2.94,,
25/06/2022,15:00,Haugesund,Viking,,,4,2,2022,3.32,3.56,2.09,,
25/06/2022,17:00,Rosenborg,Kristiansund,,,3,1,2022,1.49,4.61,5.8,,
