Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,Season,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
08/08/2025,20:15,Casa Pia,Sp Lisbon,0,1,0,2,,9.14,5.11,1.3,1.66,2.1
09/08/2025,15:30,Nacional,Gil Vicente,0,2,0,2,,2.44,3.15,2.84,2.09,1.67
09/08/2025,20:30,Arouca,AVS,1,0,3,1,,1.82,3.49,4.17,1.99,1.75
10/08/2025,17:00,Famalicao,Santa Clara,2,0,3,0,,2.38,3.11,2.97,2.35,1.54
10/08/2025,20:30,Moreirense,Alverca,1,1,2,1,,2.05,3.14,3.52,2.15,1.63
10/08/2025,20:30,Sp Braga,Tondela,2,0,3,0,,1.36,4.63,7.88,1.72,2.02
11/08/2025,18:45,Estoril,Estrela,1,0,1,1,,1.89,3.49,3.83,2.0,1.73
11/08/2025,20:45,Porto,Guimaraes,2,0,3,0,,1.57,3.93,5.41,1.79,1.93
15/08/2025,15:30,AVS,Casa Pia,0,1,0,2,,2.74,3.05,2.59,2.31,1.55
16/08/2025,15:30,Tondela,Famalicao,0,0,0,1,,2.82,3.17,2.46,2.12,1.66
16/08/2025,18:00,Guimaraes,Estoril,1,1,3,2,,1.67,3.67,4.85,2.0,1.73
16/08/2025,20:30,Estrela,Benfica,0,0,0,1,,13.63,6.6,1.18,1.54,2.35
17/08/2025,15:30,Rio Ave,Nacional,1,0,1,1,,2.28,3.22,3.01,2.0,1.74
17/08/2025,18:00,Alverca,Sp Braga,0,3,0,3,,5.01,3.72,1.64,1.94,1.79
17/08/2025,18:00,Santa Clara,Moreirense,0,1,0,1,,1.87,3.12,4.5,2.6,1.44
17/08/2025,20:30,Sp Lisbon,Arouca,3,0,6,0,,1.25,5.68,10.08,1.57,2.27
18/08/2025,20:15,Gil Vicente,Porto,0,1,0,2,,6.33,4.24,1.47,1.86,1.86
23/08/2025,16:00,Moreirense,Guimaraes,0,0,2,0,,3.36,3.14,2.17,2.24,1.58
23/08/2025,18:00,Nacional,Sp Lisbon,1,0,1,4,,9.58,5.79,1.25,1.47,2.53
23/08/2025,20:30,Arouca,Rio Ave,1,0,3,3,,1.98,3.39,3.62,1.98,1.75
23/08/2025,20:30,Benfica,Tondela,2,0,3,0,,1.15,7.15,15.97,1.52,2.4
24/08/2025,15:30,Famalicao,Gil Vicente,0,0,0,0,,2.07,3.13,3.66,2.36,1.53
