Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,Season,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
01/08/2020,12:30,Aberdeen,Rangers,0,1,0,1,,7.11,4.49,1.43,1.75,2.05
01/08/2020,15:00,Dundee United,St Johnstone,1,0,1,1,,2.66,3.19,2.65,2.23,1.64
01/08/2020,15:00,Hibernian,Kilmarnock,2,1,2,1,,2.09,3.37,3.43,2.01,1.79
01/08/2020,15:00,St Mirren,Livingston,1,0,1,0,,2.89,3.19,2.45,2.21,1.65
02/08/2020,16:30,Celtic,Hamilton,2,1,5,1,,1.09,9.93,23.56,1.34,3.11
03/08/2020,19:45,Ross County,Motherwell,1,0,1,0,,3.19,3.38,2.18,1.98,1.8
08/08/2020,15:00,Hamilton,Ross County,0,0,0,1,,2.58,3.29,2.66,2.01,1.78
08/08/2020,15:00,Livingston,Hibernian,0,3,1,4,,2.51,3.16,2.85,2.06,1.75
08/08/2020,15:00,Motherwell,Dundee United,0,0,0,1,,2.07,3.26,3.65,2.18,1.67
09/08/2020,15:00,Rangers,St Mirren,1,0,3,0,,1.17,7.06,15.63,1.59,2.3
09/08/2020,16:30,Kilmarnock,Celtic,1,1,1,1,,10.72,5.68,1.25,1.52,2.48
11/08/2020,18:00,Dundee United,Hibernian,0,0,0,1,,3.19,3.3,2.24,1.95,1.85
12/08/2020,19:45,Motherwell,Livingston,2,1,2,2,,2.09,3.33,3.53,2.21,1.66
12/08/2020,19:45,Rangers,St Johnstone,2,0,3,0,,1.19,6.52,14.97,1.66,2.2
12/08/2020,19:45,Ross County,Kilmarnock,1,0,2,2,,2.94,3.18,2.43,2.19,1.66
15/08/2020,15:00,Hamilton,St Mirren,0,1,0,1,,2.68,3.08,2.72,2.43,1.54
15/08/2020,15:00,Kilmarnock,St Johnstone,0,0,1,2,,2.38,3.16,3.05,2.38,1.56
15/08/2020,15:00,Ross County,Dundee United,1,1,1,2,,2.56,3.3,2.69,2.04,1.76
15/08/2020,17:30,Hibernian,Motherwell,0,0,0,0,,2.0,3.44,3.61,1.97,1.83
16/08/2020,16:30,Livingston,Rangers,0,0,0,0,,8.11,4.76,1.36,1.76,2.04
20/08/2020,19:30,St Johnstone,Aberdeen,0,0,0,1,,2.58,3.07,2.83,2.58,1.49
22/08/2020,15:00,Motherwell,Hamilton,0,0,0,1,,1.6,3.85,5.62,1.85,1.96
22/08/2020,15:00,Rangers,Kilmarnock,0,0,2,0,,1.18,6.93,14.92,1.53,2.45
22/08/2020,15:00,St Mirren,Ross County,1,0,1,1,,2.42,3.3,2.87,2.1,1.72
22/08/2020,17:30,Dundee United,Celtic,0,0,0,1,,12.49,6.03,1.23,1.61,2.29
23/08/2020,15:00,Aberdeen,Livingston,0,0,2,1,,2.01,3.44,3.83,2.34,1.61
23/08/2020,16:30,St Johnstone,Hibernian,0,0,0,1,,2.97,3.32,2.33,2.02,1.78
29/08/2020,15:00,Kilmarnock,Dundee United,2,0,4,0,,2.39,3.24,2.98,2.22,1.65
29/08/2020,15:00,Livingston,Ross County,0,0,1,0,,2.12,3.29,3.48,2.24,1.63
29/08/2020,15:00,St Johnstone,St Mirren,0,0,1,0,,2.22,3.19,3.35,2.43,1.55
29/08/2020,17:30,Hamilton,Rangers,0,2,0,2,,15.7,7.2,1.16,1.5,2.53
30/08/2020,15:00,Celtic,Motherwell,1,0,3,0,,1.13,8.09,19.71,1.56,2.41
30/08/2020,16:30,Hibernian,Aberdeen,0,1,0,1,,2.4,3.22,2.95,2.16,1.68
12/09/2020,15:00,Aberdeen,Kilmarnock,1,0,1,0,,1.84,3.45,4.28,2.21,1.64
12/09/2020,15:00,Livingston,Hamilton,1,0,1,2,,1.59,3.8,5.81,2.14,1.69
12/09/2020,15:00,Motherwell,St Johnstone,1,0,1,0,,2.35,3.25,3.02,2.23,1.64
12/09/2020,15:00,Rangers,Dundee United,2,0,4,0,,1.15,7.25,17.69,1.53,2.45
