Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HS,AS,HST,AST
31/07/2021,13:30,Rangers,Livingston,1,0,3,0,1.17,6.97,16.79,1.66,2.21,18,2,8,0
31/07/2021,15:00,Dundee,St Mirren,1,1,2,2,2.6,3.23,2.72,2.16,1.69,11,14,4,5
31/07/2021,15:00,Ross County,St Johnstone,0,0,0,0,3.83,3.29,2.02,2.25,1.64,4,10,0,2
31/07/2021,20:00,Hearts,Celtic,1,0,2,1,4.66,3.84,1.71,1.83,1.97,11,19,4,7
01/08/2021,15:00,Aberdeen,Dundee United,1,0,2,0,1.75,3.48,4.9,2.31,1.6,7,5,3,1
01/08/2021,16:30,Motherwell,Hibernian,2,1,2,3,3.34,3.37,2.14,2.13,1.7,9,14,5,5
07/08/2021,12:30,Dundee United,Rangers,0,0,1,0,12.4,6.07,1.23,1.65,2.2,9,14,2,2
07/08/2021,15:00,St Mirren,Hearts,0,1,1,2,2.88,3.28,2.43,2.13,1.7,10,11,3,4
08/08/2021,15:00,Celtic,Dundee,2,0,6,0,1.23,6.26,11.54,1.53,2.45,31,3,15,0
08/08/2021,15:00,Hibernian,Ross County,3,0,3,0,1.53,4.14,6.03,1.87,1.92,18,8,6,0
08/08/2021,15:00,Livingston,Aberdeen,1,0,1,2,2.8,3.04,2.65,2.43,1.54,13,11,5,3
08/08/2021,15:00,St Johnstone,Motherwell,1,0,1,1,2.01,3.31,3.79,2.27,1.62,12,10,4,5
21/08/2021,15:00,Celtic,St Mirren,4,0,6,0,1.29,5.76,9.27,1.51,2.5,37,3,12,1
21/08/2021,15:00,Livingston,Motherwell,1,0,1,2,2.27,3.2,3.24,2.24,1.64,13,15,3,6
22/08/2021,12:00,Dundee,Hibernian,1,1,2,2,3.97,3.64,1.87,1.84,1.96,11,15,8,7
22/08/2021,15:00,Hearts,Aberdeen,0,0,1,1,2.1,3.23,3.59,2.25,1.64,7,6,2,4
22/08/2021,15:00,Ross County,Rangers,1,2,2,4,10.82,5.59,1.26,1.64,2.22,9,21,5,11
22/08/2021,15:00,St Johnstone,Dundee United,0,0,0,1,2.37,3.06,3.17,2.35,1.59,15,9,2,5
28/08/2021,15:00,Dundee United,Hearts,0,1,0,2,3.34,3.37,2.15,2.1,1.73,8,11,7,3
28/08/2021,15:00,Hibernian,Livingston,0,0,2,0,1.76,3.61,4.61,2.06,1.76,15,7,3,0
28/08/2021,15:00,Motherwell,Dundee,1,0,1,0,2.39,3.26,2.97,2.13,1.71,4,15,3,2
29/08/2021,12:00,Rangers,Celtic,0,0,1,0,2.62,3.39,2.61,1.9,1.91,15,10,4,3
29/08/2021,15:00,Aberdeen,Ross County,0,1,1,1,1.71,3.58,5.05,2.17,1.68,23,8,5,5
29/08/2021,15:00,St Mirren,St Johnstone,0,0,0,0,2.88,3.02,2.61,2.43,1.54,10,15,3,6
11/09/2021,12:30,St Johnstone,Rangers,0,0,1,2,7.35,4.34,1.44,1.93,1.87,5,10,1,4
11/09/2021,15:00,Celtic,Ross County,0,0,3,0,1.15,7.91,16.38,1.36,3.06,21,5,8,2
11/09/2021,15:00,Dundee,Livingston,0,0,0,0,2.26,3.23,3.21,2.29,1.62,21,12,8,4
11/09/2021,15:00,Motherwell,Aberdeen,1,0,2,0,2.9,3.16,2.49,2.28,1.62,6,20,2,7
11/09/2021,15:00,St Mirren,Dundee United,0,0,0,0,2.33,3.13,3.18,2.31,1.61,15,9,1,3
12/09/2021,12:00,Hearts,Hibernian,0,0,0,0,2.48,3.31,2.8,2.1,1.73,16,14,4,6
