Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,Season,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
13/08/2021,20:00,Valencia,Getafe,1,0,1,0,,2.64,3.01,3.06,2.65,1.49
14/08/2021,18:30,Cadiz,Levante,0,1,1,1,,2.78,3.23,2.66,2.07,1.78
14/08/2021,18:30,Mallorca,Betis,1,0,1,1,,3.38,3.29,2.24,2.02,1.82
14/08/2021,21:00,Alaves,Real Madrid,0,0,1,4,,7.08,4.57,1.46,1.76,2.09
14/08/2021,21:00,Osasuna,Espanol,0,0,0,0,,2.29,3.26,3.31,2.33,1.62
15/08/2021,16:30,Celta,Ath Madrid,0,1,1,2,,4.17,3.25,2.01,2.21,1.69
15/08/2021,19:00,Barcelona,Sociedad,2,0,4,2,,1.74,4.06,4.44,1.6,2.36
15/08/2021,21:15,Sevilla,Vallecano,1,0,3,0,,1.44,4.54,7.6,1.92,1.91
16/08/2021,19:00,Villarreal,Granada,0,0,0,0,,1.54,4.24,6.25,1.85,1.98
16/08/2021,21:00,Elche,Ath Bilbao,0,0,0,0,,3.78,3.3,2.09,2.34,1.61
20/08/2021,20:00,Betis,Cadiz,1,1,1,1,,1.52,4.3,6.69,1.89,1.94
21/08/2021,16:00,Alaves,Mallorca,0,0,0,1,,2.3,3.19,3.36,2.44,1.56
21/08/2021,18:30,Espanol,Villarreal,0,0,0,0,,3.07,3.38,2.36,2.15,1.72
21/08/2021,18:30,Granada,Valencia,1,0,1,1,,2.53,3.25,2.92,2.27,1.65
21/08/2021,21:00,Ath Bilbao,Barcelona,0,0,1,1,,4.14,3.63,1.9,1.83,2.0
22/08/2021,16:00,Sociedad,Vallecano,0,0,1,0,,1.47,4.38,7.33,1.79,2.04
22/08/2021,18:30,Ath Madrid,Elche,1,0,1,0,,1.23,6.07,15.8,1.9,1.92
22/08/2021,21:00,Levante,Real Madrid,0,1,3,3,,4.97,4.23,1.65,1.62,2.31
23/08/2021,19:00,Getafe,Sevilla,0,0,0,1,,3.49,3.14,2.26,2.53,1.52
23/08/2021,21:00,Osasuna,Celta,0,0,0,0,,2.66,3.19,2.8,2.15,1.71
27/08/2021,19:00,Mallorca,Espanol,1,0,1,0,,2.64,2.95,3.08,2.69,1.47
27/08/2021,21:15,Valencia,Alaves,2,0,3,0,,1.78,3.58,5.02,2.2,1.69
28/08/2021,16:00,Celta,Ath Bilbao,0,1,0,1,,2.48,3.2,3.05,2.27,1.65
28/08/2021,18:30,Elche,Sevilla,1,1,1,1,,5.24,3.46,1.77,2.25,1.66
28/08/2021,18:30,Sociedad,Levante,1,0,1,0,,1.57,4.2,5.94,1.78,2.07
28/08/2021,21:00,Betis,Real Madrid,0,0,0,1,,4.21,3.84,1.84,1.66,2.24
29/08/2021,16:00,Barcelona,Getafe,2,1,2,1,,1.4,4.83,8.36,1.74,2.13
29/08/2021,18:30,Cadiz,Osasuna,1,0,2,3,,3.15,3.07,2.5,2.55,1.53
29/08/2021,18:30,Vallecano,Granada,3,0,4,0,,2.59,3.2,2.89,2.3,1.64
29/08/2021,21:00,Ath Madrid,Villarreal,0,0,2,2,,1.78,3.41,5.28,2.24,1.66
11/09/2021,17:30,Levante,Vallecano,1,0,1,1,,2.1,3.44,3.6,2.01,1.82
11/09/2021,20:00,Ath Bilbao,Mallorca,0,0,2,0,,1.74,3.62,5.17,2.33,1.62
12/09/2021,13:00,Espanol,Ath Madrid,1,0,1,2,,4.26,3.38,1.95,2.38,1.6
12/09/2021,15:15,Osasuna,Valencia,1,1,1,4,,2.47,3.14,3.11,2.3,1.63
12/09/2021,17:30,Cadiz,Sociedad,0,0,0,2,,5.25,3.52,1.75,2.15,1.72
12/09/2021,20:00,Real Madrid,Celta,1,2,5,2,,1.37,5.25,7.97,1.53,2.49
13/09/2021,19:00,Getafe,Elche,0,0,0,1,,1.84,3.36,4.87,2.72,1.46
13/09/2021,21:00,Granada,Betis,0,1,1,2,,3.06,3.3,2.41,2.13,1.73
17/09/2021,20:00,Celta,Cadiz,0,2,1,2,,1.51,4.28,6.99,1.92,1.91
18/09/2021,13:00,Vallecano,Getafe,1,0,3,0,,2.48,2.98,3.28,2.68,1.47
18/09/2021,15:15,Ath Madrid,Ath Bilbao,0,0,0,0,,1.68,3.57,5.94,2.32,1.63
18/09/2021,17:30,Elche,Levante,1,0,1,1,,2.47,3.13,3.14,2.33,1.62
18/09/2021,20:00,Alaves,Osasuna,0,2,0,2,,3.05,3.07,2.57,2.53,1.53
19/09/2021,13:00,Mallorca,Villarreal,0,0,0,0,,3.47,3.13,2.29,2.4,1.58
19/09/2021,15:15,Sociedad,Sevilla,0,0,0,0,,2.63,3.19,2.85,2.18,1.7
19/09/2021,17:30,Betis,Espanol,2,1,2,2,,2.02,3.33,3.98,2.31,1.63
19/09/2021,20:00,Valencia,Real Madrid,0,0,1,2,,3.76,3.82,1.95,1.77,2.09
20/09/2021,20:00,Barcelona,Granada,0,1,1,1,,1.29,5.83,10.53,1.5,2.59
21/09/2021,18:30,Getafe,Ath Madrid,1,0,1,2,,6.19,3.47,1.69,2.64,1.49
21/09/2021,21:00,Ath Bilbao,Vallecano,1,1,1,2,,1.9,3.37,4.58,2.45,1.56
21/09/2021,21:00,Levante,Celta,0,0,0,2,,2.62,3.39,2.74,1.88,1.95
22/09/2021,18:30,Espanol,Alaves,0,0,1,0,,1.85,3.41,4.74,2.41,1.58
22/09/2021,18:30,Sevilla,Valencia,3,1,3,1,,1.66,3.88,5.53,2.06,1.79
22/09/2021,21:00,Real Madrid,Mallorca,3,1,6,1,,1.24,6.36,12.33,1.59,2.39
22/09/2021,21:00,Villarreal,Elche,2,1,4,1,,1.51,4.14,7.04,2.1,1.75
23/09/2021,18:30,Granada,Sociedad,1,0,2,3,,4.06,3.51,1.95,1.99,1.83
23/09/2021,18:30,Osasuna,Betis,1,1,1,3,,2.36,3.31,3.13,2.12,1.73
23/09/2021,21:00,Cadiz,Barcelona,0,0,0,0,,6.18,4.43,1.52,1.63,2.29
25/09/2021,13:00,Alaves,Ath Madrid,1,0,1,0,,7.13,3.91,1.55,2.25,1.67
