Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HS,AS,HST,AST
12/08/2022,20:00,Osasuna,Sevilla,1,1,2,1,3.28,3.08,2.43,2.5,1.54,12,10,5,3
13/08/2022,16:00,Celta,Espanol,1,0,2,2,1.83,3.68,4.5,2.04,1.8,8,10,3,2
13/08/2022,18:00,Valladolid,Villarreal,0,0,0,3,3.93,3.66,1.94,1.95,1.87,12,10,6,4
13/08/2022,20:00,Barcelona,Vallecano,0,0,0,0,1.21,6.79,14.2,1.5,2.58,21,4,6,2
14/08/2022,16:30,Cadiz,Sociedad,0,1,0,1,3.55,3.24,2.2,2.38,1.59,7,15,2,7
14/08/2022,18:30,Valencia,Girona,1,0,1,0,1.89,3.5,4.35,2.07,1.77,17,5,2,1
14/08/2022,21:00,Almeria,Real Madrid,1,0,1,2,7.17,4.91,1.42,1.58,2.38,10,29,6,15
15/08/2022,16:30,Ath Bilbao,Mallorca,0,0,0,0,1.6,3.83,6.23,2.16,1.7,23,6,6,2
15/08/2022,18:30,Getafe,Ath Madrid,0,1,0,3,4.79,3.19,1.92,2.71,1.47,10,12,0,5
15/08/2022,20:30,Betis,Elche,2,0,3,0,1.45,4.57,7.27,1.79,2.03,17,4,8,2
19/08/2022,19:00,Espanol,Vallecano,0,1,0,2,2.51,3.05,3.18,2.43,1.57,13,8,1,3
19/08/2022,21:00,Sevilla,Valladolid,0,0,1,1,1.53,4.17,6.71,1.95,1.88,18,6,2,3
20/08/2022,16:30,Osasuna,Cadiz,1,0,2,0,1.95,3.26,4.44,2.42,1.57,16,9,3,2
20/08/2022,18:30,Mallorca,Betis,0,1,1,2,3.1,3.26,2.42,2.18,1.7,13,8,7,3
20/08/2022,21:00,Celta,Real Madrid,1,2,1,4,4.71,4.19,1.68,1.68,2.21,15,16,2,7
21/08/2022,16:30,Ath Bilbao,Valencia,1,0,1,0,1.77,3.61,4.95,2.06,1.77,12,10,2,0
21/08/2022,18:30,Ath Madrid,Villarreal,0,0,0,2,1.93,3.52,4.14,2.05,1.78,13,19,5,5
21/08/2022,21:00,Sociedad,Barcelona,1,1,1,4,3.38,3.62,2.12,1.79,2.05,10,15,5,7
22/08/2022,19:00,Elche,Almeria,1,1,1,1,2.5,3.2,3.01,2.2,1.68,13,12,3,7
22/08/2022,21:00,Girona,Getafe,1,0,3,1,2.81,2.84,2.97,2.89,1.41,12,7,6,3
26/08/2022,19:00,Girona,Celta,0,0,0,1,2.77,3.15,2.75,2.21,1.68,11,11,3,6
26/08/2022,21:00,Betis,Osasuna,1,0,1,0,1.8,3.68,4.66,1.93,1.9,7,12,1,2
27/08/2022,16:30,Elche,Sociedad,0,1,0,1,3.64,3.16,2.21,2.31,1.63,12,9,5,5
27/08/2022,18:30,Vallecano,Mallorca,0,1,0,2,2.07,3.23,4.02,2.34,1.61,15,9,0,4
27/08/2022,21:00,Almeria,Sevilla,1,1,2,1,3.56,3.23,2.21,2.25,1.66,11,13,5,5
28/08/2022,16:30,Getafe,Villarreal,0,0,0,0,4.49,3.36,1.91,2.37,1.6,8,11,2,6
28/08/2022,18:30,Barcelona,Valladolid,2,0,4,0,1.15,8.47,17.97,1.37,3.05,24,8,9,3
28/08/2022,21:00,Espanol,Real Madrid,1,1,1,3,6.63,4.83,1.46,1.61,2.33,15,19,4,6
