Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,Season,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
01/04/2023,14:00,Malmo FF,Kalmar,,,1,0,2023,1.62,3.97,5.28,,
01/04/2023,16:30,Djurgarden,Brommapojkarna,,,3,1,2023,1.28,5.7,9.78,,
02/04/2023,14:00,Hammarby,Degerfors,,,3,1,2023,1.29,5.66,9.75,,
02/04/2023,14:00,Norrkoping,Sirius,,,1,1,2023,1.88,3.65,3.94,,
02/04/2023,16:30,Goteborg,Varnamo,,,0,1,2023,1.98,3.53,3.7,,
02/04/2023,16:30,Halmstad,AIK,,,2,1,2023,3.27,3.16,2.29,,
03/04/2023,18:00,Mjallby,Varberg,,,2,2,2023,1.69,3.51,5.46,,
03/04/2023,18:10,Elfsborg,Hacken,,,0,2,2023,2.39,3.66,2.72,,
08/04/2023,14:00,Brommapojkarna,Malmo FF,,,1,2,2023,6.75,4.63,1.44,,
08/04/2023,14:00,Degerfors,Halmstad,,,3,1,2023,2.44,3.34,2.85,,
09/04/2023,14:00,Hacken,Hammarby,,,3,1,2023,2.0,3.67,3.5,,
09/04/2023,16:30,Kalmar,Goteborg,,,2,0,2023,1.99,3.32,3.93,,
09/04/2023,16:30,Sirius,Djurgarden,,,0,0,2023,3.66,3.5,2.0,,
10/04/2023,12:00,Varnamo,Mjallby,,,0,1,2023,2.83,3.18,2.54,,
10/04/2023,14:00,AIK,Norrkoping,,,0,3,2023,1.7,3.76,4.9,,
10/04/2023,14:00,Varberg,Elfsborg,,,0,0,2023,4.76,3.82,1.7,,
15/04/2023,14:00,Elfsborg,Brommapojkarna,,,5,0,2023,1.35,5.37,7.77,,
15/04/2023,16:30,Hacken,Kalmar,,,1,3,2023,1.64,4.05,4.98,,
16/04/2023,14:00,AIK,Hammarby,,,2,0,2023,2.85,3.12,2.58,,
16/04/2023,14:00,Norrkoping,Varnamo,,,2,1,2023,1.7,3.82,4.8,,
16/04/2023,16:30,Halmstad,Djurgarden,,,2,0,2023,3.6,3.37,2.07,,
16/04/2023,16:30,Mjallby,Degerfors,,,2,0,2023,1.82,3.57,4.31,,
17/04/2023,18:00,Varberg,Sirius,,,1,1,2023,3.53,3.23,2.14,,
17/04/2023,18:10,Goteborg,Malmo FF,,,0,1,2023,4.61,3.74,1.74,,
22/04/2023,14:00,Hammarby,Varberg,,,2,0,2023,1.28,5.5,10.44,,
22/04/2023,16:30,Degerfors,Elfsborg,,,1,2,2023,3.51,3.67,2.0,,
23/04/2023,14:00,Djurgarden,Goteborg,,,1,0,2023,1.5,4.3,6.41,,
