Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,Season,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
05/08/2022,19:00,Istanbulspor,Trabzonspor,0.0,1.0,0,2,,4.66,3.8,1.71,1.76,2.04
06/08/2022,17:15,Sivasspor,Gaziantep,0.0,1.0,1,1,,2.0,3.56,3.56,1.85,1.94
06/08/2022,19:45,Besiktas,Kayserispor,0.0,0.0,1,0,,1.5,4.39,6.04,1.71,2.12
07/08/2022,17:15,Giresunspor,Ad. Demirspor,0.0,2.0,2,3,,2.94,3.49,2.3,1.8,2.0
07/08/2022,17:15,Karagumruk,Alanyaspor,0.0,2.0,2,4,,2.65,3.46,2.53,1.79,2.02
07/08/2022,19:45,Antalyaspor,Galatasaray,0.0,0.0,0,1,,2.48,3.47,2.7,1.73,2.09
08/08/2022,17:15,Buyuksehyr,Kasimpasa,2.0,0.0,4,0,,1.82,3.62,4.19,1.83,1.96
08/08/2022,19:45,Ankaragucu,Konyaspor,0.0,0.0,0,0,,3.14,3.44,2.2,1.86,1.92
08/08/2022,19:45,Fenerbahce,Umraniyespor,2.0,1.0,3,3,,1.32,5.21,8.79,1.58,2.36
12/08/2022,19:00,Trabzonspor,Hatayspor,0.0,0.0,1,0,,1.49,4.4,6.33,1.67,2.19
13/08/2022,17:15,Kayserispor,Istanbulspor,1.0,0.0,1,0,,1.87,3.78,3.87,1.67,2.18
13/08/2022,19:45,Ad. Demirspor,Sivasspor,1.0,0.0,3,0,,1.94,3.64,3.73,1.83,1.97
13/08/2022,19:45,Galatasaray,Giresunspor,0.0,0.0,0,1,,1.43,4.59,7.1,1.72,2.1
14/08/2022,17:15,Gaziantep,Ankaragucu,0.0,0.0,1,0,,1.99,3.51,3.66,1.89,1.9
14/08/2022,17:15,Umraniyespor,Antalyaspor,0.0,0.0,0,1,,2.99,3.41,2.31,1.82,1.98
14/08/2022,19:45,Alanyaspor,Besiktas,1.0,3.0,3,3,,2.81,3.55,2.37,1.68,2.15
15/08/2022,17:15,Konyaspor,Buyuksehyr,0.0,0.0,0,0,,2.73,3.41,2.49,1.9,1.88
15/08/2022,19:45,Kasimpasa,Fenerbahce,0.0,3.0,0,6,,3.1,3.75,2.12,1.56,2.39
19/08/2022,19:00,Umraniyespor,Galatasaray,0.0,0.0,0,1,,4.22,3.74,1.8,1.85,1.95
20/08/2022,17:15,Giresunspor,Kasimpasa,0.0,0.0,1,0,,2.31,3.47,2.97,1.76,2.05
20/08/2022,17:15,Hatayspor,Gaziantep,1.0,1.0,1,2,,2.15,3.56,3.18,1.72,2.11
20/08/2022,19:45,Antalyaspor,Trabzonspor,2.0,1.0,5,2,,2.51,3.27,2.81,1.87,1.92
21/08/2022,17:15,Buyuksehyr,Kayserispor,1.0,0.0,2,0,,1.56,4.03,5.87,1.84,1.94
21/08/2022,19:45,Besiktas,Karagumruk,2.0,0.0,4,1,,1.6,4.2,5.14,1.62,2.27
