Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,Season,SeasonCode
27/07/2018,,Standard,Gent,3,2,1,1,10,11,8,5,2.21,3.24,3.26,2.05,1.74,2018/2019,1819
28/07/2018,,Kortrijk,Anderlecht,1,4,0,2,8,11,1,6,4.21,3.86,1.74,1.63,2.21,2018/2019,1819
28/07/2018,,Oostende,Mouscron,2,1,0,1,11,6,5,2,1.52,4.05,5.99,1.75,2.04,2018/2019,1819
28/07/2018,,St Truiden,Cercle Brugge,0,0,0,0,9,10,3,6,1.89,3.51,3.89,1.9,1.87,2018/2019,1819
28/07/2018,,Waregem,Waasland-Beveren,2,2,1,0,8,6,5,4,1.45,4.46,6.17,1.55,2.39,2018/2019,1819
29/07/2018,,Charleroi,Antwerp,0,1,0,1,10,6,5,3,1.99,3.26,3.77,2.19,1.64,2018/2019,1819
29/07/2018,,Club Brugge,Eupen,5,2,3,0,12,9,8,5,1.23,6.06,10.41,1.44,2.65,2018/2019,1819
29/07/2018,,Lokeren,Genk,0,4,0,2,5,20,1,7,3.49,3.42,2.02,1.85,1.91,2018/2019,1819
03/08/2018,,Waasland-Beveren,Standard,0,0,0,0,7,19,4,11,4.14,3.62,1.82,1.94,1.84,2018/2019,1819
04/08/2018,,Antwerp,Kortrijk,0,0,0,0,24,0,12,0,1.82,3.53,4.2,1.91,1.86,2018/2019,1819
04/08/2018,,Cercle Brugge,Lokeren,3,2,2,1,18,7,10,3,1.97,3.62,3.5,1.67,2.14,2018/2019,1819
04/08/2018,,Eupen,Charleroi,1,4,1,2,11,11,6,9,2.63,3.26,2.59,1.96,1.82,2018/2019,1819
04/08/2018,,Gent,Waregem,1,1,0,0,12,5,3,3,1.76,3.69,4.27,1.67,2.13,2018/2019,1819
05/08/2018,,Anderlecht,Oostende,5,2,0,0,11,6,5,2,1.46,4.41,6.3,1.55,2.37,2018/2019,1819
05/08/2018,,Genk,St Truiden,1,1,0,0,19,9,9,2,1.51,4.17,5.85,1.62,2.22,2018/2019,1819
05/08/2018,,Mouscron,Club Brugge,0,1,0,0,14,9,3,4,6.15,4.54,1.45,1.49,2.53,2018/2019,1819
10/08/2018,,Club Brugge,Kortrijk,3,0,2,0,12,3,6,2,1.26,5.94,9.9,1.41,2.8,2018/2019,1819
11/08/2018,,Mouscron,Antwerp,0,1,0,0,1,19,0,6,3.22,3.41,2.14,1.82,1.96,2018/2019,1819
11/08/2018,,St Truiden,Lokeren,1,1,0,0,20,4,6,2,1.71,3.81,4.5,1.73,2.07,2018/2019,1819
11/08/2018,,Standard,Cercle Brugge,0,0,0,0,8,7,1,2,1.44,4.4,6.78,1.65,2.18,2018/2019,1819
11/08/2018,,Waregem,Eupen,4,0,2,0,16,6,11,4,1.42,4.68,6.46,1.53,2.43,2018/2019,1819
12/08/2018,,Charleroi,Anderlecht,1,2,1,1,13,8,7,5,3.46,3.51,2.0,1.8,1.98,2018/2019,1819
12/08/2018,,Gent,Waasland-Beveren,4,1,1,0,19,17,10,7,1.34,4.91,8.26,1.63,2.22,2018/2019,1819
12/08/2018,,Oostende,Genk,0,2,0,0,9,15,6,9,3.82,3.75,1.85,1.61,2.24,2018/2019,1819
17/08/2018,,Anderlecht,Mouscron,2,0,1,0,16,7,8,3,1.21,6.65,12.33,1.39,2.91,2018/2019,1819
18/08/2018,,Cercle Brugge,Waregem,3,1,1,0,8,14,4,6,3.22,3.64,2.08,1.65,2.19,2018/2019,1819
18/08/2018,,Kortrijk,Oostende,1,2,0,1,14,6,6,4,2.41,3.49,2.73,1.66,2.17,2018/2019,1819
18/08/2018,,Lokeren,Standard,0,3,0,0,5,20,2,14,4.0,3.48,1.88,1.92,1.87,2018/2019,1819
18/08/2018,,Waasland-Beveren,St Truiden,2,2,1,1,13,11,7,8,2.94,3.45,2.28,1.73,2.07,2018/2019,1819
19/08/2018,,Antwerp,Club Brugge,1,1,0,0,5,9,1,4,3.45,3.37,2.08,1.77,2.0,2018/2019,1819
19/08/2018,,Eupen,Gent,2,3,1,2,11,8,4,4,4.74,4.03,1.64,1.61,2.26,2018/2019,1819
19/08/2018,,Genk,Charleroi,3,1,1,1,18,12,6,7,1.41,4.71,6.73,1.63,2.21,2018/2019,1819
24/08/2018,,Oostende,Waregem,3,1,1,1,7,10,5,3,3.11,3.57,2.15,1.57,2.33,2018/2019,1819
25/08/2018,,Antwerp,Cercle Brugge,1,0,0,0,8,10,6,5,1.63,3.78,5.25,1.84,1.94,2018/2019,1819
25/08/2018,,Charleroi,Kortrijk,0,2,0,1,7,8,1,4,1.61,3.86,5.28,1.83,1.95,2018/2019,1819
25/08/2018,,Mouscron,Eupen,0,1,0,1,12,7,5,4,2.38,3.47,2.78,1.68,2.15,2018/2019,1819
25/08/2018,,Standard,St Truiden,3,2,1,1,20,9,9,7,1.53,4.14,5.66,1.68,2.14,2018/2019,1819
26/08/2018,,Club Brugge,Anderlecht,2,1,2,1,11,10,9,1,1.86,3.74,3.78,1.63,2.22,2018/2019,1819
26/08/2018,,Genk,Waasland-Beveren,3,2,1,0,13,13,6,7,1.24,6.05,10.54,1.44,2.68,2018/2019,1819
26/08/2018,,Gent,Lokeren,2,1,0,0,16,7,6,5,1.29,5.39,9.81,1.56,2.37,2018/2019,1819
31/08/2018,,Waregem,Club Brugge,2,5,0,3,19,23,7,13,2.95,3.72,2.2,1.52,2.45,2018/2019,1819
01/09/2018,,Charleroi,Mouscron,3,1,2,0,12,5,9,1,1.58,3.96,5.5,1.77,2.01,2018/2019,1819
01/09/2018,,Eupen,Standard,2,1,0,1,10,5,5,3,5.08,4.16,1.59,1.62,2.22,2018/2019,1819
01/09/2018,,Lokeren,Waasland-Beveren,1,0,0,0,7,10,5,5,2.17,3.44,3.15,1.68,2.14,2018/2019,1819
01/09/2018,,St Truiden,Oostende,1,0,0,0,13,6,5,3,1.93,3.63,3.65,1.68,2.13,2018/2019,1819
02/09/2018,,Anderlecht,Antwerp,1,1,1,0,9,9,4,2,1.69,3.74,4.73,1.76,2.02,2018/2019,1819
02/09/2018,,Cercle Brugge,Gent,0,3,0,1,1,8,0,7,3.15,3.51,2.14,1.67,2.16,2018/2019,1819
02/09/2018,,Kortrijk,Genk,3,3,0,0,8,17,6,11,4.19,3.93,1.74,1.57,2.31,2018/2019,1819
14/09/2018,,Club Brugge,Lokeren,2,1,0,1,13,4,7,2,1.19,7.11,12.94,1.34,3.17,2018/2019,1819
15/09/2018,,Genk,Anderlecht,1,0,0,0,12,13,5,5,1.86,3.84,3.76,1.56,2.37,2018/2019,1819
15/09/2018,,Oostende,Cercle Brugge,1,1,0,0,12,11,6,7,2.14,3.46,3.23,1.75,2.05,2018/2019,1819
15/09/2018,,Standard,Charleroi,0,0,0,0,8,10,6,4,1.56,3.96,5.7,1.78,2.01,2018/2019,1819
15/09/2018,,Waasland-Beveren,Eupen,0,0,0,0,15,7,6,3,2.27,3.54,2.92,1.6,2.27,2018/2019,1819
16/09/2018,,Antwerp,Waregem,5,1,3,0,15,5,6,2,1.87,3.64,3.92,1.78,2.0,2018/2019,1819
16/09/2018,,Gent,St Truiden,1,2,0,1,15,10,5,6,1.5,4.25,5.93,1.67,2.15,2018/2019,1819
16/09/2018,,Mouscron,Kortrijk,1,0,1,0,14,8,5,3,2.99,3.34,2.29,1.78,2.01,2018/2019,1819
21/09/2018,,Waregem,Kortrijk,0,2,0,0,9,9,5,4,1.69,4.11,4.42,1.5,2.5,2018/2019,1819
22/09/2018,,Eupen,Oostende,1,2,0,1,6,6,3,3,2.24,3.51,2.98,1.66,2.16,2018/2019,1819
22/09/2018,,Lokeren,Mouscron,0,0,0,0,7,13,1,6,2.08,3.39,3.44,1.73,2.05,2018/2019,1819
22/09/2018,,St Truiden,Antwerp,2,0,0,0,12,9,5,3,2.93,3.25,2.38,1.94,1.84,2018/2019,1819
22/09/2018,,Waasland-Beveren,Charleroi,1,1,0,1,13,9,4,5,3.41,3.44,2.08,1.86,1.91,2018/2019,1819
23/09/2018,,Anderlecht,Standard,2,1,0,1,13,7,7,3,2.13,3.46,3.23,1.72,2.06,2018/2019,1819
23/09/2018,,Cercle Brugge,Genk,2,5,1,2,7,15,3,7,4.61,3.7,1.72,1.68,2.11,2018/2019,1819
23/09/2018,,Gent,Club Brugge,0,4,0,1,19,11,7,8,2.71,3.37,2.48,1.76,2.01,2018/2019,1819
28/09/2018,,Kortrijk,Eupen,1,3,1,2,14,6,6,3,1.9,3.7,3.78,1.72,2.09,2018/2019,1819
29/09/2018,,Charleroi,Lokeren,2,1,0,0,9,3,3,1,1.57,4.07,5.51,1.79,1.99,2018/2019,1819
29/09/2018,,Club Brugge,Cercle Brugge,4,0,2,0,14,3,5,0,1.32,5.36,8.21,1.48,2.54,2018/2019,1819
29/09/2018,,Genk,Waregem,4,0,2,0,29,3,17,1,1.37,5.06,7.0,1.43,2.7,2018/2019,1819
29/09/2018,,Mouscron,Waasland-Beveren,0,3,0,2,10,9,4,5,2.09,3.45,3.36,1.87,1.9,2018/2019,1819
30/09/2018,,Anderlecht,St Truiden,0,0,0,0,21,2,7,0,1.48,4.41,6.16,1.56,2.35,2018/2019,1819
30/09/2018,,Antwerp,Gent,2,2,1,2,9,8,7,7,2.44,3.34,2.82,1.92,1.86,2018/2019,1819
30/09/2018,,Oostende,Standard,1,3,0,1,10,5,5,3,4.0,3.7,1.84,1.74,2.05,2018/2019,1819
05/10/2018,,Cercle Brugge,Charleroi,2,1,1,1,3,6,2,4,2.8,3.34,2.47,1.9,1.87,2018/2019,1819
06/10/2018,,Eupen,Antwerp,1,2,1,0,10,11,4,8,3.56,3.43,2.03,1.92,1.86,2018/2019,1819
06/10/2018,,Lokeren,Kortrijk,1,3,1,0,9,15,4,7,2.64,3.37,2.56,1.81,1.97,2018/2019,1819
06/10/2018,,St Truiden,Mouscron,3,1,1,1,13,15,8,6,1.55,4.25,5.51,1.65,2.19,2018/2019,1819
06/10/2018,,Waasland-Beveren,Oostende,1,1,0,0,7,9,5,3,2.41,3.48,2.77,1.73,2.08,2018/2019,1819
07/10/2018,,Gent,Genk,1,5,1,3,10,13,5,8,2.84,3.5,2.35,1.61,2.25,2018/2019,1819
07/10/2018,,Standard,Club Brugge,3,1,1,0,18,6,8,3,2.69,3.36,2.51,1.69,2.12,2018/2019,1819
07/10/2018,,Waregem,Anderlecht,1,2,0,1,9,11,3,6,3.24,3.73,2.05,1.53,2.42,2018/2019,1819
19/10/2018,,Club Brugge,Waasland-Beveren,1,1,0,0,19,6,8,1,1.19,7.21,12.38,1.31,3.31,2018/2019,1819
20/10/2018,,Antwerp,Lokeren,2,1,1,0,17,5,9,2,1.37,4.72,8.0,1.73,2.07,2018/2019,1819
20/10/2018,,Genk,Eupen,2,1,1,0,26,9,10,4,1.19,7.1,12.34,1.31,3.36,2018/2019,1819
20/10/2018,,Kortrijk,St Truiden,3,1,2,1,16,10,7,7,2.11,3.67,3.16,1.73,2.08,2018/2019,1819
20/10/2018,,Mouscron,Standard,0,0,0,0,8,13,2,5,5.28,4.11,1.58,1.67,2.15,2018/2019,1819
21/10/2018,,Anderlecht,Cercle Brugge,4,2,2,0,12,7,7,4,1.4,4.92,6.93,1.5,2.5,2018/2019,1819
21/10/2018,,Charleroi,Waregem,3,2,1,0,11,9,8,4,1.9,3.72,3.75,1.67,2.16,2018/2019,1819
21/10/2018,,Oostende,Gent,0,4,0,2,8,14,4,11,3.14,3.49,2.17,1.71,2.09,2018/2019,1819
26/10/2018,,Gent,Charleroi,2,1,1,1,12,6,6,4,1.69,3.85,4.76,1.78,2.01,2018/2019,1819
27/10/2018,,Cercle Brugge,Kortrijk,1,1,0,1,7,14,2,8,2.71,3.45,2.47,1.74,2.05,2018/2019,1819
27/10/2018,,Lokeren,Oostende,0,0,0,0,9,16,3,10,2.95,3.46,2.3,1.75,2.05,2018/2019,1819
27/10/2018,,St Truiden,Club Brugge,2,2,1,2,9,8,4,5,4.3,3.83,1.77,1.59,2.28,2018/2019,1819
27/10/2018,,Waregem,Mouscron,2,2,2,1,8,12,6,4,1.64,4.08,4.9,1.58,2.31,2018/2019,1819
28/10/2018,,Eupen,Anderlecht,2,1,2,0,5,9,5,5,4.22,3.99,1.74,1.53,2.41,2018/2019,1819
28/10/2018,,Standard,Genk,1,1,0,0,11,12,6,6,2.86,3.53,2.32,1.63,2.21,2018/2019,1819
28/10/2018,,Waasland-Beveren,Antwerp,0,1,0,0,15,13,6,6,4.36,3.74,1.77,1.95,1.82,2018/2019,1819
30/10/2018,,Charleroi,St Truiden,1,0,0,0,14,9,8,4,1.92,3.64,3.8,1.82,1.97,2018/2019,1819
30/10/2018,,Club Brugge,Oostende,4,0,3,0,15,11,9,6,1.35,5.21,7.66,1.42,2.74,2018/2019,1819
30/10/2018,,Mouscron,Gent,3,1,2,0,17,18,9,7,5.22,4.16,1.59,1.64,2.21,2018/2019,1819
31/10/2018,,Antwerp,Genk,2,4,2,0,12,18,8,12,3.33,3.63,2.06,1.63,2.22,2018/2019,1819
31/10/2018,,Eupen,Cercle Brugge,2,0,0,0,12,6,6,5,2.04,3.52,3.46,1.81,1.97,2018/2019,1819
31/10/2018,,Kortrijk,Waasland-Beveren,2,2,2,0,16,9,10,5,1.49,4.35,6.2,1.68,2.13,2018/2019,1819
01/11/2018,,Anderlecht,Lokeren,1,1,0,0,11,5,4,3,1.25,6.01,10.71,1.43,2.7,2018/2019,1819
01/11/2018,,Waregem,Standard,3,1,1,1,12,6,10,5,3.54,3.85,1.92,1.5,2.49,2018/2019,1819
02/11/2018,,Oostende,Charleroi,2,1,1,0,8,12,4,3,2.86,3.29,2.45,1.92,1.86,2018/2019,1819
03/11/2018,,Cercle Brugge,Mouscron,2,1,0,1,12,3,8,1,2.22,3.51,3.06,1.77,2.02,2018/2019,1819
03/11/2018,,Genk,Club Brugge,1,1,1,0,6,12,3,4,1.91,3.78,3.62,1.6,2.28,2018/2019,1819
03/11/2018,,Gent,Kortrijk,3,1,0,1,9,7,5,4,1.65,3.9,4.92,1.69,2.12,2018/2019,1819
04/11/2018,,Lokeren,Eupen,2,0,2,0,9,9,6,4,2.46,3.44,2.72,1.77,2.01,2018/2019,1819
04/11/2018,,St Truiden,Waregem,2,1,0,1,12,6,6,3,2.06,3.48,3.47,1.62,2.23,2018/2019,1819
