Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,Season,SeasonCode
03/08/2018,,Reading,Derby,1,2,0,0,8,11,5,3,3.44,3.23,2.21,2.18,1.67,2018/2019,1819
04/08/2018,,Birmingham,Norwich,2,2,0,0,16,16,7,7,2.51,3.16,2.9,2.21,1.64,2018/2019,1819
04/08/2018,,Brentford,Rotherham,5,1,2,0,14,9,10,5,1.5,4.33,6.32,1.64,2.21,2018/2019,1819
04/08/2018,,Bristol City,Nott'm Forest,1,1,1,0,18,16,6,6,2.53,3.23,2.83,2.02,1.77,2018/2019,1819
04/08/2018,,Ipswich,Blackburn,2,2,1,2,9,6,3,2,2.68,3.12,2.74,2.2,1.65,2018/2019,1819
04/08/2018,,Millwall,Middlesbrough,2,2,2,0,9,12,2,3,2.74,3.05,2.73,2.32,1.58,2018/2019,1819
04/08/2018,,Preston,QPR,1,0,0,0,15,8,3,2,1.91,3.43,4.09,2.02,1.77,2018/2019,1819
04/08/2018,,Sheffield United,Swansea,1,2,0,0,12,9,2,4,2.23,3.22,3.36,2.19,1.66,2018/2019,1819
04/08/2018,,West Brom,Bolton,1,2,1,1,20,11,3,4,1.44,4.3,7.54,1.89,1.89,2018/2019,1819
04/08/2018,,Wigan,Sheffield Weds,3,2,2,1,21,8,10,4,2.2,3.23,3.41,2.18,1.66,2018/2019,1819
05/08/2018,,Leeds,Stoke,3,1,2,0,11,9,5,5,2.7,3.2,2.65,2.05,1.75,2018/2019,1819
06/08/2018,,Hull,Aston Villa,1,3,1,1,11,9,3,5,2.61,3.19,2.76,2.06,1.73,2018/2019,1819
07/08/2018,,Middlesbrough,Sheffield United,3,0,3,0,13,17,5,4,2.2,3.17,3.46,2.25,1.62,2018/2019,1819
07/08/2018,,Nott'm Forest,West Brom,1,1,0,0,20,10,5,2,2.48,3.16,2.95,2.13,1.69,2018/2019,1819
11/08/2018,,Aston Villa,Wigan,3,2,1,1,17,10,6,3,1.99,3.36,3.91,2.03,1.78,2018/2019,1819
11/08/2018,,Blackburn,Millwall,0,0,0,0,10,7,4,0,2.47,3.12,3.03,2.19,1.67,2018/2019,1819
