Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,Season,SeasonCode
27/07/2018,,Ajaccio,Troyes,0,1,0,1,9,8,4,5,2.18,3.07,3.4,2.35,1.55,2018/2019,1819
27/07/2018,,Ajaccio GFCO,Paris FC,1,1,0,1,12,13,8,4,3.08,2.84,2.47,2.58,1.47,2018/2019,1819
27/07/2018,,Clermont,Chateauroux,0,0,0,0,19,11,7,3,1.86,3.27,4.25,2.11,1.69,2018/2019,1819
27/07/2018,,Grenoble,Sochaux,1,0,0,0,10,6,3,2,2.24,3.03,3.3,2.29,1.58,2018/2019,1819
27/07/2018,,Nancy,Beziers,0,2,0,1,7,5,1,2,1.96,3.11,4.0,2.21,1.63,2018/2019,1819
27/07/2018,,Orleans,Lens,0,2,0,1,7,13,3,7,3.1,3.07,2.32,2.22,1.62,2018/2019,1819
27/07/2018,,Red Star,Niort,1,2,0,0,11,10,7,7,2.08,3.04,3.7,2.37,1.55,2018/2019,1819
27/07/2018,,Valenciennes,Auxerre,3,1,3,1,11,8,7,5,2.8,3.03,2.55,2.12,1.69,2018/2019,1819
28/07/2018,,Lorient,Le Havre,0,0,0,0,14,22,4,8,1.99,3.11,3.92,2.19,1.63,2018/2019,1819
30/07/2018,,Brest,Metz,0,1,0,1,4,13,1,6,2.19,3.1,3.32,2.03,1.74,2018/2019,1819
03/08/2018,,Auxerre,Ajaccio GFCO,2,3,1,2,12,4,7,4,1.9,3.17,4.23,2.34,1.56,2018/2019,1819
03/08/2018,,Le Havre,Grenoble,1,1,0,0,10,10,5,5,1.93,3.08,4.24,2.51,1.5,2018/2019,1819
03/08/2018,,Metz,Orleans,5,1,2,0,10,5,9,1,1.64,3.48,5.54,2.11,1.69,2018/2019,1819
03/08/2018,,Niort,Clermont,4,2,1,1,10,10,4,6,2.95,3.08,2.41,2.08,1.71,2018/2019,1819
03/08/2018,,Paris FC,Nancy,2,0,0,0,5,3,3,0,2.12,2.95,3.73,2.57,1.47,2018/2019,1819
03/08/2018,,Sochaux,Valenciennes,0,1,0,1,13,6,5,4,2.03,3.23,3.63,2.01,1.76,2018/2019,1819
03/08/2018,,Troyes,Brest,1,2,1,2,10,6,6,3,2.24,3.08,3.28,2.24,1.61,2018/2019,1819
04/08/2018,,Beziers,Ajaccio,0,1,0,1,8,6,2,2,2.53,2.89,2.98,2.64,1.45,2018/2019,1819
04/08/2018,,Lens,Red Star,1,0,1,0,8,5,2,1,1.61,3.5,5.79,2.19,1.63,2018/2019,1819
