Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,Season,SeasonCode
24/08/2018,,Bayern Munich,Hoffenheim,3,1,1,0,16,8,5,5,1.2,7.37,13.26,1.4,3.55,2018/2019,1819
25/08/2018,,Fortuna Dusseldorf,Augsburg,1,2,1,0,9,14,5,7,2.47,3.24,2.97,2.05,1.76,2018/2019,1819
25/08/2018,,Freiburg,Ein Frankfurt,0,2,0,1,22,10,6,2,2.34,3.25,3.19,2.15,1.69,2018/2019,1819
25/08/2018,,Hertha,Nurnberg,1,0,1,0,10,12,3,3,2.04,3.37,3.83,2.05,1.76,2018/2019,1819
25/08/2018,,M'gladbach,Leverkusen,2,0,0,0,17,13,7,3,2.82,3.55,2.42,1.6,2.32,2018/2019,1819
25/08/2018,,Werder Bremen,Hannover,1,1,0,0,15,13,3,4,1.9,3.68,3.95,1.71,2.12,2018/2019,1819
25/08/2018,,Wolfsburg,Schalke 04,2,1,1,0,11,9,7,4,3.19,3.21,2.36,2.17,1.68,2018/2019,1819
26/08/2018,,Dortmund,RB Leipzig,4,1,3,1,10,10,5,7,1.76,3.92,4.45,1.53,2.46,2018/2019,1819
26/08/2018,,Mainz,Stuttgart,1,0,0,0,8,12,3,3,2.76,3.18,2.67,2.12,1.71,2018/2019,1819
31/08/2018,,Hannover,Dortmund,0,0,0,0,7,8,0,3,5.34,4.26,1.6,1.56,2.4,2018/2019,1819
01/09/2018,,Augsburg,M'gladbach,1,1,1,0,18,7,7,2,2.63,3.34,2.73,1.88,1.92,2018/2019,1819
01/09/2018,,Ein Frankfurt,Werder Bremen,1,2,0,1,5,11,1,6,2.42,3.4,2.94,1.86,1.94,2018/2019,1819
01/09/2018,,Hoffenheim,Freiburg,3,1,0,1,20,9,7,4,1.59,4.12,5.71,1.66,2.22,2018/2019,1819
01/09/2018,,Leverkusen,Wolfsburg,1,3,1,1,16,12,3,5,1.64,4.11,5.12,1.58,2.35,2018/2019,1819
01/09/2018,,Nurnberg,Mainz,1,1,0,1,19,6,4,1,2.35,3.2,3.23,2.19,1.67,2018/2019,1819
01/09/2018,,Stuttgart,Bayern Munich,0,3,0,1,4,20,0,6,10.38,5.58,1.29,1.5,2.55,2018/2019,1819
02/09/2018,,RB Leipzig,Fortuna Dusseldorf,1,1,0,0,23,14,7,8,1.4,4.8,7.96,1.6,2.31,2018/2019,1819
02/09/2018,,Schalke 04,Hertha,0,2,0,1,16,5,4,3,1.77,3.48,5.01,2.26,1.63,2018/2019,1819
14/09/2018,,Dortmund,Ein Frankfurt,3,1,1,0,10,5,6,2,1.42,4.74,7.62,1.62,2.28,2018/2019,1819
15/09/2018,,Bayern Munich,Leverkusen,3,1,2,1,18,3,5,1,1.23,6.61,12.24,1.36,3.08,2018/2019,1819
15/09/2018,,Fortuna Dusseldorf,Hoffenheim,2,1,1,0,8,18,4,5,3.86,3.75,1.92,1.64,2.24,2018/2019,1819
15/09/2018,,Mainz,Augsburg,2,1,0,0,22,13,7,4,2.67,3.15,2.83,2.23,1.65,2018/2019,1819
15/09/2018,,M'gladbach,Schalke 04,2,1,1,0,15,15,4,6,2.44,3.33,2.96,1.9,1.9,2018/2019,1819
15/09/2018,,RB Leipzig,Hannover,3,2,2,1,15,16,6,8,1.55,4.35,5.82,1.53,2.45,2018/2019,1819
15/09/2018,,Wolfsburg,Hertha,2,2,0,0,15,9,6,5,2.1,3.2,3.87,2.32,1.6,2018/2019,1819
16/09/2018,,Freiburg,Stuttgart,3,3,1,1,12,11,5,6,2.72,3.11,2.79,2.26,1.63,2018/2019,1819
16/09/2018,,Werder Bremen,Nurnberg,1,1,1,0,14,11,2,2,1.66,3.98,5.12,1.71,2.14,2018/2019,1819
21/09/2018,,Stuttgart,Fortuna Dusseldorf,0,0,0,0,10,19,1,7,1.76,3.74,4.71,1.74,2.08,2018/2019,1819
22/09/2018,,Augsburg,Werder Bremen,2,3,1,2,21,12,7,7,2.47,3.38,2.88,1.85,1.95,2018/2019,1819
22/09/2018,,Hertha,M'gladbach,4,2,2,1,16,17,7,4,2.49,3.32,2.91,1.86,1.94,2018/2019,1819
22/09/2018,,Hoffenheim,Dortmund,1,1,1,0,17,8,5,2,2.69,3.67,2.49,1.49,2.57,2018/2019,1819
22/09/2018,,Nurnberg,Hannover,2,0,0,0,14,9,6,3,2.46,3.33,2.93,1.92,1.88,2018/2019,1819
22/09/2018,,Schalke 04,Bayern Munich,0,2,0,1,10,14,2,7,8.13,4.8,1.39,1.67,2.19,2018/2019,1819
22/09/2018,,Wolfsburg,Freiburg,1,3,0,2,17,12,9,8,1.73,3.7,5.06,1.94,1.86,2018/2019,1819
23/09/2018,,Ein Frankfurt,RB Leipzig,1,1,1,0,8,9,5,2,3.04,3.46,2.32,1.74,2.08,2018/2019,1819
23/09/2018,,Leverkusen,Mainz,1,0,0,0,18,12,5,5,1.59,4.17,5.53,1.61,2.29,2018/2019,1819
25/09/2018,,Bayern Munich,Augsburg,1,1,0,0,16,12,8,4,1.11,9.78,23.28,1.32,3.31,2018/2019,1819
25/09/2018,,Freiburg,Schalke 04,1,0,0,0,15,15,4,3,3.42,3.23,2.25,2.22,1.65,2018/2019,1819
25/09/2018,,Hannover,Hoffenheim,1,3,0,1,17,17,8,9,3.42,3.83,2.03,1.48,2.59,2018/2019,1819
25/09/2018,,Werder Bremen,Hertha,3,1,2,0,14,12,6,2,2.08,3.49,3.6,1.79,2.02,2018/2019,1819
26/09/2018,,Dortmund,Nurnberg,7,0,2,0,19,4,10,1,1.3,5.52,10.19,1.53,2.48,2018/2019,1819
26/09/2018,,Fortuna Dusseldorf,Leverkusen,1,2,0,0,16,6,4,3,3.9,3.75,1.91,1.6,2.3,2018/2019,1819
26/09/2018,,Mainz,Wolfsburg,0,0,0,0,11,12,2,4,2.58,3.25,2.83,2.05,1.76,2018/2019,1819
26/09/2018,,M'gladbach,Ein Frankfurt,3,1,0,0,21,12,9,2,1.76,3.82,4.59,1.69,2.15,2018/2019,1819
26/09/2018,,RB Leipzig,Stuttgart,2,0,1,0,18,9,8,0,1.72,3.95,4.65,1.55,2.41,2018/2019,1819
28/09/2018,,Hertha,Bayern Munich,2,0,2,0,6,25,4,5,9.86,5.71,1.3,1.53,2.46,2018/2019,1819
29/09/2018,,Hoffenheim,RB Leipzig,1,2,0,0,13,18,6,7,2.06,3.81,3.33,1.44,2.7,2018/2019,1819
29/09/2018,,Leverkusen,Dortmund,2,4,2,0,14,16,6,10,2.8,3.53,2.45,1.61,2.31,2018/2019,1819
29/09/2018,,Nurnberg,Fortuna Dusseldorf,3,0,1,0,10,13,6,4,2.1,3.44,3.57,1.85,1.95,2018/2019,1819
29/09/2018,,Schalke 04,Mainz,1,0,1,0,15,15,2,5,1.66,3.8,5.5,1.97,1.83,2018/2019,1819
29/09/2018,,Stuttgart,Werder Bremen,2,1,1,0,18,14,5,3,2.72,3.35,2.62,1.89,1.9,2018/2019,1819
29/09/2018,,Wolfsburg,M'gladbach,2,2,1,1,13,10,3,3,2.37,3.44,2.97,1.76,2.05,2018/2019,1819
30/09/2018,,Augsburg,Freiburg,4,1,2,0,21,13,10,6,1.92,3.4,4.29,2.13,1.7,2018/2019,1819
30/09/2018,,Ein Frankfurt,Hannover,4,1,2,0,15,4,7,1,1.98,3.54,3.82,1.79,2.02,2018/2019,1819
05/10/2018,,Werder Bremen,Wolfsburg,2,0,1,0,15,10,5,4,2.01,3.54,3.79,1.77,2.04,2018/2019,1819
06/10/2018,,Bayern Munich,M'gladbach,0,3,0,2,14,7,3,3,1.21,7.12,12.78,1.29,3.49,2018/2019,1819
06/10/2018,,Dortmund,Augsburg,4,3,0,1,20,12,8,6,1.46,4.62,6.77,1.55,2.41,2018/2019,1819
06/10/2018,,Fortuna Dusseldorf,Schalke 04,0,2,0,0,9,15,3,5,3.54,3.48,2.1,1.96,1.84,2018/2019,1819
06/10/2018,,Hannover,Stuttgart,3,1,2,0,15,11,6,5,2.43,3.36,2.95,1.93,1.86,2018/2019,1819
06/10/2018,,Mainz,Hertha,0,0,0,0,23,11,3,1,2.75,3.26,2.65,2.03,1.78,2018/2019,1819
07/10/2018,,Freiburg,Leverkusen,0,0,0,0,7,14,1,0,3.31,3.49,2.17,1.74,2.08,2018/2019,1819
07/10/2018,,Hoffenheim,Ein Frankfurt,1,2,0,1,20,6,4,4,1.74,3.99,4.49,1.48,2.56,2018/2019,1819
07/10/2018,,RB Leipzig,Nurnberg,6,0,4,0,18,3,8,0,1.44,4.77,6.89,1.51,2.51,2018/2019,1819
19/10/2018,,Ein Frankfurt,Fortuna Dusseldorf,7,1,3,0,21,10,13,5,1.65,3.92,5.35,1.75,2.08,2018/2019,1819
20/10/2018,,Augsburg,RB Leipzig,0,0,0,0,6,15,0,3,3.03,3.58,2.28,1.6,2.33,2018/2019,1819
20/10/2018,,Leverkusen,Hannover,2,2,1,1,19,9,7,7,1.55,4.32,5.9,1.54,2.44,2018/2019,1819
20/10/2018,,Nurnberg,Hoffenheim,1,3,1,0,7,20,2,12,3.83,3.94,1.88,1.53,2.46,2018/2019,1819
20/10/2018,,Schalke 04,Werder Bremen,0,2,0,1,14,8,4,3,2.07,3.42,3.68,1.95,1.85,2018/2019,1819
20/10/2018,,Stuttgart,Dortmund,0,4,0,3,13,12,5,4,4.21,3.8,1.83,1.62,2.28,2018/2019,1819
20/10/2018,,Wolfsburg,Bayern Munich,1,3,0,1,8,13,1,11,8.47,5.16,1.36,1.52,2.47,2018/2019,1819
21/10/2018,,Hertha,Freiburg,1,1,1,1,13,8,5,3,1.85,3.53,4.46,2.08,1.74,2018/2019,1819
21/10/2018,,M'gladbach,Mainz,4,0,1,0,16,13,8,4,1.61,4.27,5.2,1.58,2.36,2018/2019,1819
26/10/2018,,Freiburg,M'gladbach,3,1,1,1,13,11,7,2,3.5,3.59,2.07,1.71,2.12,2018/2019,1819
27/10/2018,,Dortmund,Hertha,2,2,1,1,19,10,5,4,1.43,4.86,7.14,1.51,2.52,2018/2019,1819
27/10/2018,,Fortuna Dusseldorf,Wolfsburg,0,3,0,1,8,18,1,6,3.07,3.39,2.34,1.88,1.91,2018/2019,1819
27/10/2018,,Hannover,Augsburg,1,2,0,1,17,9,4,4,2.58,3.39,2.75,1.77,2.04,2018/2019,1819
27/10/2018,,Hoffenheim,Stuttgart,4,0,0,0,22,6,10,0,1.58,4.42,5.27,1.49,2.57,2018/2019,1819
27/10/2018,,Mainz,Bayern Munich,1,2,0,1,6,21,1,5,11.87,6.16,1.25,1.5,2.57,2018/2019,1819
