Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,Season,SeasonCode
03/08/2018,,Hamburg,Holstein Kiel,0,3,0,0,14,16,3,8,1.73,3.59,4.75,1.87,1.91,2018/2019,1819
04/08/2018,,Bochum,FC Koln,0,2,0,1,14,15,2,5,2.78,3.16,2.53,1.99,1.8,2018/2019,1819
04/08/2018,,Greuther Furth,Sandhausen,3,1,0,0,16,10,5,5,2.32,3.04,3.23,2.28,1.59,2018/2019,1819
04/08/2018,,Regensburg,Ingolstadt,2,1,1,1,13,13,9,3,3.04,3.25,2.3,1.9,1.87,2018/2019,1819
05/08/2018,,Darmstadt,Paderborn,1,0,0,0,7,7,2,1,2.5,3.15,2.8,2.0,1.78,2018/2019,1819
05/08/2018,,Heidenheim,Bielefeld,1,1,1,1,14,16,5,8,2.47,3.18,2.81,1.93,1.84,2018/2019,1819
05/08/2018,,Magdeburg,St Pauli,1,2,1,1,6,5,2,4,2.26,3.16,3.2,2.07,1.73,2018/2019,1819
05/08/2018,,Union Berlin,Erzgebirge Aue,1,0,0,0,17,6,3,1,1.82,3.41,4.35,2.01,1.77,2018/2019,1819
06/08/2018,,Dresden,Duisburg,1,0,1,0,20,12,3,3,2.23,3.22,3.18,1.98,1.8,2018/2019,1819
10/08/2018,,Ingolstadt,Greuther Furth,1,1,0,0,28,12,5,7,1.63,3.84,5.18,1.81,1.99,2018/2019,1819
10/08/2018,,Paderborn,Regensburg,2,0,1,0,14,13,5,3,2.01,3.55,3.47,1.67,2.18,2018/2019,1819
10/08/2018,,St Pauli,Darmstadt,2,0,0,0,16,18,3,3,2.24,3.12,3.33,2.17,1.67,2018/2019,1819
11/08/2018,,Bielefeld,Dresden,2,1,2,0,16,12,5,4,2.22,3.27,3.19,1.87,1.91,2018/2019,1819
11/08/2018,,Duisburg,Bochum,0,2,0,0,28,5,7,2,2.51,3.23,2.77,1.91,1.87,2018/2019,1819
12/08/2018,,Erzgebirge Aue,Magdeburg,0,0,0,0,12,9,3,0,2.44,3.08,2.96,2.26,1.61,2018/2019,1819
12/08/2018,,Holstein Kiel,Heidenheim,1,1,1,1,7,16,4,4,1.64,3.76,5.06,1.78,2.01,2018/2019,1819
12/08/2018,,Sandhausen,Hamburg,0,3,0,2,11,7,2,4,3.25,3.21,2.22,2.1,1.71,2018/2019,1819
13/08/2018,,FC Koln,Union Berlin,1,1,1,0,18,10,5,4,1.65,3.71,5.1,1.85,1.92,2018/2019,1819
24/08/2018,,Bochum,Sandhausen,1,0,0,0,16,9,7,1,1.95,3.28,4.01,2.23,1.62,2018/2019,1819
24/08/2018,,Darmstadt,Duisburg,3,0,0,0,10,15,4,5,2.16,3.23,3.42,2.09,1.71,2018/2019,1819
25/08/2018,,FC Koln,Erzgebirge Aue,3,1,1,1,18,8,7,1,1.41,4.44,7.5,1.81,1.98,2018/2019,1819
25/08/2018,,Greuther Furth,Paderborn,2,2,0,0,13,17,5,4,2.69,3.22,2.59,1.9,1.88,2018/2019,1819
25/08/2018,,Magdeburg,Ingolstadt,1,1,1,1,16,8,2,2,3.02,3.21,2.34,2.04,1.76,2018/2019,1819
26/08/2018,,Dresden,Heidenheim,1,3,0,2,23,15,4,5,2.1,3.31,3.38,1.86,1.91,2018/2019,1819
26/08/2018,,Regensburg,Holstein Kiel,0,0,0,0,18,16,3,1,2.69,3.37,2.48,1.64,2.2,2018/2019,1819
26/08/2018,,Union Berlin,St Pauli,4,1,2,0,11,11,5,4,2.15,3.24,3.35,1.99,1.79,2018/2019,1819
27/08/2018,,Hamburg,Bielefeld,3,0,1,0,10,18,5,4,1.8,3.55,4.24,1.79,1.99,2018/2019,1819
31/08/2018,,Ingolstadt,Erzgebirge Aue,3,2,1,1,12,11,5,3,1.68,3.57,5.26,2.03,1.76,2018/2019,1819
31/08/2018,,Paderborn,Bochum,2,2,0,1,20,5,7,2,2.04,3.44,3.53,1.88,1.89,2018/2019,1819
01/09/2018,,Bielefeld,Regensburg,5,3,3,2,20,14,10,6,2.1,3.37,3.39,1.78,2.01,2018/2019,1819
