Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,Season,SeasonCode
10/08/2018,,Zwolle,Heerenveen,2,3,1,3,18,7,4,3,2.44,3.51,2.71,1.64,2.22,2018/2019,1819
11/08/2018,,Ajax,Heracles,1,1,0,0,17,11,7,2,1.13,8.37,18.32,1.28,3.55,2018/2019,1819
11/08/2018,,Excelsior,For Sittard,1,1,1,0,13,18,3,6,2.09,3.53,3.28,1.67,2.14,2018/2019,1819
11/08/2018,,PSV Eindhoven,Utrecht,4,0,1,0,14,6,10,2,1.41,4.76,6.82,1.5,2.52,2018/2019,1819
11/08/2018,,Willem II,VVV Venlo,0,1,0,1,15,7,6,1,2.29,3.39,3.01,1.88,1.9,2018/2019,1819
12/08/2018,,AZ Alkmaar,NAC Breda,5,0,3,0,29,5,12,4,1.37,4.94,7.49,1.48,2.57,2018/2019,1819
12/08/2018,,Den Haag,FC Emmen,1,2,0,2,14,10,5,5,1.81,3.82,3.99,1.62,2.25,2018/2019,1819
12/08/2018,,Graafschap,Feyenoord,2,0,1,0,9,14,5,6,4.68,4.15,1.63,1.51,2.5,2018/2019,1819
12/08/2018,,Vitesse,Groningen,5,1,2,1,14,11,8,6,1.6,4.05,5.14,1.63,2.22,2018/2019,1819
17/08/2018,,Groningen,Willem II,0,1,0,1,15,7,4,2,1.81,3.73,4.12,1.7,2.13,2018/2019,1819
18/08/2018,,Heracles,Den Haag,4,2,3,2,17,19,7,7,1.99,3.65,3.47,1.59,2.29,2018/2019,1819
18/08/2018,,NAC Breda,Graafschap,3,0,1,0,7,7,3,2,2.22,3.44,3.07,1.71,2.11,2018/2019,1819
18/08/2018,,For Sittard,PSV Eindhoven,1,2,0,1,10,17,6,8,8.78,5.31,1.31,1.5,2.52,2018/2019,1819
18/08/2018,,VVV Venlo,Ajax,0,1,0,0,9,18,1,9,8.97,5.37,1.3,1.49,2.52,2018/2019,1819
19/08/2018,,FC Emmen,AZ Alkmaar,1,4,1,3,14,16,7,8,4.86,4.02,1.63,1.56,2.36,2018/2019,1819
19/08/2018,,Feyenoord,Excelsior,3,0,1,0,23,9,6,2,1.26,5.64,10.35,1.48,2.56,2018/2019,1819
19/08/2018,,Heerenveen,Vitesse,1,1,1,0,7,20,3,4,2.17,3.48,3.13,1.64,2.2,2018/2019,1819
19/08/2018,,Utrecht,Zwolle,2,0,2,0,7,17,2,4,1.64,4.0,4.81,1.63,2.21,2018/2019,1819
24/08/2018,,Den Haag,For Sittard,3,1,2,0,12,14,6,3,1.87,3.67,3.91,1.67,2.18,2018/2019,1819
25/08/2018,,Ajax,FC Emmen,5,0,2,0,22,6,10,2,1.11,9.3,20.34,1.27,3.58,2018/2019,1819
25/08/2018,,Graafschap,Groningen,0,1,0,1,10,12,4,3,2.76,3.47,2.41,1.68,2.14,2018/2019,1819
25/08/2018,,NAC Breda,Excelsior,0,2,0,1,12,10,3,3,1.99,3.55,3.5,1.74,2.06,2018/2019,1819
25/08/2018,,Zwolle,PSV Eindhoven,1,2,0,1,18,15,5,6,5.72,4.59,1.49,1.48,2.55,2018/2019,1819
26/08/2018,,AZ Alkmaar,Vitesse,0,0,0,0,18,13,3,3,1.68,4.2,4.29,1.43,2.71,2018/2019,1819
26/08/2018,,Heerenveen,Feyenoord,3,5,0,3,13,13,5,6,4.1,4.05,1.74,1.59,2.28,2018/2019,1819
26/08/2018,,Utrecht,VVV Venlo,1,1,1,0,21,11,4,2,1.53,4.28,5.59,1.58,2.31,2018/2019,1819
26/08/2018,,Willem II,Heracles,5,0,3,0,13,6,7,3,2.21,3.54,3.0,1.59,2.28,2018/2019,1819
31/08/2018,,FC Emmen,Graafschap,1,1,0,0,26,13,11,6,2.18,3.58,3.1,1.66,2.2,2018/2019,1819
01/09/2018,,Excelsior,Den Haag,2,4,0,2,13,16,4,7,2.39,3.42,2.84,1.7,2.11,2018/2019,1819
01/09/2018,,For Sittard,Utrecht,1,1,0,0,9,14,2,5,3.67,3.65,1.93,1.64,2.2,2018/2019,1819
01/09/2018,,PSV Eindhoven,Willem II,6,1,4,0,16,6,10,2,1.19,6.72,12.91,1.38,2.92,2018/2019,1819
01/09/2018,,VVV Venlo,Heerenveen,1,1,0,1,19,8,4,4,2.76,3.38,2.45,1.81,1.98,2018/2019,1819
02/09/2018,,Feyenoord,NAC Breda,4,2,1,1,20,7,8,4,1.16,7.38,15.47,1.42,2.76,2018/2019,1819
02/09/2018,,Groningen,Zwolle,0,1,0,0,14,9,2,6,2.08,3.54,3.29,1.64,2.19,2018/2019,1819
02/09/2018,,Heracles,AZ Alkmaar,3,2,1,1,23,17,14,8,4.7,4.34,1.61,1.37,2.98,2018/2019,1819
02/09/2018,,Vitesse,Ajax,0,4,0,3,21,16,7,8,4.93,4.13,1.61,1.56,2.35,2018/2019,1819
15/09/2018,,Ajax,Groningen,3,0,1,0,17,7,5,2,1.14,8.02,17.08,1.32,3.27,2018/2019,1819
15/09/2018,,Den Haag,PSV Eindhoven,0,7,0,2,5,27,2,10,6.04,4.78,1.45,1.441,2.8,2018/2019,1819
15/09/2018,,Graafschap,VVV Venlo,1,2,0,2,14,12,2,6,2.43,3.37,2.82,1.81,1.98,2018/2019,1819
15/09/2018,,Willem II,Excelsior,2,2,0,1,21,16,6,4,1.85,3.64,4.09,1.75,2.06,2018/2019,1819
16/09/2018,,AZ Alkmaar,Feyenoord,1,1,1,1,11,9,3,3,2.65,3.65,2.41,1.48,2.57,2018/2019,1819
16/09/2018,,Heerenveen,Heracles,3,5,1,1,11,10,6,7,1.77,3.88,4.2,1.53,2.45,2018/2019,1819
16/09/2018,,NAC Breda,For Sittard,2,3,1,1,14,12,4,4,2.12,3.54,3.24,1.64,2.21,2018/2019,1819
16/09/2018,,Utrecht,FC Emmen,1,2,1,0,15,10,4,2,1.43,4.6,6.63,1.53,2.44,2018/2019,1819
16/09/2018,,Zwolle,Vitesse,0,2,0,2,12,9,6,4,3.22,3.59,2.1,1.72,2.09,2018/2019,1819
21/09/2018,,Heracles,Graafschap,4,0,1,0,27,13,10,4,1.48,4.63,5.89,1.47,2.58,2018/2019,1819
22/09/2018,,Excelsior,Heerenveen,3,3,2,0,12,10,8,5,2.87,3.42,2.36,1.66,2.17,2018/2019,1819
22/09/2018,,For Sittard,Willem II,4,4,2,2,10,12,7,6,2.4,3.49,2.76,1.64,2.2,2018/2019,1819
22/09/2018,,Vitesse,Den Haag,1,1,1,0,15,11,4,3,1.5,4.44,5.88,1.5,2.51,2018/2019,1819
22/09/2018,,VVV Venlo,NAC Breda,3,0,2,0,14,6,5,1,1.8,3.68,4.22,1.86,1.92,2018/2019,1819
23/09/2018,,FC Emmen,Zwolle,0,1,0,1,9,12,3,4,2.66,3.42,2.49,1.67,2.12,2018/2019,1819
23/09/2018,,Feyenoord,Utrecht,1,0,0,0,23,12,9,1,1.46,4.56,6.12,1.44,2.65,2018/2019,1819
23/09/2018,,Groningen,AZ Alkmaar,1,3,1,1,8,21,3,11,3.51,3.68,1.96,1.52,2.43,2018/2019,1819
23/09/2018,,PSV Eindhoven,Ajax,3,0,3,0,14,15,8,4,2.49,3.49,2.62,1.59,1.56,2018/2019,1819
29/09/2018,,Excelsior,VVV Venlo,1,0,1,0,9,14,2,4,2.47,3.27,2.83,1.96,1.82,2018/2019,1819
29/09/2018,,For Sittard,Ajax,0,2,0,0,15,17,5,4,9.5,6.02,1.26,1.36,3.02,2018/2019,1819
29/09/2018,,Heerenveen,Den Haag,1,1,1,1,11,8,1,2,1.93,3.67,3.67,1.51,2.47,2018/2019,1819
29/09/2018,,NAC Breda,PSV Eindhoven,0,2,0,0,10,12,2,4,11.29,6.37,1.23,1.4,2.83,2018/2019,1819
30/09/2018,,AZ Alkmaar,Zwolle,2,2,1,1,15,9,3,3,1.44,4.82,6.12,1.41,2.82,2018/2019,1819
30/09/2018,,Feyenoord,Vitesse,2,1,0,1,19,11,7,5,1.51,4.39,5.71,1.52,2.45,2018/2019,1819
30/09/2018,,Graafschap,Willem II,2,1,1,0,24,10,7,4,3.05,3.49,2.24,1.65,2.19,2018/2019,1819
30/09/2018,,Groningen,Utrecht,1,1,0,1,15,7,6,2,2.72,3.45,2.47,1.74,2.06,2018/2019,1819
30/09/2018,,Heracles,FC Emmen,2,1,2,0,15,16,6,8,1.56,4.42,5.16,1.43,2.73,2018/2019,1819
05/10/2018,,Utrecht,NAC Breda,2,1,1,0,18,9,5,3,1.54,4.16,5.82,1.63,2.24,2018/2019,1819
06/10/2018,,Den Haag,Groningen,1,0,1,0,9,8,3,3,2.13,3.53,3.21,1.6,2.27,2018/2019,1819
06/10/2018,,Graafschap,Heerenveen,0,5,0,4,8,24,1,14,3.18,3.56,2.13,1.63,2.21,2018/2019,1819
06/10/2018,,PSV Eindhoven,VVV Venlo,4,0,1,0,24,3,8,0,1.17,7.04,14.73,1.42,2.76,2018/2019,1819
06/10/2018,,Zwolle,Excelsior,2,0,1,0,22,5,4,2,1.8,3.78,4.09,1.59,2.28,2018/2019,1819
07/10/2018,,Ajax,AZ Alkmaar,5,0,1,0,22,5,11,3,1.39,5.1,6.66,1.33,3.21,2018/2019,1819
07/10/2018,,FC Emmen,For Sittard,3,3,1,0,12,12,4,6,2.32,3.45,2.95,1.69,2.11,2018/2019,1819
07/10/2018,,Vitesse,Heracles,4,0,2,0,19,4,6,2,1.92,3.82,3.61,1.49,2.53,2018/2019,1819
07/10/2018,,Willem II,Feyenoord,1,1,0,0,12,9,4,7,5.09,4.28,1.58,1.53,2.43,2018/2019,1819
20/10/2018,,Excelsior,Vitesse,2,0,1,0,6,24,1,7,4.05,3.87,1.81,1.67,2.18,2018/2019,1819
20/10/2018,,Heerenveen,Ajax,0,4,0,2,13,17,4,10,9.23,6.02,1.27,1.41,2.82,2018/2019,1819
20/10/2018,,PSV Eindhoven,FC Emmen,6,0,4,0,29,8,15,4,1.11,9.68,20.18,1.24,3.86,2018/2019,1819
20/10/2018,,Utrecht,AZ Alkmaar,2,1,1,1,15,13,6,8,2.57,3.58,2.55,1.53,2.44,2018/2019,1819
21/10/2018,,Feyenoord,Zwolle,3,0,2,0,17,17,11,5,1.25,6.05,10.53,1.37,2.99,2018/2019,1819
21/10/2018,,For Sittard,Graafschap,3,1,1,0,22,11,11,3,1.79,3.85,4.1,1.61,2.26,2018/2019,1819
21/10/2018,,Heracles,Groningen,4,1,1,1,13,11,8,4,1.89,3.83,3.74,1.46,1.67,2018/2019,1819
21/10/2018,,NAC Breda,Willem II,2,2,1,2,6,8,3,3,2.77,3.39,2.48,1.73,2.08,2018/2019,1819
21/10/2018,,VVV Venlo,Den Haag,2,0,1,0,22,12,7,2,2.38,3.39,2.88,1.82,1.96,2018/2019,1819
26/10/2018,,FC Emmen,VVV Venlo,1,1,0,1,28,5,8,2,2.83,3.34,2.46,1.91,1.88,2018/2019,1819
27/10/2018,,Den Haag,NAC Breda,1,1,1,1,17,7,4,3,1.78,3.8,4.31,1.71,2.11,2018/2019,1819
27/10/2018,,Graafschap,Excelsior,4,1,1,1,13,14,6,4,2.58,3.55,2.56,1.63,2.24,2018/2019,1819
27/10/2018,,Groningen,PSV Eindhoven,1,2,1,1,14,19,3,5,8.88,5.35,1.31,1.46,2.63,2018/2019,1819
27/10/2018,,Zwolle,Heracles,1,1,0,1,24,8,6,3,2.19,3.67,3.05,1.52,2.46,2018/2019,1819
28/10/2018,,Ajax,Feyenoord,3,0,2,0,28,8,10,2,1.42,5.02,6.45,1.43,2.7,2018/2019,1819
28/10/2018,,AZ Alkmaar,Heerenveen,2,3,1,1,15,11,7,6,1.49,4.71,5.58,1.4,2.84,2018/2019,1819
28/10/2018,,Vitesse,For Sittard,2,1,1,1,12,10,6,2,1.47,4.48,6.23,1.5,2.5,2018/2019,1819
28/10/2018,,Willem II,Utrecht,0,1,0,0,8,19,0,8,2.71,3.4,2.52,1.77,2.01,2018/2019,1819
02/11/2018,,Excelsior,Groningen,2,4,1,2,10,15,4,8,2.59,3.45,2.62,1.71,2.12,2018/2019,1819
03/11/2018,,Ajax,Willem II,2,0,2,0,21,3,10,0,1.08,10.46,25.43,1.26,3.67,2018/2019,1819
03/11/2018,,AZ Alkmaar,Graafschap,1,0,0,0,18,3,6,0,1.23,6.52,10.38,1.25,3.77,2018/2019,1819
03/11/2018,,NAC Breda,Heracles,2,1,1,0,9,21,2,5,2.84,3.47,2.38,1.65,2.2,2018/2019,1819
03/11/2018,,PSV Eindhoven,Vitesse,1,0,0,0,14,7,6,1,1.31,5.47,8.76,1.44,2.69,2018/2019,1819
04/11/2018,,For Sittard,Zwolle,3,0,1,0,17,10,6,4,2.6,3.56,2.53,1.6,2.29,2018/2019,1819
04/11/2018,,Heerenveen,FC Emmen,1,1,1,0,17,17,6,6,1.54,4.38,5.54,1.54,2.43,2018/2019,1819
04/11/2018,,Utrecht,Den Haag,3,0,1,0,14,11,5,5,1.6,4.13,5.14,1.65,2.2,2018/2019,1819
09/11/2018,,Zwolle,Willem II,2,3,0,2,20,5,7,3,1.94,3.65,3.73,1.67,2.18,2018/2019,1819
10/11/2018,,FC Emmen,NAC Breda,2,0,0,0,19,7,8,3,2.15,3.52,3.23,1.75,2.06,2018/2019,1819
10/11/2018,,Graafschap,PSV Eindhoven,1,4,1,2,10,22,2,7,11.49,6.81,1.21,1.31,3.37,2018/2019,1819
10/11/2018,,Vitesse,Utrecht,2,1,0,0,17,13,5,7,2.0,3.63,3.54,1.69,2.14,2018/2019,1819
