Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,Season,SeasonCode
10/08/2018,,Benfica,Guimaraes,3,2,3,0,9,9,7,5,1.24,5.87,11.21,1.53,2.44,2018/2019,1819
11/08/2018,,Porto,Chaves,5,0,3,0,14,2,6,0,1.17,6.97,15.71,1.51,2.49,2018/2019,1819
11/08/2018,,Setubal,Aves,2,0,1,0,13,2,5,1,2.31,3.1,3.23,2.37,1.56,2018/2019,1819
11/08/2018,,Tondela,Belenenses,0,1,0,0,14,6,4,3,2.2,3.17,3.35,2.31,1.58,2018/2019,1819
12/08/2018,,Feirense,Rio Ave,2,0,2,0,12,7,5,1,2.88,3.03,2.54,2.31,1.58,2018/2019,1819
12/08/2018,,Maritimo,Santa Clara,1,0,0,0,10,9,4,5,1.8,3.38,4.59,2.28,1.6,2018/2019,1819
12/08/2018,,Moreirense,Sp Lisbon,1,3,1,1,3,6,3,4,7.36,4.26,1.43,1.89,1.87,2018/2019,1819
12/08/2018,,Sp Braga,Nacional,4,2,2,2,16,10,12,8,1.34,4.92,8.22,1.65,2.18,2018/2019,1819
13/08/2018,,Portimonense,Boavista,0,2,0,0,8,9,3,4,2.21,3.13,3.34,2.34,1.56,2018/2019,1819
17/08/2018,,Aves,Tondela,2,2,1,1,16,12,6,5,2.2,3.14,3.39,2.21,1.64,2018/2019,1819
18/08/2018,,Boavista,Benfica,0,2,0,1,4,17,1,8,7.08,3.91,1.49,1.99,1.79,2018/2019,1819
18/08/2018,,Chaves,Portimonense,2,0,2,0,12,9,5,2,2.21,3.2,3.33,2.13,1.69,2018/2019,1819
18/08/2018,,Sp Lisbon,Setubal,2,1,1,1,17,9,5,3,1.25,5.66,11.38,1.62,2.25,2018/2019,1819
19/08/2018,,Belenenses,Porto,2,3,0,1,12,16,5,6,11.29,5.04,1.28,1.84,1.93,2018/2019,1819
19/08/2018,,Nacional,Moreirense,1,2,0,1,17,14,8,8,2.29,3.17,3.17,2.16,1.67,2018/2019,1819
19/08/2018,,Rio Ave,Maritimo,3,1,2,0,13,16,5,4,2.05,3.1,3.85,2.29,1.59,2018/2019,1819
