Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,Season,SeasonCode
03/08/2019,15:00,Celtic,St Johnstone,7,0,3,0,24,2,11,0,1.16,7.16,17.17,1.65,2.21,2019/2020,1920
03/08/2019,15:00,Hibernian,St Mirren,1,0,0,0,13,14,5,5,1.49,4.08,6.58,2.01,1.79,2019/2020,1920
03/08/2019,15:00,Livingston,Motherwell,0,0,0,0,9,10,5,5,2.71,3.04,2.72,2.53,1.5,2019/2020,1920
03/08/2019,15:00,Ross County,Hamilton,3,0,2,0,12,9,6,5,1.91,3.39,4.04,2.23,1.63,2019/2020,1920
04/08/2019,13:30,Kilmarnock,Rangers,1,2,0,1,5,14,3,10,5.14,3.92,1.62,2.0,1.8,2019/2020,1920
04/08/2019,15:00,Aberdeen,Hearts,3,2,1,0,10,7,5,3,1.89,3.37,4.09,2.2,1.64,2019/2020,1920
10/08/2019,12:00,Motherwell,Celtic,2,5,1,2,11,17,3,5,8.68,5.07,1.32,1.7,2.14,2019/2020,1920
10/08/2019,14:00,St Johnstone,Livingston,2,2,0,2,7,11,4,8,2.36,3.14,3.06,2.37,1.56,2019/2020,1920
10/08/2019,15:00,Hamilton,Kilmarnock,2,0,1,0,4,17,3,6,4.44,3.55,1.78,2.08,1.73,2019/2020,1920
10/08/2019,15:00,Hearts,Ross County,0,0,0,0,7,15,2,3,1.91,3.43,3.98,2.03,1.76,2019/2020,1920
11/08/2019,15:00,Rangers,Hibernian,6,1,2,1,34,6,19,4,1.48,4.27,6.31,1.77,2.02,2019/2020,1920
11/08/2019,15:00,St Mirren,Aberdeen,1,0,1,0,10,13,4,4,4.33,3.43,1.83,2.15,1.68,2019/2020,1920
24/08/2019,15:00,Hamilton,Motherwell,1,3,1,2,3,20,1,7,3.37,3.42,2.09,2.05,1.76,2019/2020,1920
24/08/2019,15:00,Hibernian,St Johnstone,2,2,1,0,9,18,3,5,1.7,3.64,4.87,2.02,1.77,2019/2020,1920
24/08/2019,15:00,Kilmarnock,Aberdeen,0,0,0,0,7,8,1,4,2.71,3.14,2.64,2.34,1.57,2019/2020,1920
24/08/2019,15:00,Ross County,Livingston,1,4,1,3,6,14,2,6,2.14,3.32,3.33,2.12,1.7,2019/2020,1920
25/08/2019,12:15,St Mirren,Rangers,0,1,0,0,7,15,2,7,13.55,6.24,1.2,1.56,2.37,2019/2020,1920
25/08/2019,15:00,Celtic,Hearts,3,1,1,0,9,5,5,3,1.23,5.81,11.75,1.61,2.27,2019/2020,1920
31/08/2019,15:00,Aberdeen,Ross County,3,0,2,0,11,7,6,2,1.64,3.77,5.22,1.97,1.83,2019/2020,1920
31/08/2019,15:00,Hearts,Hamilton,2,2,1,0,13,14,3,5,1.39,4.71,7.51,1.78,2.02,2019/2020,1920
31/08/2019,15:00,Livingston,St Mirren,2,1,1,0,11,11,3,5,1.87,3.49,4.11,2.09,1.72,2019/2020,1920
31/08/2019,15:00,Motherwell,Hibernian,3,0,1,0,15,8,9,5,2.45,3.37,2.77,2.06,1.75,2019/2020,1920
