Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,Season,SeasonCode
17/08/2018,,Betis,Levante,0,3,0,1,22,6,8,4,1.68,4.0,4.95,1.76,2.06,2018/2019,1819
17/08/2018,,Girona,Valladolid,0,0,0,0,13,2,1,1,1.78,3.6,4.79,2.13,1.71,2018/2019,1819
18/08/2018,,Barcelona,Alaves,3,0,0,0,25,3,9,0,1.1,9.82,25.67,1.34,3.18,2018/2019,1819
18/08/2018,,Celta,Espanol,1,1,0,1,12,14,2,5,1.9,3.53,4.2,2.06,1.76,2018/2019,1819
18/08/2018,,Villarreal,Sociedad,1,2,1,1,16,8,7,4,2.03,3.43,3.76,1.99,1.81,2018/2019,1819
19/08/2018,,Eibar,Huesca,1,2,0,2,18,8,6,6,1.7,3.77,5.08,1.88,1.91,2018/2019,1819
19/08/2018,,Real Madrid,Getafe,2,0,1,0,10,4,3,1,1.21,6.66,14.13,1.45,2.66,2018/2019,1819
19/08/2018,,Vallecano,Sevilla,1,4,0,3,13,17,2,8,3.38,3.56,2.11,1.76,2.04,2018/2019,1819
20/08/2018,,Ath Bilbao,Leganes,2,1,1,1,17,12,5,2,1.78,3.43,5.03,2.35,1.58,2018/2019,1819
20/08/2018,,Valencia,Ath Madrid,1,1,0,1,13,9,4,3,2.99,3.14,2.51,2.33,1.59,2018/2019,1819
24/08/2018,,Getafe,Eibar,2,0,1,0,7,9,4,0,1.98,3.22,4.32,2.62,1.47,2018/2019,1819
24/08/2018,,Leganes,Sociedad,2,2,0,2,18,7,5,6,3.57,3.25,2.18,2.36,1.58,2018/2019,1819
25/08/2018,,Alaves,Betis,0,0,0,0,16,13,4,5,2.77,3.26,2.63,2.13,1.7,2018/2019,1819
25/08/2018,,Ath Madrid,Vallecano,1,0,0,0,9,13,2,3,1.16,7.39,20.03,1.57,2.38,2018/2019,1819
25/08/2018,,Valladolid,Barcelona,0,1,0,0,7,10,4,5,16.55,7.56,1.17,1.42,2.8,2018/2019,1819
26/08/2018,,Espanol,Valencia,2,0,0,0,19,16,9,4,3.08,3.3,2.37,2.07,1.74,2018/2019,1819
26/08/2018,,Girona,Real Madrid,1,4,1,1,10,20,5,8,8.29,5.2,1.36,1.5,2.52,2018/2019,1819
26/08/2018,,Sevilla,Villarreal,0,0,0,0,19,14,2,6,1.76,3.87,4.51,1.71,2.12,2018/2019,1819
27/08/2018,,Ath Bilbao,Huesca,2,2,0,0,14,9,4,4,1.63,3.75,5.95,2.01,1.79,2018/2019,1819
27/08/2018,,Levante,Celta,1,2,0,2,15,21,6,9,2.49,3.25,2.93,2.03,1.78,2018/2019,1819
31/08/2018,,Eibar,Sociedad,2,1,1,1,8,7,2,2,2.79,3.23,2.66,2.2,1.67,2018/2019,1819
31/08/2018,,Getafe,Valladolid,0,0,0,0,12,7,3,4,1.91,3.18,4.86,2.59,1.49,2018/2019,1819
31/08/2018,,Villarreal,Girona,0,1,0,0,13,14,3,6,1.57,4.08,6.19,1.91,1.89,2018/2019,1819
01/09/2018,,Celta,Ath Madrid,2,0,0,0,10,9,4,0,4.83,3.58,1.78,2.1,1.72,2018/2019,1819
01/09/2018,,Real Madrid,Leganes,4,1,1,1,17,8,8,3,1.12,9.31,23.88,1.33,3.23,2018/2019,1819
02/09/2018,,Alaves,Espanol,2,1,0,1,8,11,5,7,2.91,3.08,2.63,2.56,1.5,2018/2019,1819
02/09/2018,,Barcelona,Huesca,8,2,3,2,31,7,15,3,1.07,12.43,33.38,1.21,4.3,2018/2019,1819
02/09/2018,,Betis,Sevilla,1,0,0,0,11,8,3,2,2.75,3.62,2.44,1.58,2.36,2018/2019,1819
02/09/2018,,Levante,Valencia,2,2,2,1,13,18,4,5,3.51,3.5,2.09,1.82,1.99,2018/2019,1819
14/09/2018,,Huesca,Vallecano,0,1,0,1,14,14,4,2,2.2,3.51,3.28,1.85,1.96,2018/2019,1819
15/09/2018,,Ath Bilbao,Real Madrid,1,1,1,0,11,16,3,6,5.47,4.46,1.57,1.48,2.59,2018/2019,1819
15/09/2018,,Ath Madrid,Eibar,1,1,0,0,18,12,9,3,1.37,4.56,10.12,2.03,1.79,2018/2019,1819
15/09/2018,,Sociedad,Barcelona,1,2,1,0,8,12,5,6,6.8,5.08,1.42,1.44,2.72,2018/2019,1819
15/09/2018,,Valencia,Betis,0,0,0,0,12,11,2,6,1.75,3.84,4.65,1.71,2.13,2018/2019,1819
16/09/2018,,Espanol,Levante,1,0,0,0,22,16,9,4,1.78,3.7,4.66,1.95,1.85,2018/2019,1819
16/09/2018,,Leganes,Villarreal,0,1,0,0,16,9,3,3,3.02,3.13,2.53,2.36,1.59,2018/2019,1819
16/09/2018,,Sevilla,Getafe,0,2,0,2,15,10,1,5,1.56,4.01,6.25,1.9,1.9,2018/2019,1819
16/09/2018,,Valladolid,Alaves,0,1,0,0,15,10,5,4,2.21,3.06,3.71,2.55,1.5,2018/2019,1819
17/09/2018,,Girona,Celta,3,2,2,1,11,20,6,7,2.41,3.4,2.93,1.88,1.91,2018/2019,1819
21/09/2018,,Huesca,Sociedad,0,1,0,0,13,7,3,1,3.62,3.4,2.1,2.04,1.78,2018/2019,1819
22/09/2018,,Celta,Valladolid,3,3,2,1,12,14,5,4,1.73,3.63,5.18,2.02,1.79,2018/2019,1819
22/09/2018,,Eibar,Leganes,1,0,0,0,14,4,3,2,2.06,3.23,3.95,2.44,1.55,2018/2019,1819
22/09/2018,,Getafe,Ath Madrid,0,2,0,1,11,7,2,4,5.04,3.23,1.86,2.68,1.45,2018/2019,1819
22/09/2018,,Real Madrid,Espanol,1,0,1,0,19,10,5,3,1.2,7.01,14.36,1.38,2.94,2018/2019,1819
22/09/2018,,Vallecano,Alaves,1,5,1,2,13,11,4,7,2.12,3.41,3.55,2.08,1.74,2018/2019,1819
23/09/2018,,Barcelona,Girona,2,2,1,1,22,7,11,6,1.08,11.57,27.69,1.2,4.36,2018/2019,1819
23/09/2018,,Betis,Ath Bilbao,2,2,0,2,15,7,3,4,2.21,3.41,3.29,1.94,1.86,2018/2019,1819
23/09/2018,,Levante,Sevilla,2,6,1,4,19,20,10,9,3.32,3.64,2.12,1.68,2.17,2018/2019,1819
23/09/2018,,Villarreal,Valencia,0,0,0,0,11,12,1,2,2.31,3.38,3.14,1.94,1.87,2018/2019,1819
25/09/2018,,Ath Madrid,Huesca,3,0,3,0,17,8,5,1,1.24,5.99,14.4,1.75,2.06,2018/2019,1819
25/09/2018,,Espanol,Eibar,1,0,0,0,9,8,5,1,1.94,3.27,4.44,2.39,1.57,2018/2019,1819
25/09/2018,,Sociedad,Vallecano,2,2,1,2,16,11,6,6,1.65,4.01,5.29,1.76,2.06,2018/2019,1819
26/09/2018,,Ath Bilbao,Villarreal,0,3,0,0,12,19,2,6,2.17,3.38,3.43,2.05,1.76,2018/2019,1819
26/09/2018,,Leganes,Barcelona,2,1,0,1,10,9,6,5,10.97,5.98,1.27,1.5,2.52,2018/2019,1819
26/09/2018,,Sevilla,Real Madrid,3,0,3,0,16,21,7,3,4.16,4.23,1.76,1.42,2.79,2018/2019,1819
26/09/2018,,Valencia,Celta,1,1,1,0,14,9,5,3,1.72,4.04,4.58,1.62,2.26,2018/2019,1819
27/09/2018,,Alaves,Getafe,1,1,0,0,15,13,2,5,2.8,2.97,2.82,2.67,1.45,2018/2019,1819
27/09/2018,,Girona,Betis,0,1,0,0,8,14,2,6,2.51,3.42,2.8,1.89,1.9,2018/2019,1819
27/09/2018,,Valladolid,Levante,2,1,0,0,20,9,6,4,2.07,3.51,3.56,1.99,1.81,2018/2019,1819
28/09/2018,,Vallecano,Espanol,2,2,1,2,11,12,5,5,2.74,3.27,2.67,2.05,1.77,2018/2019,1819
29/09/2018,,Barcelona,Ath Bilbao,1,1,0,1,20,8,8,2,1.16,8.17,17.47,1.31,3.35,2018/2019,1819
29/09/2018,,Eibar,Sevilla,1,3,0,0,15,7,2,5,3.22,3.41,2.25,1.95,1.85,2018/2019,1819
29/09/2018,,Real Madrid,Ath Madrid,0,0,0,0,15,8,6,3,2.09,3.42,3.64,1.88,1.92,2018/2019,1819
29/09/2018,,Sociedad,Valencia,0,1,0,1,10,9,5,2,2.29,3.44,3.13,1.92,1.87,2018/2019,1819
30/09/2018,,Betis,Leganes,1,0,0,0,17,11,4,5,1.68,3.76,5.3,2.04,1.78,2018/2019,1819
30/09/2018,,Huesca,Girona,1,1,0,1,13,14,6,4,2.47,3.24,2.99,2.13,1.71,2018/2019,1819
30/09/2018,,Levante,Alaves,2,1,2,1,14,14,4,2,2.19,3.38,3.38,2.0,1.81,2018/2019,1819
30/09/2018,,Villarreal,Valladolid,0,1,0,0,27,9,7,3,1.55,4.03,6.42,1.96,1.84,2018/2019,1819
01/10/2018,,Celta,Getafe,1,1,1,0,8,12,2,4,2.0,3.36,3.95,2.1,1.73,2018/2019,1819
05/10/2018,,Ath Bilbao,Sociedad,1,3,1,1,13,6,5,3,2.08,3.39,3.73,2.06,1.76,2018/2019,1819
06/10/2018,,Alaves,Real Madrid,1,0,0,0,8,13,4,6,8.13,4.94,1.39,1.53,1.59,2018/2019,1819
06/10/2018,,Getafe,Levante,0,1,0,0,15,12,4,3,1.73,3.71,5.1,1.95,1.85,2018/2019,1819
06/10/2018,,Girona,Eibar,2,3,2,2,10,12,3,4,2.15,3.27,3.67,2.32,1.6,2018/2019,1819
06/10/2018,,Leganes,Vallecano,1,0,1,0,13,6,4,2,2.09,3.3,3.78,2.2,1.67,2018/2019,1819
07/10/2018,,Ath Madrid,Betis,1,0,0,0,13,5,5,0,1.49,3.95,8.15,2.19,1.67,2018/2019,1819
07/10/2018,,Espanol,Villarreal,3,1,1,1,28,13,12,6,2.31,3.19,3.33,2.27,1.63,2018/2019,1819
07/10/2018,,Sevilla,Celta,2,1,1,0,12,13,3,5,1.56,4.49,5.51,1.47,2.62,2018/2019,1819
07/10/2018,,Valencia,Barcelona,1,1,1,1,10,10,3,5,4.68,4.12,1.69,1.54,2.43,2018/2019,1819
07/10/2018,,Valladolid,Huesca,1,0,1,0,9,11,3,1,1.92,3.47,4.24,2.13,1.71,2018/2019,1819
19/10/2018,,Celta,Alaves,0,1,0,0,19,9,9,2,1.73,3.77,4.89,1.88,1.92,2018/2019,1819
20/10/2018,,Barcelona,Sevilla,4,2,2,0,23,19,9,7,1.34,5.96,7.5,1.26,3.72,2018/2019,1819
20/10/2018,,Real Madrid,Levante,1,2,0,2,34,6,12,2,1.15,8.52,16.34,1.24,3.92,2018/2019,1819
20/10/2018,,Valencia,Leganes,1,1,0,0,18,7,4,5,1.55,3.99,6.52,2.07,1.75,2018/2019,1819
20/10/2018,,Villarreal,Ath Madrid,1,1,0,0,18,15,6,4,3.71,3.14,2.18,2.47,1.54,2018/2019,1819
21/10/2018,,Betis,Valladolid,0,1,0,1,20,6,4,2,1.63,3.91,5.55,1.98,1.83,2018/2019,1819
21/10/2018,,Eibar,Ath Bilbao,1,1,1,1,18,6,6,3,2.72,3.14,2.75,2.29,1.61,2018/2019,1819
21/10/2018,,Huesca,Espanol,0,2,0,1,10,6,2,2,3.57,3.4,2.11,2.15,1.7,2018/2019,1819
21/10/2018,,Vallecano,Getafe,1,2,0,0,10,5,3,2,2.93,3.19,2.55,2.23,1.65,2018/2019,1819
22/10/2018,,Sociedad,Girona,0,0,0,0,14,12,8,2,1.68,3.88,5.04,1.9,1.89,2018/2019,1819
24/10/2018,,Vallecano,Ath Bilbao,1,1,1,0,11,12,3,4,3.26,3.36,2.24,1.97,1.83,2018/2019,1819
26/10/2018,,Valladolid,Espanol,1,1,0,1,15,11,2,4,3.3,3.14,2.35,2.38,1.58,2018/2019,1819
27/10/2018,,Ath Bilbao,Valencia,0,0,0,0,13,11,2,3,2.6,3.22,2.83,2.09,1.73,2018/2019,1819
27/10/2018,,Ath Madrid,Sociedad,2,0,1,0,14,7,4,0,1.53,3.9,7.19,2.22,1.65,2018/2019,1819
27/10/2018,,Celta,Eibar,4,0,2,0,10,17,6,5,2.18,3.35,3.42,1.97,1.83,2018/2019,1819
27/10/2018,,Girona,Vallecano,2,1,2,0,14,14,6,5,1.89,3.57,4.22,1.89,1.91,2018/2019,1819
27/10/2018,,Levante,Leganes,2,0,1,0,9,21,4,6,2.15,3.33,3.51,2.04,1.77,2018/2019,1819
28/10/2018,,Alaves,Villarreal,2,1,0,1,19,9,6,2,3.1,3.21,2.4,2.24,1.64,2018/2019,1819
28/10/2018,,Barcelona,Real Madrid,5,1,2,0,13,15,8,4,1.97,3.74,3.65,1.53,2.46,2018/2019,1819
28/10/2018,,Getafe,Betis,2,0,0,0,16,7,7,3,2.42,3.06,3.23,2.52,1.52,2018/2019,1819
28/10/2018,,Sevilla,Huesca,2,1,0,0,15,11,4,2,1.24,6.3,11.99,1.42,2.77,2018/2019,1819
03/11/2018,,Leganes,Ath Madrid,1,1,0,0,8,9,3,4,5.63,3.3,1.77,2.65,1.47,2018/2019,1819
03/11/2018,,Real Madrid,Valladolid,2,0,0,0,16,12,7,2,1.19,7.34,13.95,1.35,3.13,2018/2019,1819
03/11/2018,,Valencia,Girona,0,1,0,0,27,5,9,3,1.49,4.19,7.33,2.05,1.77,2018/2019,1819
03/11/2018,,Vallecano,Barcelona,2,3,1,1,11,9,5,5,9.47,5.77,1.3,1.42,2.81,2018/2019,1819
04/11/2018,,Betis,Celta,3,3,1,0,14,14,6,7,1.82,3.76,4.27,1.9,1.9,2018/2019,1819
04/11/2018,,Eibar,Alaves,2,1,0,1,23,9,8,3,2.08,3.3,3.82,2.28,1.62,2018/2019,1819
04/11/2018,,Huesca,Getafe,1,1,0,0,18,8,7,2,3.59,3.17,2.2,2.43,1.55,2018/2019,1819
04/11/2018,,Sociedad,Sevilla,0,0,0,0,10,8,1,1,2.79,3.53,2.46,1.72,2.11,2018/2019,1819
04/11/2018,,Villarreal,Levante,1,1,0,0,23,13,4,2,1.59,4.17,5.56,1.61,2.29,2018/2019,1819
05/11/2018,,Espanol,Ath Bilbao,1,0,1,0,8,10,3,2,1.99,3.33,4.04,2.22,1.65,2018/2019,1819
09/11/2018,,Levante,Sociedad,1,3,1,0,17,15,2,4,2.7,3.34,2.68,1.96,1.85,2018/2019,1819
10/11/2018,,Ath Madrid,Ath Bilbao,3,2,0,1,9,6,3,5,1.46,4.02,8.67,2.39,1.57,2018/2019,1819
10/11/2018,,Getafe,Valencia,0,1,0,0,17,7,3,3,2.84,3.05,2.73,2.58,1.49,2018/2019,1819
10/11/2018,,Girona,Leganes,0,0,0,0,5,10,0,1,2.17,3.21,3.65,2.39,1.57,2018/2019,1819
10/11/2018,,Valladolid,Eibar,0,0,0,0,9,16,1,6,2.35,3.23,3.23,2.29,1.62,2018/2019,1819
11/11/2018,,Alaves,Huesca,2,1,1,1,13,9,5,2,1.85,3.46,4.59,2.17,1.69,2018/2019,1819
11/11/2018,,Barcelona,Betis,3,4,0,2,20,15,5,8,1.21,7.1,12.6,1.3,3.4,2018/2019,1819
11/11/2018,,Celta,Real Madrid,2,4,0,1,15,14,4,5,5.07,4.53,1.59,1.38,2.98,2018/2019,1819
11/11/2018,,Sevilla,Espanol,2,1,0,1,23,15,10,7,1.79,3.7,4.58,1.77,2.04,2018/2019,1819
11/11/2018,,Vallecano,Villarreal,2,2,1,1,15,11,7,5,3.11,3.43,2.29,1.88,1.92,2018/2019,1819
23/11/2018,,Leganes,Alaves,1,0,1,0,13,7,6,2,2.27,3.08,3.57,2.56,1.5,2018/2019,1819
24/11/2018,,Ath Madrid,Barcelona,1,1,0,0,3,8,1,2,3.03,3.31,2.41,1.92,1.88,2018/2019,1819
24/11/2018,,Eibar,Real Madrid,3,0,1,0,14,9,8,3,5.71,4.54,1.53,1.45,1.69,2018/2019,1819
24/11/2018,,Huesca,Levante,2,2,1,1,32,5,12,3,2.25,3.35,3.3,2.01,1.8,2018/2019,1819
24/11/2018,,Valencia,Vallecano,3,0,1,0,13,13,10,3,1.44,4.59,7.25,1.72,2.12,2018/2019,1819
25/11/2018,,Ath Bilbao,Getafe,1,1,0,0,8,15,4,2,2.08,3.25,3.85,2.44,1.55,2018/2019,1819
25/11/2018,,Espanol,Girona,1,3,0,2,18,16,10,11,1.66,3.7,5.64,2.18,1.68,2018/2019,1819
25/11/2018,,Sevilla,Valladolid,1,0,1,0,17,13,9,5,1.38,4.99,7.76,1.57,2.38,2018/2019,1819
25/11/2018,,Villarreal,Betis,2,1,0,0,13,13,8,6,2.21,3.47,3.24,1.78,2.03,2018/2019,1819
26/11/2018,,Sociedad,Celta,2,1,1,0,15,6,8,2,1.83,3.72,4.29,1.83,1.98,2018/2019,1819
30/11/2018,,Vallecano,Eibar,1,0,0,0,5,13,2,5,3.01,3.41,2.37,1.87,1.93,2018/2019,1819
01/12/2018,,Celta,Huesca,2,0,1,0,12,8,5,3,1.69,3.88,5.07,1.76,2.05,2018/2019,1819
01/12/2018,,Getafe,Espanol,3,0,0,0,14,8,5,2,2.39,3.03,3.35,2.57,1.49,2018/2019,1819
01/12/2018,,Real Madrid,Valencia,2,0,1,0,13,7,3,2,1.45,4.73,6.72,1.5,2.55,2018/2019,1819
01/12/2018,,Valladolid,Leganes,2,4,0,2,20,14,6,5,2.41,3.01,3.35,2.73,1.44,2018/2019,1819
02/12/2018,,Alaves,Sevilla,1,1,1,0,11,14,3,3,3.68,3.61,2.0,1.77,2.03,2018/2019,1819
02/12/2018,,Barcelona,Villarreal,2,0,1,0,16,12,7,2,1.23,6.67,11.42,1.33,3.23,2018/2019,1819
02/12/2018,,Betis,Sociedad,1,0,1,0,6,6,4,4,2.27,3.26,3.33,1.99,1.82,2018/2019,1819
02/12/2018,,Girona,Ath Madrid,1,1,1,0,13,17,3,3,5.32,3.36,1.77,2.44,1.54,2018/2019,1819
03/12/2018,,Levante,Ath Bilbao,3,0,1,0,17,12,7,3,2.74,3.36,2.58,1.93,1.87,2018/2019,1819
07/12/2018,,Leganes,Getafe,1,1,0,1,17,6,5,2,2.68,2.92,3.02,2.89,1.5,2018/2019,1819
08/12/2018,,Ath Madrid,Alaves,3,0,1,0,12,13,5,3,1.39,4.35,10.12,2.21,1.66,2018/2019,1819
08/12/2018,,Espanol,Barcelona,0,4,0,3,15,17,3,9,6.09,4.44,1.52,1.58,2.36,2018/2019,1819
08/12/2018,,Valencia,Sevilla,1,1,0,0,16,11,6,3,2.23,3.48,3.22,1.84,1.96,2018/2019,1819
08/12/2018,,Villarreal,Celta,2,3,0,1,13,14,3,7,1.79,3.81,4.45,1.71,2.13,2018/2019,1819
09/12/2018,,Betis,Vallecano,2,0,0,0,8,12,3,3,1.55,4.39,5.69,1.63,2.26,2018/2019,1819
