Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,Season,SeasonCode
17/08/2018,,Albacete,La Coruna,1,1,0,0,15,8,4,2,2.9,2.89,2.62,2.5,1.5,2018/2019,1819
17/08/2018,,Cadiz,Almeria,1,0,0,0,12,3,4,1,1.65,3.36,5.97,2.55,1.48,2018/2019,1819
18/08/2018,,Alcorcon,Sp Gijon,1,1,0,0,12,13,4,8,2.44,2.92,3.09,2.52,1.48,2018/2019,1819
18/08/2018,,Cordoba,Numancia,3,3,1,0,10,15,4,6,2.41,3.02,3.02,2.28,1.59,2018/2019,1819
18/08/2018,,Elche,Granada,0,0,0,0,8,6,1,2,2.51,2.91,3.0,2.44,1.51,2018/2019,1819
18/08/2018,,Lugo,Malaga,1,2,1,0,7,13,3,4,3.05,2.89,2.49,2.47,1.5,2018/2019,1819
19/08/2018,,Las Palmas,Reus Deportiu,2,0,1,0,5,4,3,1,1.74,3.2,5.19,2.2,1.63,2018/2019,1819
19/08/2018,,Mallorca,Osasuna,1,0,1,0,13,8,6,3,2.29,2.96,3.27,2.45,1.51,2018/2019,1819
19/08/2018,,Oviedo,Extremadura UD,1,1,1,0,18,3,7,1,1.66,3.42,5.39,2.25,1.6,2018/2019,1819
19/08/2018,,Zaragoza,Rayo Majadahonda,2,1,2,0,15,7,4,3,1.69,3.36,5.23,2.15,1.67,2018/2019,1819
20/08/2018,,Gimnastic,Tenerife,1,1,1,0,8,18,4,6,2.57,3.01,2.8,2.29,1.58,2018/2019,1819
24/08/2018,,Extremadura UD,La Coruna,0,1,0,0,12,9,3,2,3.55,3.17,2.12,2.24,1.63,2018/2019,1819
24/08/2018,,Malaga,Alcorcon,1,0,0,0,10,6,5,2,1.76,3.36,4.92,2.47,1.51,2018/2019,1819
25/08/2018,,Cordoba,Oviedo,2,4,0,2,19,10,8,6,2.55,3.03,2.9,2.24,1.63,2018/2019,1819
25/08/2018,,Las Palmas,Albacete,1,1,1,0,13,13,7,2,1.72,3.38,5.36,2.23,1.63,2018/2019,1819
25/08/2018,,Numancia,Cadiz,1,1,1,1,15,5,4,1,2.2,2.94,3.71,2.56,1.49,2018/2019,1819
25/08/2018,,Reus Deportiu,Zaragoza,0,0,0,0,7,10,1,4,3.52,3.02,2.21,2.42,1.54,2018/2019,1819
26/08/2018,,Almeria,Tenerife,1,1,1,0,7,12,1,2,2.91,2.96,2.57,2.3,1.58,2018/2019,1819
26/08/2018,,Granada,Lugo,1,1,1,0,10,7,4,2,1.79,3.31,4.59,2.3,1.57,2018/2019,1819
26/08/2018,,Osasuna,Elche,1,1,0,0,15,10,4,2,1.82,3.16,4.69,2.4,1.53,2018/2019,1819
26/08/2018,,Sp Gijon,Gimnastic,2,0,1,0,7,3,5,1,1.6,3.51,6.05,2.16,1.66,2018/2019,1819
27/08/2018,,Rayo Majadahonda,Mallorca,0,1,0,1,13,11,5,7,2.92,2.99,2.52,2.32,1.57,2018/2019,1819
31/08/2018,,Alcorcon,Mallorca,1,0,1,0,12,9,6,2,2.32,2.86,3.46,2.79,1.4,2018/2019,1819
01/09/2018,,Cadiz,Oviedo,1,1,0,0,13,8,3,2,2.35,2.85,3.46,2.78,1.42,2018/2019,1819
01/09/2018,,Elche,Reus Deportiu,0,2,0,1,8,6,2,3,2.04,3.07,4.02,2.74,1.43,2018/2019,1819
01/09/2018,,Lugo,Numancia,3,2,0,2,14,8,6,2,2.5,2.94,3.09,2.34,1.57,2018/2019,1819
01/09/2018,,Tenerife,La Coruna,2,2,0,1,16,7,3,3,2.37,2.98,3.24,2.37,1.56,2018/2019,1819
01/09/2018,,Zaragoza,Las Palmas,1,1,1,0,14,14,11,5,2.22,3.07,3.44,2.25,1.63,2018/2019,1819
02/09/2018,,Albacete,Cordoba,3,0,2,0,10,14,6,6,1.95,3.28,3.86,2.12,1.69,2018/2019,1819
02/09/2018,,Gimnastic,Rayo Majadahonda,0,1,0,0,9,24,2,7,2.1,3.06,3.69,2.34,1.56,2018/2019,1819
02/09/2018,,Granada,Osasuna,2,0,1,0,10,9,4,3,2.16,2.98,3.6,2.43,1.52,2018/2019,1819
02/09/2018,,Sp Gijon,Extremadura UD,2,0,0,0,10,7,6,2,1.49,3.77,7.14,2.09,1.7,2018/2019,1819
03/09/2018,,Almeria,Malaga,0,1,0,0,10,7,3,4,3.41,2.89,2.3,2.65,1.45,2018/2019,1819
07/09/2018,,Las Palmas,Gimnastic,4,0,1,0,16,2,6,0,1.42,4.06,8.15,2.06,1.72,2018/2019,1819
07/09/2018,,Mallorca,Cadiz,1,0,0,0,17,8,7,1,2.49,2.78,3.22,2.84,1.39,2018/2019,1819
