Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,Season,SeasonCode
10/08/2018,,Ankaragucu,Galatasaray,1,3,1,2,3,12,1,4,4.42,3.85,1.71,1.64,2.2,2018/2019,1819
11/08/2018,,Fenerbahce,Bursaspor,2,1,2,1,7,6,2,3,1.37,4.76,7.42,1.6,2.27,2018/2019,1819
11/08/2018,,Rizespor,Kasimpasa,2,3,1,0,8,14,5,6,2.33,3.36,2.86,1.77,2.0,2018/2019,1819
11/08/2018,,Sivasspor,Alanyaspor,1,0,0,0,12,9,5,3,2.18,3.46,3.08,1.73,2.06,2018/2019,1819
12/08/2018,,Besiktas,Akhisar Belediyespor,2,1,2,0,13,8,4,4,1.41,4.62,6.69,1.57,2.32,2018/2019,1819
12/08/2018,,Buyuksehyr,Trabzonspor,2,0,1,0,15,8,5,0,1.84,3.5,4.03,1.77,2.0,2018/2019,1819
12/08/2018,,Goztep,Yeni Malatyaspor,1,3,0,1,10,6,4,3,1.96,3.33,3.72,1.95,1.82,2018/2019,1819
12/08/2018,,Konyaspor,Erzurum BB,3,2,2,1,16,6,9,4,1.77,3.51,4.44,1.98,1.8,2018/2019,1819
13/08/2018,,Kayserispor,Antalyaspor,2,0,1,0,8,4,5,1,1.91,3.4,3.9,2.05,1.74,2018/2019,1819
17/08/2018,,Trabzonspor,Sivasspor,3,1,3,1,10,12,8,3,1.8,3.57,4.36,1.76,2.03,2018/2019,1819
18/08/2018,,Antalyaspor,Konyaspor,3,3,1,2,12,10,9,4,2.71,3.21,2.55,2.04,1.75,2018/2019,1819
18/08/2018,,Bursaspor,Kayserispor,0,0,0,0,9,4,2,0,2.46,3.1,2.89,2.14,1.68,2018/2019,1819
18/08/2018,,Yeni Malatyaspor,Fenerbahce,1,0,0,0,14,13,2,4,4.4,3.46,1.8,1.93,1.85,2018/2019,1819
19/08/2018,,Akhisar Belediyespor,Rizespor,1,1,0,1,8,24,3,10,2.13,3.22,3.4,2.06,1.73,2018/2019,1819
19/08/2018,,Alanyaspor,Ankaragucu,0,2,0,0,19,5,5,4,2.05,3.53,3.31,1.63,2.22,2018/2019,1819
19/08/2018,,Erzurum BB,Besiktas,1,3,1,0,10,10,3,6,5.34,3.91,1.58,1.74,2.05,2018/2019,1819
19/08/2018,,Galatasaray,Goztep,1,0,1,0,11,9,5,2,1.21,6.2,11.44,1.44,2.67,2018/2019,1819
20/08/2018,,Kasimpasa,Buyuksehyr,2,1,0,0,13,15,3,5,4.15,3.67,1.78,1.73,2.05,2018/2019,1819
24/08/2018,,Rizespor,Erzurum BB,0,0,0,0,9,11,2,3,1.67,3.94,4.62,1.62,2.25,2018/2019,1819
25/08/2018,,Ankaragucu,Trabzonspor,2,2,1,1,15,9,6,7,3.11,3.41,2.2,1.71,2.09,2018/2019,1819
