Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B36CA
Austria,Bundesliga,2025/2026,28/09/2025,13:30,Tirol,Salzburg,1,2,A,4.96,4.43,1.64,5.25,4.33,1.62,4.77,4.16,1.58,5.4,4.4,1.65,4.75,4.33,1.53
Austria,Bundesliga,2025/2026,28/09/2025,13:30,Sturm Graz,Hartberg,1,0,H,1.72,3.98,4.92,1.75,4.0,5.0,1.69,3.81,4.43,1.79,3.9,5.1,1.68,3.9,4.33
Austria,Bundesliga,2025/2026,27/09/2025,16:00,Wolfsberger AC,LASK,1,0,H,2.19,3.53,3.41,2.2,3.55,3.33,2.1,3.44,3.15,2.18,3.6,3.65,2.15,3.4,3.1
Austria,Bundesliga,2025/2026,27/09/2025,16:00,Ried,Grazer AK,0,0,D,1.95,3.52,4.19,1.98,3.5,4.2,1.93,3.37,3.75,2.02,3.55,4.3,1.86,3.4,4.2
Austria,Bundesliga,2025/2026,27/09/2025,16:00,BW Linz,Altach,1,0,H,3.21,3.25,2.42,3.2,3.2,2.38,3.05,3.09,2.31,3.35,3.25,2.52,3.1,3.2,2.3
Austria,Bundesliga,2025/2026,20/09/2025,16:00,Salzburg,Sturm Graz,0,2,A,1.93,3.97,3.76,1.93,3.9,3.7,1.87,3.62,3.56,2.0,4.0,3.95,1.86,3.9,3.5
Austria,Bundesliga,2025/2026,21/09/2025,13:30,LASK,BW Linz,2,0,H,1.96,3.69,3.94,1.93,3.75,4.1,1.85,3.61,3.75,1.99,3.8,4.0,1.81,3.6,4.1
Austria,Bundesliga,2025/2026,21/09/2025,16:00,Altach,Tirol,1,1,D,2.06,3.33,4.03,2.05,3.4,3.9,1.99,3.29,3.64,2.1,3.35,4.1,1.96,3.3,3.75
Austria,Bundesliga,2025/2026,20/09/2025,16:00,Hartberg,Wolfsberger AC,2,2,D,3.95,3.75,1.94,5.0,3.7,1.85,4.39,3.41,1.78,5.1,3.7,1.86,4.75,3.7,1.68
Austria,Bundesliga,2025/2026,20/09/2025,16:00,Austria Vienna,Ried,3,2,H,2.12,3.54,3.58,2.25,3.4,3.25,2.17,3.29,3.14,2.26,3.4,3.65,2.2,3.3,3.1
Austria,Bundesliga,2025/2026,28/09/2025,16:00,SK Rapid,Austria Vienna,1,3,A,1.94,3.61,4.1,1.87,3.7,4.25,1.81,3.53,4.02,1.88,3.7,4.8,1.76,3.7,4.1
Austria,Bundesliga,2025/2026,14/09/2025,16:00,Sturm Graz,Austria Vienna,0,1,A,2.49,3.36,3.0,2.33,3.45,3.25,2.24,3.31,2.99,2.3,3.45,3.4,2.15,3.3,3.25
Austria,Bundesliga,2025/2026,21/09/2025,16:00,Grazer AK,SK Rapid,1,1,D,5.19,4.08,1.67,5.5,4.0,1.7,4.93,3.81,1.62,5.8,4.0,1.7,5.5,4.0,1.56
Austria,Bundesliga,2025/2026,04/10/2025,16:00,Austria Vienna,BW Linz,0,1,A,1.94,3.65,4.06,2.0,3.6,4.0,1.89,3.45,3.79,1.98,3.7,4.1,1.91,3.6,3.7
Austria,Bundesliga,2025/2026,19/10/2025,16:00,SK Rapid,LASK,0,2,A,1.87,4.0,3.98,1.85,3.95,4.33,1.8,3.77,3.8,1.87,4.1,4.3,1.76,3.5,4.33
Austria,Bundesliga,2025/2026,04/10/2025,16:00,Ried,Tirol,2,0,H,2.16,3.32,3.7,2.12,3.4,3.5,2.07,3.3,3.33,2.18,3.45,3.7,2.1,3.3,3.4
Austria,Bundesliga,2025/2026,05/10/2025,13:30,Altach,Sturm Graz,0,2,A,3.08,3.33,2.29,3.0,3.4,2.42,2.92,3.23,2.3,3.1,3.45,2.5,2.82,3.4,2.35
Austria,Bundesliga,2025/2026,05/10/2025,13:30,LASK,Hartberg,3,3,D,1.95,3.7,3.98,1.87,3.8,4.2,1.8,3.65,3.96,1.86,3.95,4.7,1.76,3.8,4.2
Austria,Bundesliga,2025/2026,05/10/2025,16:00,Salzburg,SK Rapid,2,1,H,1.96,4.02,3.61,2.08,4.0,3.4,1.99,3.67,3.23,2.12,3.9,3.5,2.01,4.0,3.1
Austria,Bundesliga,2025/2026,18/10/2025,16:00,Grazer AK,Hartberg,0,0,D,3.25,3.16,2.45,3.1,3.3,2.55,2.85,3.14,2.42,2.96,3.3,2.64,2.75,3.05,2.55
Austria,Bundesliga,2025/2026,18/10/2025,16:00,Tirol,Austria Vienna,2,3,A,3.76,3.41,2.11,4.0,3.5,2.1,3.55,3.3,2.0,3.8,3.5,2.12,3.5,3.25,2.05
Austria,Bundesliga,2025/2026,18/10/2025,16:00,Wolfsberger AC,Ried,1,2,A,2.06,3.34,4.0,2.05,3.4,3.75,2.0,3.26,3.64,2.06,3.4,4.2,2.05,3.3,3.5
Austria,Bundesliga,2025/2026,19/10/2025,13:30,BW Linz,Sturm Graz,3,4,A,4.44,3.64,1.87,4.33,3.7,1.85,4.08,3.55,1.8,4.6,3.75,1.89,4.33,3.5,1.79
Austria,Bundesliga,2025/2026,19/10/2025,13:30,Salzburg,Altach,2,2,D,1.71,4.29,4.57,1.7,4.2,4.8,1.65,3.9,4.48,1.73,4.2,5.1,1.62,4.2,4.33
Austria,Bundesliga,2025/2026,25/10/2025,16:00,Altach,Hartberg,2,2,D,2.09,3.2,3.85,2.2,3.25,3.9,2.07,3.12,3.61,2.26,3.15,3.9,2.1,3.2,3.5
Austria,Bundesliga,2025/2026,25/10/2025,16:00,LASK,Grazer AK,1,0,H,1.6,4.18,5.19,1.62,4.0,6.0,1.6,3.78,5.2,1.67,4.0,6.0,1.56,3.7,6.0
Austria,Bundesliga,2025/2026,25/10/2025,16:00,Tirol,BW Linz,2,0,H,2.66,3.24,2.74,3.14,3.3,2.38,2.95,3.19,2.33,3.25,3.3,2.44,2.85,3.25,2.35
Austria,Bundesliga,2025/2026,26/10/2025,13:30,Ried,SK Rapid,0,2,A,3.41,3.4,2.16,2.85,3.4,2.57,2.71,3.27,2.45,2.92,3.45,2.66,2.65,3.2,2.57
