Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HS,AS,HST,AST
28/07/2023,19:30,Hamburg,Schalke 04,1,2,5,3,2.35,3.64,2.76,1.51,2.5,31,11,14,6
29/07/2023,12:00,Hannover,Elversberg,1,2,2,2,2.09,3.69,3.17,1.64,2.23,10,23,4,9
29/07/2023,12:00,Kaiserslautern,St Pauli,0,0,1,2,3.05,3.46,2.23,1.78,2.01,10,14,3,5
29/07/2023,12:00,Osnabruck,Karlsruhe,1,2,2,3,2.79,3.6,2.32,1.6,2.28,18,14,7,8
29/07/2023,12:00,Wehen,Magdeburg,0,1,1,1,2.82,3.62,2.3,1.63,2.24,9,11,1,3
29/07/2023,19:30,Fortuna Dusseldorf,Hertha,0,0,1,0,2.3,3.5,2.89,1.7,2.12,9,12,2,4
30/07/2023,12:30,Braunschweig,Holstein Kiel,0,0,0,1,2.56,3.61,2.51,1.54,2.41,9,15,2,4
30/07/2023,12:30,Greuther Furth,Paderborn,3,0,5,0,2.4,3.54,2.73,1.62,2.26,24,7,11,0
30/07/2023,12:30,Hansa Rostock,Nurnberg,1,0,2,0,2.49,3.2,2.85,2.08,1.73,14,18,4,7
04/08/2023,17:30,Hertha,Wehen,0,0,0,1,1.55,4.22,5.51,1.67,2.17,21,12,8,5
04/08/2023,17:30,Paderborn,Osnabruck,0,0,1,1,1.59,4.17,5.08,1.5,2.51,15,15,5,5
05/08/2023,12:00,Elversberg,Hansa Rostock,0,0,1,2,2.12,3.58,3.18,1.71,2.11,13,17,4,5
05/08/2023,12:00,Holstein Kiel,Greuther Furth,0,0,2,1,2.39,3.65,2.67,1.57,2.35,9,15,4,2
05/08/2023,12:00,St Pauli,Fortuna Dusseldorf,0,0,0,0,1.9,3.65,3.75,1.68,2.15,13,10,5,3
05/08/2023,19:30,Schalke 04,Kaiserslautern,1,0,3,0,1.65,3.99,4.74,1.62,2.25,16,10,8,4
06/08/2023,12:30,Karlsruhe,Hamburg,1,0,2,2,2.83,3.88,2.19,1.4,2.86,17,13,4,7
06/08/2023,12:30,Magdeburg,Braunschweig,2,0,2,1,1.77,3.92,4.09,1.54,2.4,14,9,5,4
06/08/2023,12:30,Nurnberg,Hannover,0,2,2,2,2.31,3.5,2.87,1.73,2.07,8,19,3,6
18/08/2023,17:30,Kaiserslautern,Elversberg,1,0,3,2,2.24,3.55,2.98,1.66,2.18,20,21,8,9
18/08/2023,17:30,Wehen,Karlsruhe,1,0,1,0,2.95,3.66,2.22,1.56,2.37,11,15,4,7
19/08/2023,12:00,Fortuna Dusseldorf,Paderborn,0,1,1,2,2.1,3.71,3.14,1.59,2.32,26,10,6,6
19/08/2023,12:00,Greuther Furth,St Pauli,0,0,0,0,2.55,3.44,2.61,1.75,2.04,16,6,2,1
19/08/2023,12:00,Hansa Rostock,Hannover,0,1,1,2,2.53,3.45,2.62,1.77,2.01,10,8,2,2
19/08/2023,19:30,Hamburg,Hertha,2,0,3,0,1.88,3.93,3.6,1.49,2.55,27,11,7,2
20/08/2023,12:30,Braunschweig,Schalke 04,1,0,1,0,3.48,3.67,1.98,1.7,2.11,17,11,6,3
20/08/2023,12:30,Holstein Kiel,Magdeburg,1,2,2,4,2.37,3.63,2.71,1.52,2.46,17,18,8,10
20/08/2023,12:30,Osnabruck,Nurnberg,0,1,2,3,2.47,3.42,2.71,1.78,2.0,15,20,3,7
25/08/2023,17:30,Paderborn,Kaiserslautern,0,0,1,2,2.15,3.68,3.11,1.65,2.22,15,12,5,3
25/08/2023,17:30,Schalke 04,Holstein Kiel,0,1,0,2,1.91,4.02,3.47,1.42,2.79,13,14,4,5
26/08/2023,12:00,Elversberg,Fortuna Dusseldorf,0,3,0,5,2.73,3.7,2.35,1.57,2.38,13,15,4,8
26/08/2023,12:00,Hansa Rostock,Osnabruck,1,1,2,1,2.08,3.6,3.3,1.75,2.06,12,13,5,3
26/08/2023,12:00,Hertha,Greuther Furth,2,0,5,0,2.43,3.56,2.69,1.68,2.16,14,17,7,6
26/08/2023,19:30,Hannover,Hamburg,0,0,0,1,3.23,3.96,2.0,1.44,2.72,19,11,5,4
27/08/2023,12:30,Karlsruhe,Braunschweig,1,0,2,0,1.73,4.06,4.24,1.59,2.33,22,9,9,0
27/08/2023,12:30,Nurnberg,Wehen,0,0,2,1,2.02,3.6,3.44,1.76,2.04,13,15,4,2
27/08/2023,12:30,St Pauli,Magdeburg,0,0,0,0,1.9,3.81,3.66,1.63,2.22,26,5,12,2
01/09/2023,17:30,Braunschweig,St Pauli,0,0,1,1,3.89,3.65,1.88,1.81,1.98,9,19,1,5
01/09/2023,17:30,Fortuna Dusseldorf,Karlsruhe,1,1,3,1,2.18,3.68,3.02,1.62,2.26,19,10,5,8
02/09/2023,12:00,Holstein Kiel,Paderborn,1,1,2,1,2.28,3.93,2.71,1.46,2.63,19,13,6,2
