Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HS,AS,HST,AST
12/08/2022,19:45,Parma,Bari,2,2,2,2,1.87,3.4,4.22,2.04,1.77,10,9,6,5
13/08/2022,19:45,Cittadella,Pisa,1,1,4,3,2.41,3.14,3.01,2.19,1.66,15,16,5,8
13/08/2022,19:45,Como,Cagliari,1,0,1,1,3.59,3.23,2.09,2.14,1.69,9,12,3,2
13/08/2022,19:45,Palermo,Perugia,1,0,2,0,2.25,3.18,3.26,2.18,1.66,12,8,3,0
14/08/2022,19:45,Ascoli,Ternana,2,0,2,1,2.09,3.3,3.5,1.9,1.87,9,10,5,3
14/08/2022,19:45,Benevento,Cosenza,0,0,0,1,1.49,4.04,6.82,1.9,1.88,18,7,1,2
14/08/2022,19:45,Brescia,Sudtirol,1,0,2,0,1.53,3.98,6.18,1.85,1.93,8,20,4,4
14/08/2022,19:45,Modena,Frosinone,0,1,0,1,2.82,3.05,2.6,2.18,1.66,13,17,4,5
14/08/2022,19:45,Spal,Reggina,0,1,1,3,1.79,3.4,4.64,2.03,1.77,13,12,5,7
14/08/2022,19:45,Venezia,Genoa,0,1,1,2,3.38,3.24,2.17,2.12,1.7,10,15,6,6
19/08/2022,19:45,Bari,Palermo,0,1,1,1,2.32,3.11,3.2,2.14,1.69,18,8,5,4
20/08/2022,19:45,Ascoli,Spal,1,1,1,1,2.03,3.36,3.62,1.93,1.85,15,12,2,6
20/08/2022,19:45,Genoa,Benevento,0,0,0,0,1.84,3.5,4.25,1.93,1.85,13,7,5,1
20/08/2022,19:45,Perugia,Parma,0,0,0,0,2.8,3.17,2.56,2.12,1.7,8,19,2,4
21/08/2022,19:45,Cagliari,Cittadella,0,1,2,1,1.92,3.39,4.0,2.08,1.73,17,12,8,3
21/08/2022,19:45,Cosenza,Modena,0,1,2,1,2.56,3.07,2.87,2.17,1.67,9,13,3,4
21/08/2022,19:45,Frosinone,Brescia,1,0,3,0,2.6,3.11,2.78,2.02,1.77,14,7,5,2
21/08/2022,19:45,Pisa,Como,1,1,2,2,1.77,3.67,4.39,1.79,2.0,13,8,5,4
21/08/2022,19:45,Sudtirol,Venezia,0,0,1,2,2.85,3.1,2.54,2.19,1.65,5,18,1,6
21/08/2022,19:45,Ternana,Reggina,1,0,1,0,2.01,3.38,3.65,1.88,1.9,11,13,4,2
27/08/2022,19:45,Modena,Ternana,2,0,4,1,2.22,3.28,3.23,2.01,1.79,15,5,5,3
27/08/2022,19:45,Palermo,Ascoli,1,2,2,3,2.34,3.2,3.08,1.97,1.81,11,9,7,5
27/08/2022,19:45,Spal,Cagliari,1,0,1,0,2.8,3.26,2.49,1.97,1.81,9,12,3,2
