Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HS,AS,HST,AST
10/08/2018,,Zwolle,Heerenveen,1,3,2,3,2.44,3.51,2.71,1.64,2.22,18,7,4,3
11/08/2018,,Ajax,Heracles,0,0,1,1,1.13,8.37,18.32,1.28,3.55,17,11,7,2
11/08/2018,,Excelsior,For Sittard,1,0,1,1,2.09,3.53,3.28,1.67,2.14,13,18,3,6
11/08/2018,,PSV Eindhoven,Utrecht,1,0,4,0,1.41,4.76,6.82,1.5,2.52,14,6,10,2
11/08/2018,,Willem II,VVV Venlo,0,1,0,1,2.29,3.39,3.01,1.88,1.9,15,7,6,1
12/08/2018,,AZ Alkmaar,NAC Breda,3,0,5,0,1.37,4.94,7.49,1.48,2.57,29,5,12,4
12/08/2018,,Den Haag,FC Emmen,0,2,1,2,1.81,3.82,3.99,1.62,2.25,14,10,5,5
12/08/2018,,Graafschap,Feyenoord,1,0,2,0,4.68,4.15,1.63,1.51,2.5,9,14,5,6
12/08/2018,,Vitesse,Groningen,2,1,5,1,1.6,4.05,5.14,1.63,2.22,14,11,8,6
17/08/2018,,Groningen,Willem II,0,1,0,1,1.81,3.73,4.12,1.7,2.13,15,7,4,2
18/08/2018,,Heracles,Den Haag,3,2,4,2,1.99,3.65,3.47,1.59,2.29,17,19,7,7
18/08/2018,,NAC Breda,Graafschap,1,0,3,0,2.22,3.44,3.07,1.71,2.11,7,7,3,2
18/08/2018,,For Sittard,PSV Eindhoven,0,1,1,2,8.78,5.31,1.31,1.5,2.52,10,17,6,8
18/08/2018,,VVV Venlo,Ajax,0,0,0,1,8.97,5.37,1.3,1.49,2.52,9,18,1,9
19/08/2018,,FC Emmen,AZ Alkmaar,1,3,1,4,4.86,4.02,1.63,1.56,2.36,14,16,7,8
19/08/2018,,Feyenoord,Excelsior,1,0,3,0,1.26,5.64,10.35,1.48,2.56,23,9,6,2
19/08/2018,,Heerenveen,Vitesse,1,0,1,1,2.17,3.48,3.13,1.64,2.2,7,20,3,4
19/08/2018,,Utrecht,Zwolle,2,0,2,0,1.64,4.0,4.81,1.63,2.21,7,17,2,4
24/08/2018,,Den Haag,For Sittard,2,0,3,1,1.87,3.67,3.91,1.67,2.18,12,14,6,3
25/08/2018,,Ajax,FC Emmen,2,0,5,0,1.11,9.3,20.34,1.27,3.58,22,6,10,2
25/08/2018,,Graafschap,Groningen,0,1,0,1,2.76,3.47,2.41,1.68,2.14,10,12,4,3
25/08/2018,,NAC Breda,Excelsior,0,1,0,2,1.99,3.55,3.5,1.74,2.06,12,10,3,3
25/08/2018,,Zwolle,PSV Eindhoven,0,1,1,2,5.72,4.59,1.49,1.48,2.55,18,15,5,6
26/08/2018,,AZ Alkmaar,Vitesse,0,0,0,0,1.68,4.2,4.29,1.43,2.71,18,13,3,3
26/08/2018,,Heerenveen,Feyenoord,0,3,3,5,4.1,4.05,1.74,1.59,2.28,13,13,5,6
26/08/2018,,Utrecht,VVV Venlo,1,0,1,1,1.53,4.28,5.59,1.58,2.31,21,11,4,2
26/08/2018,,Willem II,Heracles,3,0,5,0,2.21,3.54,3.0,1.59,2.28,13,6,7,3
31/08/2018,,FC Emmen,Graafschap,0,0,1,1,2.18,3.58,3.1,1.66,2.2,26,13,11,6
01/09/2018,,Excelsior,Den Haag,0,2,2,4,2.39,3.42,2.84,1.7,2.11,13,16,4,7
01/09/2018,,For Sittard,Utrecht,0,0,1,1,3.67,3.65,1.93,1.64,2.2,9,14,2,5
01/09/2018,,PSV Eindhoven,Willem II,4,0,6,1,1.19,6.72,12.91,1.38,2.92,16,6,10,2
01/09/2018,,VVV Venlo,Heerenveen,0,1,1,1,2.76,3.38,2.45,1.81,1.98,19,8,4,4
02/09/2018,,Feyenoord,NAC Breda,1,1,4,2,1.16,7.38,15.47,1.42,2.76,20,7,8,4
02/09/2018,,Groningen,Zwolle,0,0,0,1,2.08,3.54,3.29,1.64,2.19,14,9,2,6
02/09/2018,,Heracles,AZ Alkmaar,1,1,3,2,4.7,4.34,1.61,1.37,2.98,23,17,14,8
02/09/2018,,Vitesse,Ajax,0,3,0,4,4.93,4.13,1.61,1.56,2.35,21,16,7,8
15/09/2018,,Ajax,Groningen,1,0,3,0,1.14,8.02,17.08,1.32,3.27,17,7,5,2
15/09/2018,,Den Haag,PSV Eindhoven,0,2,0,7,6.04,4.78,1.45,1.441,2.8,5,27,2,10
15/09/2018,,Graafschap,VVV Venlo,0,2,1,2,2.43,3.37,2.82,1.81,1.98,14,12,2,6
15/09/2018,,Willem II,Excelsior,0,1,2,2,1.85,3.64,4.09,1.75,2.06,21,16,6,4
16/09/2018,,AZ Alkmaar,Feyenoord,1,1,1,1,2.65,3.65,2.41,1.48,2.57,11,9,3,3
16/09/2018,,Heerenveen,Heracles,1,1,3,5,1.77,3.88,4.2,1.53,2.45,11,10,6,7
16/09/2018,,NAC Breda,For Sittard,1,1,2,3,2.12,3.54,3.24,1.64,2.21,14,12,4,4
