Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HS,AS,HST,AST
18/09/2020,19:00,Famalicao,Benfica,0,3,1,5,7.55,4.72,1.39,1.69,2.16,6,13,2,7
18/09/2020,21:15,Guimaraes,Belenenses,0,0,0,1,1.48,4.2,6.74,1.81,2.0,11,4,2,3
19/09/2020,16:00,Nacional,Boavista,2,2,3,3,2.55,3.01,2.94,2.54,1.5,14,8,7,3
19/09/2020,21:00,Porto,Sp Braga,2,1,3,1,1.62,3.92,5.24,1.76,2.06,11,7,4,1
20/09/2020,16:00,Santa Clara,Maritimo,0,0,2,0,2.21,3.06,3.5,2.26,1.62,12,12,5,2
20/09/2020,18:30,Moreirense,Farense,1,0,2,0,2.23,3.12,3.36,2.36,1.57,13,10,5,2
20/09/2020,21:00,Tondela,Rio Ave,1,0,1,1,3.75,3.19,2.06,2.32,1.59,7,14,2,4
21/09/2020,19:45,Portimonense,Pacos Ferreira,0,1,1,1,2.21,3.16,3.35,2.28,1.6,12,16,3,5
25/09/2020,20:30,Sp Braga,Santa Clara,0,1,0,1,1.44,4.26,7.41,1.81,2.0,22,6,4,1
26/09/2020,15:30,Maritimo,Tondela,2,1,2,1,2.24,3.11,3.35,2.38,1.56,8,21,6,6
26/09/2020,18:30,Benfica,Moreirense,1,0,2,0,1.14,7.72,17.23,1.41,2.83,29,5,10,1
26/09/2020,21:00,Boavista,Porto,0,0,0,5,7.25,4.38,1.43,1.82,1.98,11,15,4,6
27/09/2020,15:30,Farense,Nacional,0,0,0,1,2.16,3.25,3.35,2.21,1.64,18,9,4,4
27/09/2020,16:00,Gil Vicente,Portimonense,0,0,1,0,2.66,3.04,2.75,2.39,1.56,9,13,3,2
27/09/2020,18:30,Pacos Ferreira,Sp Lisbon,0,1,0,2,3.57,3.15,2.13,2.11,1.71,9,11,0,5
27/09/2020,21:00,Rio Ave,Guimaraes,0,0,0,0,2.81,3.2,2.52,2.14,1.68,7,10,3,3
28/09/2020,19:45,Belenenses,Famalicao,1,0,1,2,2.49,3.09,2.91,2.1,1.71,10,6,5,2
02/10/2020,19:00,Moreirense,Boavista,0,1,1,1,2.46,3.08,3.03,2.28,1.62,14,16,6,5
02/10/2020,21:15,Guimaraes,Pacos Ferreira,0,0,1,0,1.74,3.43,5.14,2.34,1.59,8,16,1,7
