Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HS,AS,HST,AST
05/08/2023,12:30,Celtic,Ross County,3,0,4,2,1.11,9.64,19.29,1.27,3.6,18,7,12,2
05/08/2023,15:00,Dundee,Motherwell,0,1,1,1,2.57,3.3,2.72,1.97,1.82,17,13,2,3
05/08/2023,15:00,Livingston,Aberdeen,0,0,0,0,2.87,3.26,2.47,2.03,1.77,12,11,2,0
05/08/2023,15:00,St Johnstone,Hearts,0,0,0,2,3.13,3.5,2.2,1.82,1.97,9,16,3,9
05/08/2023,17:15,Kilmarnock,Rangers,0,0,1,0,6.81,4.85,1.41,1.53,2.44,10,18,3,4
06/08/2023,15:00,Hibernian,St Mirren,0,2,2,3,1.89,3.52,3.98,1.94,1.84,14,8,7,4
12/08/2023,15:00,Rangers,Livingston,1,0,4,0,1.28,5.75,9.66,1.49,2.55,21,6,9,2
12/08/2023,15:00,Ross County,St Johnstone,1,0,2,0,2.12,3.23,3.61,2.23,1.63,19,12,8,3
12/08/2023,15:00,St Mirren,Dundee,2,0,2,1,2.07,3.37,3.58,2.06,1.74,15,7,2,4
13/08/2023,12:00,Aberdeen,Celtic,1,2,1,3,7.89,5.39,1.34,1.44,2.7,11,15,2,10
13/08/2023,15:00,Hearts,Kilmarnock,0,0,0,0,1.85,3.61,4.11,1.85,1.93,8,15,1,5
13/08/2023,15:00,Motherwell,Hibernian,0,0,2,1,2.56,3.32,2.71,2.0,1.78,10,4,3,1
26/08/2023,12:30,Ross County,Rangers,0,2,0,2,8.36,5.24,1.34,1.59,2.34,8,24,2,9
26/08/2023,15:00,Celtic,St Johnstone,0,0,0,0,1.04,14.52,35.46,1.28,3.58,19,5,5,2
26/08/2023,15:00,Hibernian,Livingston,0,1,2,3,1.81,3.68,4.26,1.93,1.85,13,8,3,4
26/08/2023,15:00,Motherwell,Kilmarnock,0,1,2,1,2.42,3.24,2.98,2.11,1.72,13,12,7,3
27/08/2023,15:00,Dundee,Hearts,0,0,1,0,2.89,3.42,2.37,1.91,1.88,12,10,4,5
27/08/2023,15:00,St Mirren,Aberdeen,0,1,2,2,2.3,3.28,3.11,2.03,1.77,13,4,6,2
02/09/2023,15:00,Kilmarnock,Ross County,0,0,0,1,1.86,3.54,4.13,2.02,1.78,15,9,4,4
02/09/2023,15:00,Livingston,St Mirren,0,0,1,1,2.83,3.06,2.63,2.34,1.58,13,8,2,4
02/09/2023,15:00,St Johnstone,Dundee,0,1,2,2,2.66,3.23,2.67,2.13,1.69,8,12,3,4
03/09/2023,12:00,Rangers,Celtic,0,1,0,1,2.38,3.61,2.74,1.59,2.32,17,7,3,5
03/09/2023,15:00,Aberdeen,Hibernian,0,0,0,2,2.27,3.36,3.1,1.94,1.85,10,15,3,7
03/09/2023,15:00,Hearts,Motherwell,0,1,0,1,2.0,3.53,3.59,1.86,1.92,18,8,1,4
16/09/2023,12:30,St Johnstone,Rangers,0,1,0,2,11.47,6.11,1.23,1.53,2.44,3,20,0,6
16/09/2023,15:00,Celtic,Dundee,0,0,3,0,1.12,9.16,18.29,1.34,3.16,19,4,7,1
16/09/2023,15:00,Hearts,Aberdeen,1,0,2,0,2.1,3.53,3.32,1.76,2.05,12,11,4,5
16/09/2023,15:00,Kilmarnock,Hibernian,0,1,2,2,2.54,3.29,2.75,2.0,1.79,16,11,5,4
16/09/2023,15:00,Motherwell,St Mirren,0,0,0,1,2.3,3.18,3.21,2.29,1.6,20,9,7,3
16/09/2023,15:00,Ross County,Livingston,0,0,1,1,2.39,3.27,2.97,2.04,1.76,16,5,5,2
23/09/2023,12:30,Livingston,Celtic,0,1,0,3,10.28,5.96,1.26,1.51,2.5,15,14,4,7
23/09/2023,15:00,Dundee,Kilmarnock,1,1,2,2,2.51,3.24,2.84,2.11,1.71,10,23,3,3
23/09/2023,15:00,Hibernian,St Johnstone,1,0,2,0,1.59,4.03,5.48,1.88,1.9,17,12,8,1
23/09/2023,15:00,St Mirren,Hearts,1,0,1,0,2.62,3.19,2.74,2.11,1.71,13,11,5,3
24/09/2023,15:00,Aberdeen,Ross County,2,0,4,0,1.95,3.48,3.83,1.91,1.87,13,11,6,2
24/09/2023,15:00,Rangers,Motherwell,1,0,1,0,1.23,6.2,11.6,1.55,2.41,17,9,7,4
30/09/2023,12:30,Motherwell,Celtic,0,0,1,2,9.69,5.54,1.29,1.58,2.34,10,24,4,6
30/09/2023,15:00,Hibernian,Dundee,0,0,0,0,1.75,3.88,4.3,1.72,2.08,23,11,9,2
30/09/2023,15:00,Kilmarnock,St Mirren,1,1,1,1,2.36,3.26,3.04,2.19,1.66,12,8,2,3
30/09/2023,15:00,Rangers,Aberdeen,0,1,1,3,1.26,5.86,10.26,1.47,2.61,18,14,5,6
30/09/2023,15:00,Ross County,Hearts,0,0,0,1,3.16,3.5,2.19,1.78,2.01,9,17,1,3
