Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HS,AS,HST,AST
12/08/2022,20:00,Levante,Huesca,0,0,0,0,1.58,3.85,5.76,1.95,1.85,16,9,2,2
13/08/2022,16:00,Eibar,Tenerife,0,0,2,1,2.08,3.03,3.92,2.53,1.5,12,6,3,1
13/08/2022,18:00,Mirandes,Sp Gijon,1,1,1,1,2.62,3.2,2.69,2.11,1.71,15,8,2,4
13/08/2022,20:00,Leganes,Alaves,0,1,1,2,2.66,3.08,2.74,2.34,1.58,15,9,2,3
13/08/2022,22:00,Las Palmas,Zaragoza,0,0,0,0,1.96,3.3,3.99,2.26,1.62,12,8,5,3
14/08/2022,16:30,Santander,Villarreal B,0,0,0,2,2.14,3.09,3.63,2.49,1.52,8,10,5,5
14/08/2022,18:30,Ibiza,Granada,0,0,0,2,3.04,3.14,2.38,2.08,1.73,11,10,0,3
14/08/2022,21:00,Burgos,Malaga,0,0,1,0,2.51,2.93,3.05,2.61,1.47,8,11,1,3
15/08/2022,16:30,Oviedo,Andorra,0,0,0,1,1.68,3.51,5.37,2.19,1.66,10,7,3,4
15/08/2022,18:30,Lugo,Albacete,1,1,1,2,2.21,3.06,3.45,2.35,1.57,7,19,3,5
15/08/2022,21:00,Cartagena,Ponferradina,1,1,2,3,2.18,3.19,3.37,2.29,1.6,20,6,3,4
19/08/2022,19:00,Villarreal B,Eibar,2,1,2,2,2.98,3.06,2.49,2.25,1.63,13,14,5,3
19/08/2022,21:00,Alaves,Mirandes,1,0,1,0,1.67,3.64,5.18,1.96,1.83,15,12,5,1
20/08/2022,16:30,Sp Gijon,Andorra,1,0,4,1,1.74,3.46,4.96,2.26,1.62,13,7,6,2
20/08/2022,18:30,Albacete,Burgos,0,0,0,0,2.17,3.05,3.61,2.51,1.51,13,8,2,0
20/08/2022,18:30,Zaragoza,Levante,0,0,0,0,2.94,3.13,2.46,2.24,1.63,11,7,6,1
20/08/2022,21:00,Granada,Santander,0,0,2,0,1.53,3.98,6.2,1.95,1.84,10,5,3,1
21/08/2022,16:30,Oviedo,Leganes,0,0,1,0,2.04,3.03,4.07,2.71,1.44,11,5,5,0
21/08/2022,18:30,Huesca,Cartagena,1,1,2,3,2.04,3.22,3.75,2.23,1.64,8,9,1,4
21/08/2022,21:00,Tenerife,Lugo,1,0,1,1,1.61,3.53,6.17,2.38,1.56,23,7,8,2
22/08/2022,19:00,Ponferradina,Ibiza,1,1,2,1,2.09,3.21,3.58,2.23,1.63,21,8,7,3
22/08/2022,21:00,Malaga,Las Palmas,0,1,0,4,2.65,2.96,2.82,2.38,1.56,10,17,5,7
26/08/2022,19:00,Albacete,Huesca,1,0,2,1,2.47,3.05,3.0,2.33,1.59,14,11,7,3
26/08/2022,21:00,Cartagena,Zaragoza,0,0,1,0,2.52,3.05,2.91,2.29,1.61,7,12,3,4
27/08/2022,16:30,Sp Gijon,Burgos,0,0,0,0,1.82,3.33,4.63,2.37,1.57,18,7,2,1
27/08/2022,18:30,Lugo,Leganes,1,0,1,0,2.98,2.92,2.58,2.55,1.49,10,21,3,7
27/08/2022,18:30,Mirandes,Malaga,0,1,1,3,2.35,3.13,3.12,2.21,1.64,17,17,3,6
27/08/2022,21:00,Levante,Tenerife,1,0,2,0,1.88,3.32,4.28,2.2,1.65,9,7,6,1
28/08/2022,16:30,Santander,Oviedo,0,0,0,1,2.89,2.95,2.61,2.52,1.51,10,10,1,4
28/08/2022,18:30,Eibar,Ponferradina,1,0,1,0,1.66,3.69,5.2,2.0,1.79,12,9,5,1
28/08/2022,21:00,Ibiza,Alaves,1,0,1,1,3.06,3.16,2.35,2.21,1.64,16,11,2,3
29/08/2022,19:00,Granada,Villarreal B,2,0,3,0,1.61,3.74,5.56,2.03,1.76,6,6,4,0
29/08/2022,21:00,Las Palmas,Andorra,1,0,2,0,1.7,3.55,5.02,2.1,1.71,8,7,5,3
02/09/2022,20:00,Leganes,Eibar,1,0,2,1,2.52,2.92,3.07,2.61,1.48,10,12,6,3
03/09/2022,13:00,Alaves,Las Palmas,1,0,1,1,2.21,3.16,3.36,2.13,1.7,7,6,3,1
03/09/2022,15:15,Villarreal B,Mirandes,1,0,3,0,2.14,3.38,3.31,1.88,1.9,17,8,6,1
03/09/2022,17:30,Ponferradina,Sp Gijon,0,2,1,3,2.67,3.2,2.64,2.11,1.71,13,8,5,4
03/09/2022,20:00,Tenerife,Santander,0,0,1,0,1.74,3.46,4.96,2.32,1.59,11,10,4,2
04/09/2022,13:00,Andorra,Granada,1,0,1,0,3.34,3.15,2.23,2.17,1.67,6,17,2,3
04/09/2022,15:15,Malaga,Albacete,1,2,1,2,2.06,3.17,3.76,2.28,1.61,18,8,7,6
04/09/2022,17:30,Burgos,Cartagena,1,0,1,0,2.56,3.09,2.82,2.21,1.64,11,17,3,4
04/09/2022,17:30,Huesca,Ibiza,1,0,3,0,1.99,3.33,3.77,2.12,1.7,12,6,4,1
04/09/2022,20:00,Zaragoza,Lugo,1,0,1,2,1.78,3.34,4.85,2.34,1.58,12,11,4,2
05/09/2022,20:00,Oviedo,Levante,1,0,1,1,2.73,2.94,2.75,2.48,1.52,14,7,5,1
09/09/2022,20:00,Las Palmas,Leganes,1,0,1,0,1.95,3.23,4.14,2.32,1.59,7,3,3,1
10/09/2022,13:00,Lugo,Alaves,1,0,1,2,3.32,3.07,2.27,2.29,1.6,14,20,3,7
10/09/2022,15:15,Burgos,Oviedo,0,0,0,0,2.84,2.84,2.77,2.73,1.43,16,7,6,2
10/09/2022,17:30,Cartagena,Albacete,0,0,2,1,2.17,3.16,3.46,2.22,1.63,12,11,8,4
10/09/2022,20:00,Levante,Villarreal B,1,0,4,1,1.58,3.91,5.59,1.87,1.91,13,13,6,3
11/09/2022,13:00,Sp Gijon,Santander,0,1,0,2,1.56,3.72,6.26,2.26,1.61,15,12,6,5
