Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HS,AS,HST,AST
13/08/2021,18:30,Besiktas,Rizespor,1,0,3,0,1.53,4.36,5.72,1.54,2.44,19,3,6,0
14/08/2021,17:15,Karagumruk,Gaziantep,2,1,3,2,2.11,3.37,3.48,1.84,1.97,11,11,5,4
14/08/2021,19:45,Altay,Kayserispor,2,0,3,0,2.63,3.3,2.63,1.97,1.83,15,8,7,3
14/08/2021,19:45,Hatayspor,Kasimpasa,0,1,1,1,2.1,3.5,3.35,1.84,1.97,10,11,2,4
15/08/2021,17:15,Buyuksehyr,Alanyaspor,0,1,0,1,2.51,3.31,2.77,1.98,1.83,17,8,5,4
15/08/2021,19:45,Ad. Demirspor,Fenerbahce,0,0,0,1,4.37,3.91,1.73,1.65,2.24,20,14,7,4
15/08/2021,19:45,Antalyaspor,Goztep,1,0,1,1,2.38,3.31,2.94,2.01,1.81,4,12,2,4
16/08/2021,17:15,Sivasspor,Konyaspor,0,0,0,1,2.02,3.3,3.79,2.26,1.64,14,14,3,5
16/08/2021,17:15,Yeni Malatyaspor,Trabzonspor,1,4,1,5,3.85,3.49,1.94,1.91,1.89,16,14,3,8
16/08/2021,19:45,Giresunspor,Galatasaray,0,2,0,2,5.38,4.1,1.58,1.66,2.2,7,10,1,6
20/08/2021,18:30,Kayserispor,Ad. Demirspor,1,0,1,1,3.12,3.3,2.3,1.88,1.93,12,12,3,6
21/08/2021,17:15,Kasimpasa,Giresunspor,1,0,2,0,2.05,3.38,3.58,1.85,1.96,9,15,3,1
21/08/2021,17:15,Rizespor,Karagumruk,0,0,0,0,2.61,3.25,2.68,1.81,2.01,7,10,1,4
21/08/2021,19:45,Alanyaspor,Altay,0,2,1,4,2.11,3.23,3.58,1.92,1.89,10,23,2,7
21/08/2021,19:45,Gaziantep,Besiktas,0,0,0,0,4.07,3.71,1.83,1.66,2.22,10,7,1,3
22/08/2021,17:15,Konyaspor,Buyuksehyr,0,1,2,1,2.58,3.01,2.9,2.14,1.71,15,13,6,4
22/08/2021,19:45,Fenerbahce,Antalyaspor,0,0,2,0,1.51,4.27,5.88,1.66,2.22,21,11,7,4
22/08/2021,19:45,Goztep,Yeni Malatyaspor,0,0,0,1,2.16,3.25,3.41,1.93,1.87,10,11,3,2
23/08/2021,17:15,Trabzonspor,Sivasspor,1,0,2,1,1.86,3.53,4.08,2.01,1.8,14,17,6,4
23/08/2021,19:45,Galatasaray,Hatayspor,1,1,2,1,1.46,4.54,6.23,1.65,2.23,14,6,4,4
27/08/2021,18:30,Antalyaspor,Rizespor,1,0,3,2,1.93,3.52,3.92,2.03,1.79,11,12,5,6
27/08/2021,19:45,Ad. Demirspor,Konyaspor,0,0,1,1,2.11,3.37,3.49,2.01,1.8,14,9,3,2
28/08/2021,17:15,Buyuksehyr,Kayserispor,0,1,0,1,1.78,3.61,4.5,1.97,1.84,14,5,2,3
28/08/2021,17:15,Yeni Malatyaspor,Gaziantep,1,0,2,0,2.32,3.57,2.86,1.83,1.98,9,20,3,4
28/08/2021,19:45,Besiktas,Karagumruk,1,0,1,0,1.57,4.26,5.35,1.59,2.35,18,10,7,1
28/08/2021,19:45,Hatayspor,Alanyaspor,3,0,5,0,2.29,3.51,2.96,1.74,2.09,16,8,8,1
29/08/2021,17:15,Kasimpasa,Galatasaray,1,2,2,2,4.4,3.86,1.74,1.63,2.27,17,13,5,6
29/08/2021,17:15,Sivasspor,Goztep,1,0,2,2,2.09,3.36,3.54,2.0,1.81,11,8,3,5
29/08/2021,19:45,Altay,Fenerbahce,0,0,0,2,3.17,3.47,2.19,1.77,2.06,9,9,0,5
29/08/2021,19:45,Giresunspor,Trabzonspor,0,1,0,1,4.73,3.91,1.69,1.82,1.99,10,13,3,5
11/09/2021,15:00,Karagumruk,Ad. Demirspor,2,0,4,0,2.19,3.47,3.16,1.88,1.92,16,11,8,2
11/09/2021,15:00,Konyaspor,Altay,2,0,3,1,2.38,3.3,2.97,2.04,1.78,14,15,5,7
11/09/2021,18:00,Besiktas,Yeni Malatyaspor,2,0,3,0,1.35,4.98,8.42,1.65,2.24,16,7,9,2
11/09/2021,18:00,Kayserispor,Kasimpasa,1,0,2,0,2.66,3.23,2.66,2.01,1.81,8,6,4,1
12/09/2021,15:00,Fenerbahce,Sivasspor,1,1,1,1,1.59,4.04,5.37,1.76,2.06,13,7,5,3
12/09/2021,15:00,Rizespor,Hatayspor,0,0,0,2,2.83,3.36,2.44,1.88,1.93,5,20,0,10
12/09/2021,18:00,Goztep,Buyuksehyr,0,1,2,1,2.62,3.25,2.69,2.04,1.78,10,22,5,7
12/09/2021,18:00,Trabzonspor,Galatasaray,1,2,2,2,2.37,3.42,2.89,1.79,2.03,19,15,6,6
13/09/2021,18:00,Alanyaspor,Giresunspor,1,0,1,0,2.03,3.48,3.56,1.89,1.91,9,15,2,6
13/09/2021,18:00,Gaziantep,Antalyaspor,0,0,2,0,2.31,3.37,3.01,1.93,1.88,10,15,2,2
17/09/2021,18:00,Altay,Goztep,0,1,2,1,2.25,3.34,3.2,2.02,1.8,19,10,8,7
17/09/2021,18:00,Yeni Malatyaspor,Karagumruk,3,2,3,4,2.87,3.32,2.45,1.9,1.91,8,12,4,5
18/09/2021,11:30,Sivasspor,Gaziantep,1,0,1,1,1.93,3.53,3.89,1.95,1.87,8,15,3,5
18/09/2021,14:00,Kasimpasa,Trabzonspor,0,0,0,1,3.8,3.77,1.89,1.77,2.07,15,12,3,9
18/09/2021,17:00,Ad. Demirspor,Rizespor,2,0,3,1,1.87,3.62,4.06,1.97,1.84,23,9,7,3
18/09/2021,17:00,Antalyaspor,Besiktas,2,0,2,3,4.52,3.7,1.76,1.8,2.02,11,19,5,7
19/09/2021,11:30,Giresunspor,Konyaspor,0,0,0,0,2.62,3.19,2.76,2.17,1.69,16,9,3,0
19/09/2021,14:00,Galatasaray,Alanyaspor,0,0,0,1,1.49,4.45,6.19,1.61,2.32,17,9,3,3
19/09/2021,17:00,Buyuksehyr,Fenerbahce,1,0,2,0,3.46,3.46,2.07,1.85,1.96,6,14,2,5
19/09/2021,17:00,Hatayspor,Kayserispor,0,1,2,1,1.92,3.73,3.68,1.8,2.02,21,6,5,1
21/09/2021,15:00,Karagumruk,Antalyaspor,0,0,0,0,2.09,3.38,3.49,1.87,1.94,16,12,5,5
21/09/2021,15:00,Rizespor,Altay,0,1,1,2,3.18,3.45,2.2,1.88,1.92,16,11,4,3
21/09/2021,18:00,Besiktas,Ad. Demirspor,2,0,3,3,1.41,4.91,6.82,1.53,2.47,13,12,6,4
21/09/2021,18:00,Yeni Malatyaspor,Sivasspor,0,0,0,1,2.83,3.25,2.5,2.02,1.79,9,11,3,4
22/09/2021,15:00,Gaziantep,Buyuksehyr,1,0,1,0,2.62,3.31,2.65,1.99,1.83,9,15,2,2
22/09/2021,18:00,Goztep,Hatayspor,0,1,0,2,2.56,3.31,2.72,2.02,1.8,13,17,3,5
22/09/2021,18:00,Kayserispor,Galatasaray,2,0,3,0,4.52,3.71,1.76,1.8,2.01,11,19,4,2
23/09/2021,15:00,Konyaspor,Trabzonspor,1,1,2,2,3.37,3.52,2.08,1.9,1.9,31,14,10,5
23/09/2021,18:00,Alanyaspor,Kasimpasa,0,0,2,0,1.9,3.67,3.79,1.84,1.97,14,10,3,3
23/09/2021,18:00,Fenerbahce,Giresunspor,1,0,2,1,1.39,4.65,7.88,1.69,2.16,7,8,4,2
24/09/2021,18:00,Altay,Besiktas,0,0,2,1,2.72,3.37,2.52,1.76,2.07,10,12,3,7
