date,home_team,away_team,actual_scoreline,actual_home_goals,actual_away_goals,odds_1,odds_X,odds_2,1X2_H,actual_1X2_H,1X2_D,actual_1X2_D,1X2_A,actual_1X2_A,O_0_5,actual_O_0_5,O_1_5,actual_O_1_5,MG_Casa_1_3,actual_MG_Casa_1_3,MG_Casa_1_4,actual_MG_Casa_1_4,MG_Casa_1_5,actual_MG_Casa_1_5,MG_Ospite_1_3,actual_MG_Ospite_1_3,MG_Ospite_1_4,actual_MG_Ospite_1_4,MG_Ospite_1_5,actual_MG_Ospite_1_5
2025-08-23,Milan,Cremonese,1-2,1,2,1.34,5.09,8.57,0.4877902258366172,0,0.2442573257865438,0,0.2679524483768391,1,0.9408654620034226,1,0.7731227419641028,1,0.7283211618878922,1,0.7897119543066715,1,0.8102066564477568,1,0.6586823586231151,1,0.6827964144184737,1,0.6884267019601785,1
2025-08-23,Genoa,Lecce,0-0,0,0,1.91,3.28,4.29,0.3991114948265,0,0.2797952376837183,1,0.3210932674897817,0,0.904265990644406,0,0.6793868026681155,0,0.6774572393237337,0,0.7069787829468553,0,0.7143886903962589,0,0.6404274849657279,0,0.6604329611541067,0,0.6648101593441241,0
2025-08-23,Sassuolo,Napoli,0-2,0,2,6.08,4.02,1.54,0.3105805779043546,0,0.3193832852832716,0,0.3700361368123737,1,0.8479918648242395,1,0.5614979867820697,1,0.5753677040112487,0,0.5859843240029852,0,0.587867133301156,0,0.6128787085989856,1,0.6281241676095342,1,0.6311671612280396,1
2025-08-24,Cagliari,Fiorentina,1-1,1,1,3.17,3.27,2.25,0.382682915516592,0,0.2657379112808156,1,0.3515791732025924,0,0.9243335709295114,1,0.7286757066720114,1,0.6905036816330786,1,0.7248249359276442,1,0.7339301006823441,1,0.6783051690968688,1,0.7081081048957195,1,0.7156144709922568,1
2025-08-24,Como,Lazio,2-0,2,0,2.44,3.29,2.86,0.4134940246289045,1,0.2905971373306857,0,0.2959088380404097,0,0.8870627457029099,1,0.6405207195723621,1,0.6679896601503991,1,0.6946035749044599,1,0.701038819491992,1,0.6053088567487106,0,0.6194748493660179,0,0.6222343847278695,0
2025-08-24,Atalanta,Pisa,1-1,1,1,1.38,4.86,7.63,0.4351155523446104,0,0.2639061128443091,1,0.3009783348110804,0,0.9227166174751468,1,0.7244891324001786,1,0.7056483350693464,1,0.7472750395532188,1,0.7591563416805281,1,0.6516048763534519,1,0.6740143234880488,1,0.6791138987668965,1
2025-08-24,Juventus,Parma,2-0,2,0,1.42,4.58,7.26,0.4295427100053774,1,0.2600264220184106,0,0.3104308679762117,0,0.9286440240661966,1,0.7398815200936741,1,0.7089634721813832,1,0.7525635213414108,1,0.7652336956273147,1,0.6643519759747105,0,0.6899506951781067,0,0.6960552915612293,0
2025-08-25,Udinese,Verona,1-1,1,1,1.95,3.33,3.95,0.316818907419199,0,0.2953489570145856,1,0.3878321355662154,0,0.8826738168907658,1,0.6310594367713626,1,0.6141132309254206,1,0.629542927171862,1,0.6326350382996488,1,0.652766539041858,1,0.6754453043976836,1,0.680627726263852,1
2025-08-25,Inter,Torino,5-0,5,0,1.41,4.67,7.28,0.4890582837163159,1,0.2604202203617991,0,0.2505214959218851,0,0.9178576139018316,1,0.7121344238715017,1,0.7153156351234138,0,0.7632677672443325,0,0.7777346434338483,1,0.6122585565006343,0,0.6274123599376427,0,0.6304309975822946,0
2025-08-29,Lecce,Milan,0-2,0,2,6.03,3.94,1.57,0.236340030917925,0,0.2848978984872185,0,0.4787620705948565,1,0.882750756431065,1,0.631128590292571,1,0.5540226172389867,0,0.5626659620412944,0,0.564101745089312,0,0.6886254976694146,1,0.7221870728339722,1,0.7310169466198979,1
