date,home_team,away_team,actual_home_goals,actual_away_goals,actual_scoreline,O_0_5,actual_O_0_5,O_1_5,actual_O_1_5,MG_Casa_1_3,actual_MG_Casa_1_3,MG_Casa_1_4,actual_MG_Casa_1_4,MG_Casa_1_5,actual_MG_Casa_1_5,MG_Ospite_1_3,actual_MG_Ospite_1_3,MG_Ospite_1_4,actual_MG_Ospite_1_4,MG_Ospite_1_5,actual_MG_Ospite_1_5
2025-05-25,Man United,Aston Villa,2,0,2-0,0.9256495223781817,1,0.7319813982688688,1,0.6336094890030741,1,0.6522975316318966,1,0.6562922876242337,1,0.7180982613576558,0,0.7682687240787334,0,0.7836810902266486,0
2025-08-15,Liverpool,Bournemouth,4,2,4-2,0.9524977485613796,1,0.8072494357339182,1,0.7297190882558415,0,0.7933704920405529,1,0.8149489241274157,1,0.6963731887533314,1,0.7332514016926108,1,0.7433019439923293,1
2025-08-16,Wolves,Man City,0,4,0-4,0.9145878188591828,1,0.7041523015120077,1,0.6844161870697855,0,0.7163650996326831,0,0.7246191951606976,0,0.6597414918050858,0,0.6841243915267758,1,0.6898397432215402,1
2025-08-16,Sunderland,West Ham,3,0,3-0,0.9028126448278866,1,0.6759950282843868,1,0.640908280911247,1,0.661010659808722,1,0.6654163702674523,1,0.674058233320969,0,0.7024882040305442,0,0.709527464778235,0
2025-08-16,Tottenham,Burnley,3,0,3-0,0.9624280375096016,1,0.8386033731287456,1,0.7312842221128661,1,0.7979409479027577,1,0.8209908436809022,1,0.7209190443520243,0,0.7736036587210307,0,0.7901115045566529,0
2025-08-16,Aston Villa,Newcastle,0,0,0-0,0.9318451948820258,0,0.7482635422560687,0,0.7267201083775925,0,0.7858496668155306,0,0.8052802621346415,0,0.6284890474384994,0,0.6462527975190041,0,0.6499851228995552,0
2025-08-16,Brighton,Fulham,1,1,1-1,0.9465674305277368,1,0.7895672749698064,1,0.7261018003964334,1,0.7844302867971887,1,0.8034887030965898,1,0.6867166527384253,1,0.7195321316490324,1,0.7280941588893655,1
2025-08-17,Chelsea,Crystal Palace,0,0,0-0,0.9472599786500684,0,0.7914483755752543,0,0.7339045294132607,0,0.8081830925279461,0,0.8351214514175386,0,0.6523835800404085,0,0.6749731249410343,0,0.6801280590873571,0
2025-08-17,Nott'm Forest,Brentford,3,1,3-1,0.8600921598886042,1,0.5847724654450315,1,0.6079539290239993,1,0.6224875609485828,1,0.6253427967518238,1,0.6089959354136726,1,0.6236771638367149,1,0.6265710657677663,1
2025-08-17,Man United,Arsenal,0,1,0-1,0.9266777800595608,1,0.7345883763852956,0,0.6156178167091226,0,0.6312753089154559,0,0.6344284431641348,0,0.724633105537974,1,0.7811879439423559,1,0.7994312780374229,1
2025-08-18,Leeds,Everton,1,0,1-0,0.9133431210135288,1,0.7011048705768683,0,0.6597059924946873,1,0.68407982006265,1,0.6897922952806554,1,0.6817477942165128,0,0.712733129811832,0,0.7206488502119165,0
2025-08-22,West Ham,Chelsea,1,5,1-5,0.8956333352389756,1,0.6595410300260012,1,0.6334278223575044,1,0.6520821522559159,1,0.656067250103071,1,0.6647148928299675,0,0.6904125977745106,0,0.6965492097152677,1
2025-08-23,Arsenal,Leeds,5,0,5-0,0.9417372497325284,1,0.7755200968583502,1,0.7319882956957836,0,0.800243889707547,0,0.824090877464279,1,0.6435733209362757,0,0.6642229324386304,0,0.6687906265029513,0
2025-08-23,Brentford,Aston Villa,1,0,1-0,0.9409679011883773,1,0.7735135142260734,0,0.6933715718939771,1,0.7289055731852827,1,0.7384555334434394,1,0.713633245498274,0,0.7603466359336868,0,0.7742942162423578,0
2025-08-23,Man City,Tottenham,0,2,0-2,0.9514383535041032,1,0.8035321431791422,1,0.7313977215905986,0,0.832011237168454,0,0.8741243961160506,0,0.5984283101308419,1,0.6116830732869691,1,0.6142092272250939,1
2025-08-23,Bournemouth,Wolves,1,0,1-0,0.9310983852231152,1,0.7464173237080676,0,0.7021646080800795,1,0.7418886033851319,1,0.7530247671151112,1,0.6819977347995902,0,0.713071517896739,0,0.7210181200274497,0
2025-08-24,Crystal Palace,Nott'm Forest,1,1,1-1,0.9417537483140712,1,0.77574177525247,1,0.696559458763036,1,0.7335238103014039,1,0.7436066996850297,1,0.712898978880462,1,0.7590929150585501,1,0.7728245955944428,1
