market,confidence,correct
Doppia Chance X2,75.4,1
Doppia Chance 12,73.7,1
Over 0.5 Goal,91.3,1
Over 1.5 Goal,70.0,0
Under 3.5 Goal,100.0,1
Under 2.5 Goal,71.1,0
Under 3.5 Goal,100.0,0
Doppia Chance X2,76.9,0
Doppia Chance 12,70.2,1
Over 0.5 Goal,86.4,1
Under 2.5 Goal,67.9,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,70.0,1
Over 0.5 Goal,87.8,1
Under 2.5 Goal,65.0,1
Under 3.5 Goal,100.0,1
Doppia Chance X2,73.4,0
Under 2.5 Goal,73.3,1
Under 3.5 Goal,100.0,1
Doppia Chance X2,75.7,0
Under 2.5 Goal,79.9,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,74.3,1
Over 0.5 Goal,93.4,1
Over 1.5 Goal,75.5,0
Under 3.5 Goal,100.0,1
Doppia Chance X2,72.4,0
Doppia Chance 12,71.8,1
Over 0.5 Goal,89.6,1
Under 3.5 Goal,100.0,1
Doppia Chance X2,81.4,0
Doppia Chance 12,70.4,1
Over 0.5 Goal,85.1,1
Under 2.5 Goal,70.4,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,75.2,1
Over 0.5 Goal,93.4,1
Over 1.5 Goal,75.4,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,74.6,1
Over 0.5 Goal,93.4,1
Over 1.5 Goal,75.5,1
Under 3.5 Goal,100.0,1
Multigol Ospite 1-3,66.5,0
Doppia Chance X2,72.2,0
Doppia Chance 12,77.7,1
Over 0.5 Goal,96.5,1
Over 1.5 Goal,84.8,0
Over 2.5 Goal,65.0,0
Under 3.5 Goal,100.0,1
Doppia Chance 1X,78.9,1
Doppia Chance 12,72.2,0
Over 0.5 Goal,88.4,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,73.3,1
Over 0.5 Goal,91.0,1
Under 3.5 Goal,100.0,1
Under 2.5 Goal,72.4,1
Under 3.5 Goal,100.0,1
Doppia Chance 1X,79.1,1
Doppia Chance 12,79.7,0
Over 0.5 Goal,96.9,1
Over 1.5 Goal,86.2,1
Over 2.5 Goal,67.3,0
Under 3.5 Goal,100.0,1
Doppia Chance 12,75.0,1
Over 0.5 Goal,94.4,1
Over 1.5 Goal,78.1,0
Under 3.5 Goal,100.0,1
Multigol Ospite 1-3,71.1,0
Multigol Ospite 1-4,75.6,0
Multigol Ospite 1-5,76.9,0
Doppia Chance 12,73.8,0
Over 0.5 Goal,92.9,0
Over 1.5 Goal,74.2,0
Under 3.5 Goal,100.0,1
Doppia Chance 1X,75.2,1
Doppia Chance 12,76.0,1
Over 0.5 Goal,94.1,1
Over 1.5 Goal,77.4,0
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,73.1,1
Multigol Casa 1-4,79.7,1
Multigol Casa 1-5,82.0,1
Doppia Chance 1X,77.6,0
Doppia Chance 12,73.1,1
Over 0.5 Goal,90.0,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.0,1
Over 0.5 Goal,90.4,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,76.1,1
Over 0.5 Goal,95.6,1
Over 1.5 Goal,81.9,1
Over 2.5 Goal,60.3,1
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,72.8,1
Multigol Casa 1-4,78.8,1
Multigol Casa 1-5,80.8,1
Doppia Chance 12,80.2,1
Over 0.5 Goal,98.6,1
Over 1.5 Goal,92.5,0
Over 2.5 Goal,79.4,0
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,70.3,1
Multigol Casa 1-4,84.5,1
Multigol Casa 1-5,91.6,1
Doppia Chance 1X,77.5,0
Doppia Chance 12,74.6,1
Over 0.5 Goal,91.9,1
Over 1.5 Goal,71.5,1
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,72.2,1
Multigol Casa 1-4,77.6,1
Multigol Casa 1-5,79.3,1
Over 0.5 Goal,85.3,0
Under 2.5 Goal,69.9,1
Under 3.5 Goal,100.0,1
Over 0.5 Goal,87.0,1
Under 2.5 Goal,66.6,1
Under 3.5 Goal,100.0,1
Doppia Chance 1X,77.0,1
Doppia Chance 12,70.4,0
Over 0.5 Goal,86.5,0
Under 2.5 Goal,67.6,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,73.6,1
Over 0.5 Goal,92.5,1
Over 1.5 Goal,73.1,1
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,70.2,1
Multigol Casa 1-5,75.3,1
Doppia Chance 12,74.0,1
Over 0.5 Goal,93.1,1
Over 1.5 Goal,74.6,0
Under 3.5 Goal,100.0,1
Doppia Chance 1X,82.0,1
Doppia Chance 12,75.1,1
Over 0.5 Goal,90.8,1
Under 3.5 Goal,100.0,0
Doppia Chance 12,74.7,1
Over 0.5 Goal,93.4,1
Over 1.5 Goal,75.5,1
Under 3.5 Goal,100.0,1
Under 2.5 Goal,70.6,0
Under 3.5 Goal,100.0,0
Doppia Chance 12,73.1,1
Over 0.5 Goal,91.9,1
Over 1.5 Goal,71.6,1
Under 3.5 Goal,100.0,1
Doppia Chance 1X,80.7,0
Doppia Chance 12,74.3,1
Over 0.5 Goal,90.4,1
Under 3.5 Goal,100.0,0
1X2 Casa,61.1,1
Doppia Chance 1X,81.5,1
Doppia Chance 12,79.6,1
Over 0.5 Goal,96.1,1
Over 1.5 Goal,83.3,1
Over 2.5 Goal,62.5,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,76.9,1
Over 0.5 Goal,96.3,1
Over 1.5 Goal,84.1,1
Over 2.5 Goal,63.9,1
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,73.3,1
Multigol Casa 1-4,80.5,1
Multigol Casa 1-5,83.1,1
Doppia Chance X2,75.3,1
Doppia Chance 12,73.2,0
Over 0.5 Goal,90.7,1
Under 3.5 Goal,100.0,1
Over 0.5 Goal,86.8,1
Under 2.5 Goal,67.1,0
Under 3.5 Goal,100.0,0
1X2 Ospite,66.8,1
Doppia Chance X2,86.6,1
Doppia Chance 12,80.1,1
Over 0.5 Goal,94.3,1
Over 1.5 Goal,77.9,1
Under 3.5 Goal,100.0,1
Multigol Ospite 1-3,73.1,1
Multigol Ospite 1-4,83.2,1
Multigol Ospite 1-5,87.4,1
Doppia Chance 12,72.4,1
Over 0.5 Goal,91.1,1
Under 3.5 Goal,100.0,0
Doppia Chance 12,71.1,0
Over 0.5 Goal,88.9,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,70.2,1
Over 0.5 Goal,87.8,1
Under 2.5 Goal,65.0,0
Under 3.5 Goal,100.0,1
Doppia Chance 1X,76.2,1
Under 2.5 Goal,79.2,1
Under 3.5 Goal,100.0,1
Under 2.5 Goal,83.4,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,71.7,0
Over 0.5 Goal,90.1,1
Under 3.5 Goal,100.0,1
Doppia Chance X2,72.1,1
Under 2.5 Goal,75.1,0
Under 3.5 Goal,100.0,0
Doppia Chance 12,72.9,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,1
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,69.3,1
Over 0.5 Goal,86.3,1
Under 2.5 Goal,68.1,1
Under 3.5 Goal,100.0,1
Doppia Chance 1X,77.3,1
Doppia Chance 12,74.8,0
Over 0.5 Goal,92.2,0
Over 1.5 Goal,72.3,0
Under 3.5 Goal,100.0,1
Doppia Chance 1X,80.8,0
Under 2.5 Goal,71.6,0
Under 3.5 Goal,100.0,1
Doppia Chance 1X,76.5,1
Doppia Chance 12,76.7,0
Over 0.5 Goal,94.6,0
Over 1.5 Goal,78.8,0
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,73.4,0
Multigol Casa 1-4,80.8,0
Multigol Casa 1-5,83.5,0
Doppia Chance 12,75.8,0
Over 0.5 Goal,95.0,0
Over 1.5 Goal,80.1,0
Under 3.5 Goal,100.0,1
Over 0.5 Goal,85.5,1
Under 2.5 Goal,69.7,0
Under 3.5 Goal,100.0,1
1X2 Casa,65.8,1
